"Search All Products","Szukaj wszystkich produktów"
"Add Product by SKU","Dodaj produkt przez SKU"
"Position","Pozycja"
"Action","Operacja"
"Unassign","Odepnij"
"Top","Na górze"
"Bottom","Dół"
"Choose a selection...","Wybierz selekcje..."
"Page not found.","Nie znaleziono strony."
"No SKU entered","Nie wprowadzono SKU"
"Undefined Action","Niezdefiniowana akcja"
"Products with the following SKUs do not exist: %s","Nie istnieją produkty z następującymi SKU: %s"
"%s SKU(s) processed successfully","%s SKU(s) pomyślnie przetworzone"
"On Top","Na górze"
"On Bottom","Na dole"
"Category rules validation failed","Nie można sprawdzić poprawności reguł kategorii"
"Clone category ID(s)","Klon kategorii ID"
"Date Created (days ago)","Data Utworzenia (dni temu)"
"Date Modified (days ago)","Data modyfikacji (dni temu)"
"Error in reading category rules","Wystąpił błąd podczas odczytu reguł kategorii"
"There was no category rules to apply","Nie było żadnych zasad kategorii do zastosowania"
"Category rules applied","Zastosowane Zasady Kategorii"
"Equal","Równe"
"Not equal","Różne"
"Greater than","Większa niż"
"Greater than or equal to","Równe lub większe niż"
"Less than","Mniejszy/a niż"
"Less than or equal to","Równa lub mniejsza niż"
"Contains","Zawiera"
"Error in yes/no format","Błąd w formacie tak/nie"
"Category ID '%1' not found","Nie znaleziono ID kategorii '%1'"
"%1 doesn't implement SortInterface","%1 nie zaimplementowano SortInterface"
"Move low stock to top","Przenieś niską akcję do góry"
"Name: A - Z","Nazwa: A - Z"
"Name: Z - A","Nazwa: Z - A"
"Newest products first","Najnowsze produkty pierwsze"
"Move out of stock to bottom","Przenieś niedostępne do dołu"
"Price: High to low","Cena: Od najwyższej do najniższej"
"Price: Low to high","Cena: Od najniższej do najwyższej"
"SKU: Ascending","SKU: rosnąco"
"SKU: Descending","SKU: malejąco"
"Sort by color","Sortuj wg koloru"
"Special price to bottom","Cena promocyjna na dole"
"Special price to top","Cena promocyjna do góry"
"None","Brak"
"Enter SKUs below, one per line","Wprowadź SKU poniżej, jeden na linię"
"Assign","Przyporządkuj"
"Remove","Usuń"
"Grid","Siatka"
"Tile","Kafelek"
"records found","znalezione rekordy"
"per page","na stronę"
"Previous page","Poprzednia strona"
"of %1","z %1"
"Next page","Następna strona"
"Draggable","Przeciągane"
"Close","Zamknij"
"Product image","Obrazek produktu"
"You can create a rule only to the existing categories.","Można utworzyć regułę tylko do istniejących kategorii."
"Only products matched by rule will be present in the category after save. Unmatched products and manual sorting will be removed from the category.","Tylko produkty dopasowane przez reguły będą obecne w kategorii po zapisie. Niedopasowane produkty i ręczne sortowanie zostaną usunięte z kategorii."
"Attribute","Cecha"
"Operator","Operator"
"Value","Wartość"
"Logic","Logika"
"Add Condition","Dodaj warunek"
"Delete","Usuń"
"Match products by rule","Produkty dopasowania przez regułę"
"Yes","Tak"
"No","Nie"
"Add Products","Dodaj produkty"
"Save and Close","Zapisz i Zamknij"
"On","Włączone"
"Off","Włączone"
"Visual Merchandiser Options","Opcje Visual Merchandiser"
"Visual Merchandiser","Wizualizacja sklepu"
"General Options","Opcje ogólne"
"Visible Attributes for Category Rules","Widoczne atrybuty dla zasad kategorii"
"Additional attributes usable in category rules","Dodatkowe atrybuty nadające się do reguł kategorii"
"Minimum Stock Threshold","Próg minimalny zasobu"
"Determines which products are 'low stock'","Określa, które produkty mają ""niskie zasoby"""
"Color Attribute Code","Kod Atrybutu Koloru"
"Color Order","Kolor Zamówienia"
"Each color being on a separate row.","Każdy kolor jest w osobnym wierszu."
"Sort","Sortuj"
"Automatic Sorting","Automatyczne sortowanie"
"Sort order","Kolejność sortowania"
"Thumbnail","Miniatura"
"Name","Nazwa"
"Price","Cena"
"SKU","SKU"
"Stock","Zapasy"
"Category Products","Category Products"
"Wait loading...","Ładowanie..."
"Rule %1 does not exists","Rule %1 does not exists"
