"Read Details","Les detaljer"
"Mark as Read","Marker som lest"
"Are you sure?","Er du sikker?"
"Remove","Fjern"
"Messages Inbox","Beskjeder Innboks"
"You have %1 new system messages","Du har %1 nye systemmeldinger"
"You have %1 new system message","Du har %1 ny systemmelding"
"Incoming Message","Innkommende melding"
"close","lukk"
"Notifications","Varslinger"
"The message has been marked as Read.","Meldingen er markert som lest."
"We couldn't mark the notification as Read because of an error.","Vi kunne ikke merke meldingen som lest på grunn av en feil."
"Please select messages.","Velg meldinger."
"A total of %1 record(s) have been marked as Read.","Totalt %1 post(er) er merket som lest."
"Total of %1 record(s) have been removed.","Totalt av %1 oppføring(er) er fjernet."
"We couldn't remove the messages because of an error.","Vi kunne ikke fjerne meldinger på grunn av en feil."
"The message has been removed.","Meldingen ble fjernet."
"1 Hour","1 time"
"2 Hours","2 timer"
"6 Hours","6 timer"
"12 Hours","12 timer"
"24 Hours","24 timer"
"critical","kritisk"
"major","stor"
"minor","mindre"
"notice","varsel"
"Wrong message type","Feil meldingstype"
"Wrong notification ID specified.","Feil varsel-ID er spesifisert."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} anbefales ikke til bruk i et produksjonsmiljø for å erklære Base usikker URL / Base sikre URL. Vi anbefaler å endre denne verdien i Magento <a href=""%1""> konfigurasjon</a>."
"One or more of the Cache Types are invalidated: %1. ","En eller flere av Cache-typene er invalidert: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Gå til <a href=""%1"">Cache Behandling</a> og velg oppdater Cashe-typer."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Vi kunne ikke synkronisere én eller flere mediefiler. Se loggfilen for detaljer."
"Synchronization of media storages has been completed.","Synkronisering av media lagringen er fullført."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Webserveren er konfigurert feil og gir uautorisert tilgang til sensitive filer. Kontakt din leverandør."
"System Messages:","Systemmeldinger:"
"Critical System Messages","Kritiske systemmeldinger"
"Major System Messages","Store systemmeldinger"
"System messages","Systemmeldinger"
"Close","Lukk"
"See All (","Se alle ("
" unread)"," uleste)"
"Show Toolbar","Vis verktøylinje"
"Show List","Vis liste"
"Use HTTPS to Get Feed","Bruk HTTPS for å få tjener"
"Update Frequency","Oppdateringsfrekvens"
"Last Update","Siste oppdatering"
"Severity","Alvorlighetsgrad"
"Date Added","Dato lagt til"
"Message","Beskjed"
"Actions","Handlinger"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Du har sett og løst alle siste systemet varsler. Oppdater web-siden for å fjerne varselet."
