"Read Details","Číst podrobnosti"
"Mark as Read","Označit jako přečtené"
"Are you sure?","Skutečně chcete provést tuto akci?"
"Remove","Odstranit"
"Messages Inbox","Složka příchozích zpráv"
"You have %1 new system messages","Máte %1 nové systémové zprávy"
"You have %1 new system message","Máte %1 novou systémovou zprávu"
"Incoming Message","Příchozí zpráva"
"close","zavřít"
"Notifications","Oznámení"
"The message has been marked as Read.","Zpráva byla označena jako přečtená."
"We couldn't mark the notification as Read because of an error.","Z důvodu chyby nelze zprávu označit jako přečtenou."
"Please select messages.","Zvolte zprávy prosím."
"A total of %1 record(s) have been marked as Read.","Jako přečtené bylo označeno celkem %1 zpráv(y)."
"Total of %1 record(s) have been removed.","Bylo odstraněno celkem %1 zpráv(y)."
"We couldn't remove the messages because of an error.","Z důvodu chyby nelze zprávy odstranit."
"The message has been removed.","Zpráva byla odstraněna."
"1 Hour","1 hodina"
"2 Hours","2 hodiny"
"6 Hours","6 hodin"
"12 Hours","12 hodin"
"24 Hours","24 hodin"
"critical","výstraha"
"major","varování"
"minor","upozornění"
"notice","oznámení"
"Wrong message type","Chybný typ zprávy"
"Wrong notification ID specified.","Zvoleno chybné ID upozornění."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","V produkčním prostředí byste neměli používat {{base_url}} k deklaraci Základní URL adresy / Zabezpečené URL adresy. Je důrazně doporučeno v <a href=""%1"">nastavení</a> tento údaj změnit."
"One or more of the Cache Types are invalidated: %1. ","Mezipaměti jsou neplatné a vyžadují obnovu. Zkontrolujte: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Jděte do <a href=""%1"">Správy mezipaměti</a> a obnovte neplatné."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Jeden nebo více souborů médií nebylo možné synchronizovat. Více podrobností naleznete v protokolu."
"Synchronization of media storages has been completed.","Synchronizace úložiště médií byla dokončena."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Váš webový server je chybně nakonfigurován a umožňuje neoprávněný přístup k citlivým souborům. Obraťte se na svého poskytovatele hostingu."
"System Messages:","Systémové zprávy:"
"Critical System Messages","Výstrahy systému"
"Major System Messages","Varování systému"
"System messages","Systémové zprávy"
"Close","Zavřít‏"
"See All (","Zobrazit všechny ("
" unread)"," nepřečtené)"
"Show Toolbar","Zobrazit panel nástrojů"
"Show List","Zobrazit seznam"
"Use HTTPS to Get Feed","K příjmu zpráv použít HTTPS"
"Update Frequency","Četnost aktualizace"
"Last Update","Poslední aktualizace"
"Severity","Závažnost"
"Date Added","Ze dne"
"Message","Zpráva"
"Actions","Akce"
"Close popup","Zavřít popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Všechny nedávné systémové upozornění máte vyřešené. Znovunačtením stránky odstraníte alert."
