"Read Details","تفصیلات پڑھیں"
"Mark as Read","پڑھ کر نشان زد کریں"
"Are you sure?","کیا تمہیں یقین ہے؟"
"Remove","مٹانا"
"Messages Inbox","پیغامات ان باکس کرو"
"You have %1 new system messages","آپ کے پاس٪ 1 نۂے سسٹم پیغامات ہیں"
"You have %1 new system message","آپ کے پاس٪ 1 نۂے نظام کا پیغام ہے"
"Incoming Message","آنے والا پیغام"
"close","بند کریں"
"Notifications","آگاہی"
"The message has been marked as Read.","پیغام کو پڑھ کر نشان لگا دیا گیا ہے."
"We couldn't mark the notification as Read because of an error.","ایک غلطی کی وجہ سے ہم نوٹیفیکیشن کو نشان زدہ نہیں کر سکے کہ پڑھ لیا ہے."
"Please select messages.","براہ کرم پیغامات کو منتخب کریں."
"A total of %1 record(s) have been marked as Read.","مجموعی طور پر٪ 1 ریکارڈز کو نشان زد کیا گیا ہے کہ پڑھ لیا گیا ہے."
"Total of %1 record(s) have been removed.","تمام %1 ریکارڈز ہٹا لیے گۂے ہیں."
"We couldn't remove the messages because of an error.","ہم ایک غلطی کی وجہ سے پیغامات کو ہٹا نہیں سکتے ہیں."
"The message has been removed.","پیغام کو ہٹا دیا گیا ہے."
"1 Hour","1 گھنٹہ"
"2 Hours","2 گھنٹے"
"6 Hours","6 گھنٹے"
"12 Hours","12 گھنٹے"
"24 Hours","24 گھنٹے"
"critical","اہم"
"major","بڑا"
"minor","معمولی"
"notice","نوٹس"
"Wrong message type","غلط پیغام کی قسم"
"Wrong notification ID specified.","غلط نوٹیفیکیشن ID کی شناخت."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>."
"One or more of the Cache Types are invalidated: %1. ","ایک یا زیادہ سے زیادہ کیشے کی اقسام کو باطل کر دیا گیا ہے: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","برائے مہربانی جاۂیں<a href=""٪1""> کیشے مینجمنٹ </a> اور کیشے کی اقسام کو تازہ کریں."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","ہم ایک یا زیادہ میڈیا فائلوں کو مطابقت پذیر کرنے میں ناکام تھے. براہ کرم تفصیلات کے لیے لاگ ان فائل کا حوالہ دیں."
"Synchronization of media storages has been completed.","میڈیا سٹوریجز کی مطابقت پذیری مکمل کردی گئی ہے."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","آپ کے ویب سرور کو غلط طریقے سے قائم کیا گیا ہے اور حساس فائلوں کو غیر مجاز تک رسائی کی اجازت دیتا ہے. براہ مہربانی اپنے ہوسٹنگ فراہم کرنے والے سے رابطہ کریں."
"System Messages:","سسٹم کے پیغامات:"
"Critical System Messages","نازک نظام کے پیغامات"
"Major System Messages","بڑے نظام کے پیغامات"
"System messages","سسٹم کے پیغامات"
"Close","بند کریں"
"See All (","سب دیکھیں ("
" unread)"," نہ پڑھا ہوا)"
"Show Toolbar","ٹول بار دکھائیں"
"Show List","فہرست دکھائیں"
"Use HTTPS to Get Feed","فیڈ حاصل کرنے کیلئے HTTPS کا استعمال کریں"
"Update Frequency","اپ ڈیٹ فریکوئنسی"
"Last Update","آخری اپ ڈیٹ"
"Severity","سختی"
"Date Added","تاریخ شامل کر دی ہے"
"Message","پیغام"
"Actions","ایکشنز"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","آپ تمام سسٹم پیغامات کو دیکھ اور حل کر چکے ہیں۔ مہربانی فرما کر اس صفحہ کو تازہ کریں تا کہ تمام پیغامات کی فہرست کو صاف کیا جا سکے."
