"Read Details","Batafsil ma'lumot"
"Mark as Read","O'qilgan deb belgilash"
"Are you sure?","Ishonchingiz komilmi?"
"Remove","O'chirish"
"Messages Inbox","Kirish xabarlari qutisi"
"You have %1 new system messages","Sizda %1 ta yangi tizim xabarlari mavjud"
"You have %1 new system message","Sizda %1 ta yangi tizim xabarlari mavjud"
"Incoming Message","Kiruvchi xabar"
"close","yopish"
"Notifications","Bildirishnomalar"
"The message has been marked as Read.","Xabar o'qilgan deb belgilandi."
"We couldn't mark the notification as Read because of an error.","Bildirishnomani xatolik tufayli o'qib bo'lmadi."
"Please select messages.","Xabarlarni tanlang."
"A total of %1 record(s) have been marked as Read.","Jami %1 yozuv(lar) o'qilgan deb belgilandi."
"Total of %1 record(s) have been removed.","Jami %1 yozuv(lar) olib tashlandi."
"We couldn't remove the messages because of an error.","Xatolar tufayli xabarlarni olib tashlab bo'lmadi."
"The message has been removed.","Xabar o'chirildi."
"1 Hour","1 Soat"
"2 Hours","2 Soat"
"6 Hours","6 Soat"
"12 Hours","12 Soat"
"24 Hours","24 Soat"
"critical","juda muhim"
"major","katta"
"minor","kichik"
"notice","ogohlantirish"
"Wrong message type","Noto'g'ri xabar turi"
"Wrong notification ID specified.","Noto'g'ri bildirishnoma identifikatori ko'rsatildi."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} - ishlab chiqarish muhitida foydalanishga tavsiya etilmaydi. Ushbu qiymatni Magento <a href=""%1"">configuration</a> da o'zgartirishni tavsiya etamiz."
"One or more of the Cache Types are invalidated: %1. ","Bir yoki bir nechta kesh turlari bekor qilindi: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Iltimos, <a href=""%1""> keshni boshqarish </a> ga o'ting va kesh turlarini yangilang."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Bir yoki bir nechta media fayllarni sinxronlash imkoniga ega emasmiz. Ma'lumotlar uchun jurnal fayliga murojaat qiling."
"Synchronization of media storages has been completed.","Ombor omborlarini sinxronlash tugallandi."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Veb-serveringiz noto'g'ri konfiguratsiya qilingan va maxfiy fayllarga ruxsatsiz kirishga ruxsat beradi. Xost provayderingizga murojaat qiling."
"System Messages:","Tizim xabarlari:"
"Critical System Messages","Muhim tizim xabarlari"
"Major System Messages","Asosiy tizim xabarlari"
"System messages","Tizim xabarlari"
"Close","Yoping"
"See All (","Hammaga qarang ("
" unread)"," o'qilmagan)"
"Show Toolbar","Asboblar panelini ko'rsatish"
"Show List","Ro'yxatni ko'rsatish"
"Use HTTPS to Get Feed","Ovqatni olish uchun HTTPS-dan foydalaning"
"Update Frequency","Chastotani yangilash"
"Last Update","Oxirgi yangilash"
"Severity","Zo'ravonlik"
"Date Added","Sana qo'shildi"
"Message","Xabar"
"Actions","Amallar"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Siz so'nggi tizim xabarlarini ko'rib chiqdingiz va hal qildingiz. Iltimos bildirishnomani o'chirish uchun veb-sahifani yangilang."
