"Read Details","Прочети повече"
"Mark as Read","Маркирай като прочетено"
"Are you sure?","Сигурни ли сте?"
"Remove","Премахване"
"Messages Inbox","Входящи съобщения"
"You have %1 new system messages","Вие имате %1 нови системни съобщения"
"You have %1 new system message","Вие имате %1 ново системно съобщение"
"Incoming Message","Входящо съобщение"
"close","затвори"
"Notifications","Известия"
"The message has been marked as Read.","Съобщението беше отбелязано като прочетено."
"We couldn't mark the notification as Read because of an error.","Заради грешка не успяхме да маркираме известието като прочетено."
"Please select messages.","Моля, изберете съобщения."
"A total of %1 record(s) have been marked as Read.","Общо %1 запис(а) бяха маркирани като прочетени."
"Total of %1 record(s) have been removed.","Общо %1 запис(а) бяха премахнати."
"We couldn't remove the messages because of an error.","Не успяхме да премахнем съобщенията поради грешка."
"The message has been removed.","Съобщението беше премахнато."
"1 Hour","1 час"
"2 Hours","2 часа"
"6 Hours","6 часа"
"12 Hours","12 часа"
"24 Hours","24 часа"
"critical","критично"
"major","важно"
"minor","незначителни"
"notice","известие"
"Wrong message type","Грешен тип съобщение"
"Wrong notification ID specified.","Зададено е грешно ID на съобщение."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} не е препоръчителен за използване в продукционна среда, за да се декларира Основния не-сигурен URL. Силно Ви препоръчваме да промените стойността във Вашата Magento <a href=""%1"">конфигурация</a>."
"One or more of the Cache Types are invalidated: %1. ","Един или няколко вида кеш бяха анулирани: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Моля, отидете на <a href=""%1"">Управление на кеширането</a> и опреснете всички видове кеш."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Ние не успяхме да синхронизираме един или повече медийни файлове. Моля, вижте лог файловете за повече информация."
"Synchronization of media storages has been completed.","Синхронизацията на медийните хранилища приключи."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Вашият уеб сървър е настроен неправилно и позволява неразрешен достъп до чувствителни файлове. Моля, обърнете се към вашия хостинг доставчик."
"System Messages:","Системни съобщения:"
"Critical System Messages","Критични системни съобщения"
"Major System Messages","Основни системни съобщения"
"System messages","Системни съобщения"
"Close","Затвори"
"See All (","Виж всички ("
" unread)"," непрочетени)"
"Show Toolbar","Покажи лента с инструменти"
"Show List","Покажи списък"
"Use HTTPS to Get Feed","Използвайте HTTPS, за да получите емисия"
"Update Frequency","Честота на обновяване"
"Last Update","Последна актуализация"
"Severity","Тежест"
"Date Added","Дата на добавяне"
"Message","Съобщение"
"Actions","Действия"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Прегледахте и разрешихте всички последни системни съобщения. Моля, опреснете уеб страницата, за да изчистите предупреждението."
