"Read Details","Részletek"
"Mark as Read","Megjelölés olvasottként"
"Are you sure?","Biztos benne?"
"Remove","Eltávolítás"
"Messages Inbox","Beérkezett üzenetek"
"You have %1 new system messages","%1 új rendszer üzenet"
"You have %1 new system message","%1 új rendszer üzenet"
"Incoming Message","Bejövő üzenet"
"close","bezárás"
"Notifications","Értesítések"
"The message has been marked as Read.","Az üzenet megjelölve olvasottként."
"We couldn't mark the notification as Read because of an error.","Az értesítés megjelölése olvasottként egy hiba miatt sikertelen."
"Please select messages.","Kérlek, válasszd ki az üzeneteket."
"A total of %1 record(s) have been marked as Read.","Összesen %1 rekord megjelölve olvasottként."
"Total of %1 record(s) have been removed.","Összesen %1 rekord eltávolítva."
"We couldn't remove the messages because of an error.","Az üzenetek törlése egy hiba miatt sikertelen."
"The message has been removed.","Az üzenet törölve."
"1 Hour","1 óra"
"2 Hours","2 óra"
"6 Hours","6 óra"
"12 Hours","12 óra"
"24 Hours","24 óra"
"critical","kritikus"
"major","súlyos"
"minor","elhanyagolható"
"notice","figyelmeztetés"
"Wrong message type","Rossz üzenet típus"
"Wrong notification ID specified.","Hibás értesítés ID van megadva."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} használata nem javasolt éles környezetben mint nem biztonságos URL / biztonságos URL. Erősen javasolt ezen érték megváltoztatása a Magento <a href=""%1"">beállításokban</a>."
"One or more of the Cache Types are invalidated: %1. ","Egy vagy több gyorsítótár típus érvénytelenítve: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Kérlek, látogass el a <a href=""%1"">Gyorsítótár kezelése</a> oldalra és frissítsd a gyorsítótár típusokat."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Egy vagy több média fájl szinkronizálása sikertelen. Kérlek, olvasd el a részleteket a naplófájlban."
"Synchronization of media storages has been completed.","Média tároló frissítése befejeződött."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","A webszerver beállítása helytelen, és lehetővé teszi a jogosulatlan hozzáférést az érzékeny fájlokhoz. Kérlek, fordulj a tárhelyszolgáltatódhoz."
"System Messages:","Rendszerüzenetek:"
"Critical System Messages","Kritikus rendszerüzenetek"
"Major System Messages","Fontos rendszerüzenetek"
"System messages","Rendszerüzenetek"
"Close","Bezár"
"See All (","Összes megtekintése ("
" unread)"," olvasatlan)"
"Show Toolbar","Eszköztár megjelenítése"
"Show List","Lista megjelenítése"
"Use HTTPS to Get Feed","HTTPS használata hírcsatornához"
"Update Frequency","Frissítési gyakoriság"
"Last Update","Utolsó frissítés"
"Severity","Súlyosság"
"Date Added","Hozzáadás dátuma"
"Message","Üzenet"
"Actions","Műveletek"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Megtekintettél és orvosoltál minden rendszerüzenetet. Frissítsd az oldalt az értesítés törléséhez, eltüntetéséhez."
