"Read Details","Lees details"
"Mark as Read","Markeren als gelezen"
"Are you sure?","Weet je het zeker?"
"Remove","Verwijder"
"Messages Inbox","Berichteninbox"
"You have %1 new system messages","U heeft %1 nieuwe systeemberichten"
"You have %1 new system message","U heeft %1 nieuw systeembericht"
"Incoming Message","Inkomend bericht"
"close","Sluiten"
"Notifications","Meldingen"
"The message has been marked as Read.","Het bericht is gemarkeerd als gelezen."
"We couldn't mark the notification as Read because of an error.","Het bericht kan niet als gelezen gemarkeerd worden door een fout."
"Please select messages.","Gelieve de berichten te selecteren."
"A total of %1 record(s) have been marked as Read.","Er zijn in totaal %1 bericht(en) gemarkeerd als gelezen."
"Total of %1 record(s) have been removed.","Er zijn in totaal %1 bericht(en) verwijderd."
"We couldn't remove the messages because of an error.","We konden de berichten niet verwijderen door een fout."
"The message has been removed.","Het bericht is verwijderd."
"1 Hour","1 uur"
"2 Hours","2 uur"
"6 Hours","6 uur"
"12 Hours","12 uur"
"24 Hours","24 uur"
"critical","kritiek"
"major","belangrijk"
"minor","gering"
"notice","melding"
"Wrong message type","Verkeerd berichttype"
"Wrong notification ID specified.","Verkeerde melding ID opgegeven."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is niet aangewezen in een productieomgeving om de onveilige/veilige basisURL mee te definiëren. We bevelen sterk aan om deze waarde in uw Magento <a href=""%1"">configuratie</a> aan te passen."
"One or more of the Cache Types are invalidated: %1. ","Één of meerdere cache types zijn ongeldig: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ga naar <a href=""%1"">Cache Beheer</a> om de cache types te verversen."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","We waren niet in staat om een of meer mediabestanden te synchroniseren. Gelieve het logboekbestand bekijken voor meer informatie."
"Synchronization of media storages has been completed.","Synchronisatie van media opslagplaatsen is voltooid."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Uw webserver is niet goed geconfigureerd waardoor ongeoorloofde toegang mogelijk is tot gevoelige bestanden. Gelieve contact op te nemen met uw serviceprovider."
"System Messages:","Systeemberichten:"
"Critical System Messages","Kritieke systeemberichten"
"Major System Messages","Belangrijke Systeemberichten"
"System messages","Systeemberichten"
"Close","Sluiten"
"See All (","Alles bekijken ("
" unread)"," ongelezen)"
"Show Toolbar","Werkbalk weergeven"
"Show List","Toon lijst"
"Use HTTPS to Get Feed","Gebruik HTTPS om de feed op te halen"
"Update Frequency","Update de frequentie"
"Last Update","Laatste wijziging"
"Severity","Ernst"
"Date Added","Datum toegevoegd"
"Message","Bericht"
"Actions","Acties"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","U heeft alle recente systeem-meldingen bekeken en opgelost. Herlaad de pagina om de melding op te ruimen."
