"Read Details","Прочитај детали"
"Mark as Read","Означи како прочитано"
"Are you sure?","Дали сте сигурни?"
"Remove","Избриши"
"Messages Inbox","Сандаче со пораки"
"You have %1 new system messages","You have %1 new system messages"
"You have %1 new system message","You have %1 new system message"
"Incoming Message","Incoming Message"
"close","затвори"
"Notifications","Известувања"
"The message has been marked as Read.","Пораката е означена како прочитена."
"We couldn't mark the notification as Read because of an error.","We couldn't mark the notification as Read because of an error."
"Please select messages.","Ве молиме изберете порака."
"A total of %1 record(s) have been marked as Read.","A total of %1 record(s) have been marked as Read."
"Total of %1 record(s) have been removed.","Total of %1 record(s) have been removed."
"We couldn't remove the messages because of an error.","We couldn't remove the messages because of an error."
"The message has been removed.","Пораката е избришена."
"1 Hour","1 час"
"2 Hours","2 часа"
"6 Hours","6 часа"
"12 Hours","12 часа"
"24 Hours","24 часа"
"critical","критично"
"major","големо"
"minor","мало"
"notice","забелешка"
"Wrong message type","Wrong message type"
"Wrong notification ID specified.","Wrong notification ID specified."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>."
"One or more of the Cache Types are invalidated: %1. ","One or more of the Cache Types are invalidated: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Please go to <a href=""%1"">Cache Management</a> and refresh cache types."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","We were unable to synchronize one or more media files. Please refer to the log file for details."
"Synchronization of media storages has been completed.","Synchronization of media storages has been completed."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider."
"System Messages:","Системски пораки:"
"Critical System Messages","Критични системски пораки"
"Major System Messages","Важни системски пораки"
"System messages","Системски пораки"
"Close","Затвори"
"See All (","Види ги сите ("
" unread)"," непрочитани)"
"Show Toolbar","Show Toolbar"
"Show List","Прикажи листа"
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"
"Update Frequency","Update Frequency"
"Last Update","Последно Ажурирано"
"Severity","Severity"
"Date Added","Date Added"
"Message","Порака"
"Actions","Акции"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert."
