"Read Details","قراءة التفاصيل"
"Mark as Read","تعيين كمقروء"
"Are you sure?","هل أنت متأكد؟"
"Remove","ازالة"
"Messages Inbox","الرسائل الواردة"
"You have %1 new system messages","لديك %1 من رسائل النظام الجديدة"
"You have %1 new system message","لديك %1 رسالة نظام جديدة"
"Incoming Message","رسالة واردة"
"close","إغلاق"
"Notifications","اشعارات"
"The message has been marked as Read.","تم وضع علامة مقروءة على الرسالة."
"We couldn't mark the notification as Read because of an error.","بسبب خطأ ما لم يتم وضع علامة قراءة الاشعار."
"Please select messages.","الرجاء تحديد الرسائل."
"A total of %1 record(s) have been marked as Read.","لقد تم وضع علامة مقروء على %1 من المحفوظات."
"Total of %1 record(s) have been removed.","لقد تم ازالة 1% من المحفوظات."
"We couldn't remove the messages because of an error.","لم يتم ازالة الرسائل بسبب حدوث خطأ."
"The message has been removed.","تم حذف الرسالة."
"1 Hour","ساعة واحدة"
"2 Hours","ساعتان"
"6 Hours","6 ساعات"
"12 Hours","12 ساعة"
"24 Hours","24 ساعة"
"critical","حرج"
"major","مهم"
"minor","ثانوي"
"notice","إشعار"
"Wrong message type","نوع رسالة خاطئ"
"Wrong notification ID specified.","معرف الإشعار المحدد خاطئ."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","لا ينصح باستخدام {{base_url}} في بيئة الإنتاج لتوضيح Unsecure ' 'URL / Base Secure URL. نوصي بشدة بتغيير هذه القيمة في ماجنتو الخاص بك ' '<a href=""%1"">configuration</a>."
"One or more of the Cache Types are invalidated: %1. ","تم ابطال واحد أو أكثر من ""أنواع ذاكرة التخزين المؤقت"": %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","الرجاء الانتقال إلى <a href=""%1""> إدارة ذاكرة التخزين المؤقت</a> واعدة تنشيطها."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","لم نستطع موافقة واحد أو أكثر من ملفات الوسائط. الرجاء الرجوع إلى ملف السجل للحصول على التفاصيل."
"Synchronization of media storages has been completed.","اكتملت مواففة وسائط التخزين."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","قاعدة بيانات الأنترنت الخاصة بك معدة بشكل غير صحيح، وتسمح بدخول غير المصرح به إلى الملفات الحساسة. الرجاء الاتصال بموفر خدمة الاستضافة."
"System Messages:","رسائل النظام:"
"Critical System Messages","رسائل النظام خطيرة"
"Major System Messages","رسائل النظام مهمة"
"System messages","رسائل النظام"
"Close","إغلاق"
"See All (","انظر (جميع"
" unread)"," غير مقروء)"
"Show Toolbar","إظهار شريط الأدوات"
"Show List","إظهار القائمة"
"Use HTTPS to Get Feed","استخدام HTTPS للحصول على تغذية"
"Update Frequency","تردد التحديث"
"Last Update","آخر تحديث"
"Severity","خطورة"
"Date Added","اضافة تاريخ"
"Message","رسالة"
"Actions","اعمال"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","لقد قمت برؤية جميع إشعارات النظام الأخيرة وحلها. يرجى تحديث صفحة الويب لمسح تنبيه الإشعار."
