"Read Details","Vairāk informācijas"
"Mark as Read","Atzīmēt kā izlasītu"
"Are you sure?","Vai esat pārliecināts?"
"Remove","Dzēst"
"Messages Inbox","Ziņu iesūtne"
"You have %1 new system messages","Jums ir %1 jaunas sistēmas ziņas"
"You have %1 new system message","Jums ir %1 jauna sistēmas ziņa"
"Incoming Message","Ienākošā ziņa"
"close","aizvērt"
"Notifications","Paziņojumi"
"The message has been marked as Read.","Ziņa atzīmēta kā izlasīta."
"We couldn't mark the notification as Read because of an error.","Kļūdas dēļ nevarēja atzīmēt ziņu kā izlasītu."
"Please select messages.","Izvēlieties ziņas."
"A total of %1 record(s) have been marked as Read.","Kopā %1 ziņa(s) atzīmētas kā izlasītas."
"Total of %1 record(s) have been removed.","Pavisam nodzēstas %1 ziņa(s)."
"We couldn't remove the messages because of an error.","Nevar nodzēst ziņu kļūdas dēļ."
"The message has been removed.","Ziņa ir nodzēsta."
"1 Hour","1 stunda"
"2 Hours","2 stundas"
"6 Hours","6 stundas"
"12 Hours","12 stundas"
"24 Hours","24 stundas"
"critical","kritisks"
"major","svarīgs"
"minor","mazsvarīgs"
"notice","paziņojums"
"Wrong message type","Nepareizs ziņas veids"
"Wrong notification ID specified.","Norādīts nepareizs paziņojuma ID."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} nav ieteicams lietot darbojošā veikalā lai deklarētu Base Unsecure URL / Base Secure URL. Iesakām to mainīt Magento <a href=""%1"">konfigurācijā</a>."
"One or more of the Cache Types are invalidated: %1. ","Vains vai vairāki keša veidi nav validēti: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ejiet uz <a href=""%1"">Keša pārvaldība</a> un atjaunojiet keša veidus."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Nav iespējams sinhronizēt vienu vai vairākus mēdiju failus. Varāk informācijas log failā."
"Synchronization of media storages has been completed.","Mēdiju failu sinhronizācija ir pabeigta."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Nav pareizi nokonfigurēts web serveris, tas ļauj piekļūt sensitīviem failiem. Sazinieties ar savu hostinga kompāniju."
"System Messages:","Sistēmas paziņojumi:"
"Critical System Messages","Kristiski sistēmas paziņojumi"
"Major System Messages","Svarīgi sistēmas paziņojumi"
"System messages","Sistēmas paziņojumi"
"Close","Aizvērt"
"See All (","Skatīt visas ("
" unread)"," nelasītās)"
"Show Toolbar","Rādīt rīkjoslu"
"Show List","Rādīt sarakstu"
"Use HTTPS to Get Feed","Lietojiet HTTPS lai lietotu plūsmu"
"Update Frequency","Atjaunošanas biežums"
"Last Update","Pēdējo reizi atjaunots"
"Severity","Nozīmīgums"
"Date Added","Pievienošanas datums"
"Message","Ziņa"
"Actions","Darbības"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Jūs apskatījāt un atrisinājātvisus sistēmas paziņojumus. Atjauninjiet lapu lai nodzēstu paziņojumu."
