"Read Details","Przeczytaj szczegóły"
"Mark as Read","Oznacz jako przeczytane"
"Are you sure?","Czy na pewno tego chcesz?"
"Remove","Usuń"
"Messages Inbox","Skrzynka odbiorcza"
"You have %1 new system messages","Masz nowe wiadomości systemowe: %1"
"You have %1 new system message","Masz %1 nową wiadomość systemową"
"Incoming Message","Nowa wiadomość"
"close","zamknij"
"Notifications","Powiadomienia"
"The message has been marked as Read.","Wiadomość została oznaczona jako przeczytana."
"We couldn't mark the notification as Read because of an error.","Nie udało się oznaczyć powiadomienia jako przeczytane z powodu błędu."
"Please select messages.","Wybierz wiadomości."
"A total of %1 record(s) have been marked as Read.","W sumie %1 rekord(y) zostały oznaczone jako przeczytane."
"Total of %1 record(s) have been removed.","W sumie %1 rekord(y) zostały usunięte."
"We couldn't remove the messages because of an error.","Nie udało się usunąć wiadomości z powodu błędu."
"The message has been removed.","Wiadomość została usunięta."
"1 Hour","1 godz."
"2 Hours","2 godz."
"6 Hours","6 godz."
"12 Hours","12 godz."
"24 Hours","24 godz."
"critical","krytyczny"
"major","ważne"
"minor","drobne"
"notice","informacja"
"Wrong message type","Nieprawidłowy typ wiadomości"
"Wrong notification ID specified.","Niepoprawny ID powiadomienia."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","Nie zaleca się używania {{base_url}} jako bazowego adresu URL w środowisku produkcyjnym. Radzimy zmianę tej wartości w <a href=""%1"">konfiguracji</a>."
"One or more of the Cache Types are invalidated: %1. ","Istnieją nieaktualne pamięci podręczne: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Przejdź do <a href=""%1"">strony zarządzania pamięciami podręcznymi</a> i odśwież je."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Nie byliśmy w stanie zsynchronizować jednego lub więcej plików multimedialnych. Zajrzyj do pliku z logami po więcej szczegółów."
"Synchronization of media storages has been completed.","Ukończono synchronizację przechowalni multimediów."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Twój serwer nie jest poprawnie skonfigurowany i pozwala na nieautoryzowany dostęp do wrażliwych plików. Skontaktuj się z dostawcą usług hostingowych."
"System Messages:","Komunikaty systemowe:"
"Critical System Messages","Krytyczny komunikat systemowy"
"Major System Messages","Ważny komunikat systemowy"
"System messages","Komunikaty systemowe"
"Close","Zamknij"
"See All (","Zobacz wszystkie ("
" unread)"," nieprzeczytane)"
"Show Toolbar","Pokaż pasek narzędzi"
"Show List","Pokaż listę"
"Use HTTPS to Get Feed","Używaj HTTPS do pobierania kanałów"
"Update Frequency","Częstotliwość aktualizacji"
"Last Update","Ostatnia aktualizacja"
"Severity","Priorytet"
"Date Added","Data dodania"
"Message","Wiadomość"
"Actions","Operacje"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Zobaczyłeś oraz rozwiązałeś wszystkie ostatnie powiadomienia systemowe. Odśwież stronę aby usunąć alert."
