"Read Details","Leer detalles"
"Mark as Read","Marcar como leído"
"Are you sure?","¿Estás seguro?"
"Remove","Eliminar"
"Messages Inbox","Bandeja de entrada"
"You have %1 new system messages","Tienes %1 nuevos mensajes del sistema"
"You have %1 new system message","Tienes %1 nuevo mensaje del sistema"
"Incoming Message","Mensaje entrante"
"close","cerrar"
"Notifications","Notificaciones"
"The message has been marked as Read.","El mensaje se ha marcado como leído."
"We couldn't mark the notification as Read because of an error.","No pudimos marcar la notificación como leída debido a un error."
"Please select messages.","Selecciona mensajes."
"A total of %1 record(s) have been marked as Read.","Un total de %1 registro(s) se han marcado como leídos."
"Total of %1 record(s) have been removed.","Total de %1 registro(s) han sido eliminados."
"We couldn't remove the messages because of an error.","No hemos podido eliminar los mensajes debido a un error."
"The message has been removed.","El mensaje ha sido eliminado."
"1 Hour","1 Hora"
"2 Hours","2 Horas"
"6 Hours","6 Horas"
"12 Hours","12 Horas"
"24 Hours","24 Horas"
"critical","crítico"
"major","principal"
"minor","menor"
"notice","aviso"
"Wrong message type","Tipo de mensaje incorrecto"
"Wrong notification ID specified.","ID de la notificación especificada es incorrecto."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","No se recomienda utilizar {{base_url}} en un entorno de producción para declarar la URL base insegura/segura. Te recomendamos cambiar este valor en tu <a href=""%1"">configuración</a> de Magento."
"One or more of the Cache Types are invalidated: %1. ","Uno o más de los tipos de memoria caché están invalidados: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Por favor, ve a <a href=""%1"">Administración de la Caché</a> y actualiza los tipos de memoria caché."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","No hemos podido sincronizar uno o más archivos multimedia. Por favor, consulta el archivo de registro para más detalles."
"Synchronization of media storages has been completed.","La sincronización de almacenamiento multimedia se ha completado."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Tu servidor web no está configurado correctamente y permite el acceso no autorizado a archivos sensibles. Por favor, ponte en contacto con tu proveedor de alojamiento."
"System Messages:","Mensajes del Sistema:"
"Critical System Messages","Mensajes Críticos del Sistema"
"Major System Messages","Mensajes principales del sistema"
"System messages","Mensajes del Sistema"
"Close","Cerrar"
"See All (","Ver todos ("
" unread)"," no leídos)"
"Show Toolbar","Mostrar Barra de Herramientas"
"Show List","Mostrar la Lista"
"Use HTTPS to Get Feed","Utilizar HTTPS para obtener el feed"
"Update Frequency","Frecuencia de Actualización"
"Last Update","Última Actualización"
"Severity","Importancia"
"Date Added","Fecha de Creación"
"Message","Mensaje"
"Actions","Acciones"
"Close popup","Cerrar ventana emergente"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Has visto y resuelto todos los avisos recientes del sistema. Por favor actualiza la página web para borrar la notificación de alerta."
