"Read Details","Loe lähemalt"
"Mark as Read","Märgi loetuks"
"Are you sure?","Kindel?"
"Remove","Eemalda"
"Messages Inbox","Saabunud teated"
"You have %1 new system messages","Teil on %1 uut sõnumit"
"You have %1 new system message","Teile on %1 uus sõnum"
"Incoming Message","Uus sõnum"
"close","sulge"
"Notifications","Teavitused"
"The message has been marked as Read.","Sõnum on märgitud loetuks."
"We couldn't mark the notification as Read because of an error.","Me ei saa märkida sõnumit loetuks vea tõttu."
"Please select messages.","Vali sõnumid."
"A total of %1 record(s) have been marked as Read.","%1 kirjet on märgitud loetuks."
"Total of %1 record(s) have been removed.","Kokku %1 kirje(t) kustutati."
"We couldn't remove the messages because of an error.","Me ei saanud tõrke tõttu sõnumeid eemaldada."
"The message has been removed.","Sõnum on kustutatud."
"1 Hour","1 tund"
"2 Hours","2 tundi"
"6 Hours","6 tundi"
"12 Hours","12 tundi"
"24 Hours","24 tundi"
"critical","kriitiline"
"major","oluline"
"minor","tühine"
"notice","teavitus"
"Wrong message type","Vale sõnumi tüüp"
"Wrong notification ID specified.","Valisite vale teate ID."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} kasutamine baasURL-i / turvalise baasURL-i defineerimiseks avatud poes ei ole soovitatav. Sestap oleks mõistlik muuta väärtus Magento <a href=""%1>seadetest</a> millekski muuks."
"One or more of the Cache Types are invalidated: %1. ","Vähemalt üks vahemälu tüüpidest on kehtetu: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Palun minge <a href=""%1""> Vahemälu haldamisse</a> ja värskenda vahemälu tüübid."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Me ei saanud üht või mitut meedafaili sünkroniseerida. Vaadake üksikasju logifailist."
"Synchronization of media storages has been completed.","Meedia hoiukohta sünkroonimine on lõpule viidud."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Teie veebiserver on valesti seadistatud ja võimaldab volitamata juurdepääsu tundlikele failidele. Võtke ühendust oma teenusepakkujaga."
"System Messages:","Süsteemisõnumid:"
"Critical System Messages","Kriitilised süsteemisõnumid"
"Major System Messages","Üldised süsteemisõnumid"
"System messages","Süsteemisõnumid"
"Close","Sulge"
"See All (","Vaata kõiki ("
" unread)"," lugemata)"
"Show Toolbar","Kuva tööriistariba"
"Show List","Kuva loend"
"Use HTTPS to Get Feed","Voo saamiseks kasuta HTTPS"
"Update Frequency","Uuenduste sagedus"
"Last Update","Viimane uuendus"
"Severity","Raskusaste"
"Date Added","Lisamiskuupäev"
"Message","Sõnum"
"Actions","Toimingud"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert."
