"Read Details","Prečítať podrobnosti"
"Mark as Read","Označiť ako prečítané"
"Are you sure?","Ste si istí?"
"Remove","Odstrániť"
"Messages Inbox","Schránka prijatých správ"
"You have %1 new system messages","Máte %1 nových systémových správ"
"You have %1 new system message","Máte %1 novú systémovú správu"
"Incoming Message","Prijatá správa"
"close","zatvoriť"
"Notifications","Oznámenia"
"The message has been marked as Read.","Správa bola označená ako prečítaná."
"We couldn't mark the notification as Read because of an error.","Z dôvodu chyby nebolo možné označiť oznámenie ako prečítané."
"Please select messages.","Prosím vyberte správy."
"A total of %1 record(s) have been marked as Read.","Celkom %1 záznam(ov) bol(o) označený(ch) ako prečítané."
"Total of %1 record(s) have been removed.","Celkom %1 záznam(ov) bol(o) odstránený(ch)."
"We couldn't remove the messages because of an error.","Z dôvodu chyby nebolo možné odstrániť chybu."
"The message has been removed.","Správa bola odstránená."
"1 Hour","1 hodina"
"2 Hours","2 hodiny"
"6 Hours","6 hodín"
"12 Hours","12 hodín"
"24 Hours","24 hodín"
"critical","kritické"
"major","hlavné"
"minor","vedľajšie"
"notice","oznámenie"
"Wrong message type","Nesprávny typ správy"
"Wrong notification ID specified.","Zadané nesprávne ID oznámenia."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","Neodporúčame používať {{base_url}} v produkčnom nasadení ako základnú Zabezpečenú/Nezabezpečenú URL adresu. Dôrazne odporúčame zmeniť toto nastavenie v <a href=""%1"">konfigurácii</a> Magenta."
"One or more of the Cache Types are invalidated: %1. ","Jeden alebo viac typov cache sú neaktuálne: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Prosím, choďte na <a href=""%1"">Správu cache</a> a aktualizujte."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Nebolo možné synchronizovať jeden alebo viac súborov médii. Pre viac informácii skontrolujte log súbory."
"Synchronization of media storages has been completed.","Dokončená synchronizácia skladov médií."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Webový server je nastavený tak, že umožňuje neoprávnený prístup k citlivým súborom. Obráťte sa na svojho poskytovateľa hostingu."
"System Messages:","Systémové správy:"
"Critical System Messages","Kritické systémové hlásenia"
"Major System Messages","Hlavné systémové hlásenia"
"System messages","Systémové správy"
"Close","Zavrieť"
"See All (","Zobraziť všetky ("
" unread)"," neprečítané)"
"Show Toolbar","Zobraziť panel s nástrojmi"
"Show List","Zobraziť zoznam"
"Use HTTPS to Get Feed","Získajte Feed pomocou HTTPS"
"Update Frequency","Frekvencia aktualizácií"
"Last Update","Posledná aktualizácia"
"Severity","Závažnosť"
"Date Added","Datum pridania"
"Message","Správa"
"Actions","Akcie"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert."
