"Read Details","Detayları Oku"
"Mark as Read","Okundu Olarak İşaretle"
"Are you sure?","Emin misiniz?"
"Remove","Kaldır"
"Messages Inbox","Mesaj Gelen Kutusu"
"You have %1 new system messages","%1 yeni sistem mesajınız var"
"You have %1 new system message","%1 yeni sistem mesajınız var"
"Incoming Message","Gelen Mesaj"
"close","kapat"
"Notifications","Bildirimler"
"The message has been marked as Read.","Bu mesaj Okundu olarak işaretlendi."
"We couldn't mark the notification as Read because of an error.","Bir hata sebebiyle bildirimi Okundu olarak işaretleyemiyoruz."
"Please select messages.","Lütfen mesajları seçin."
"A total of %1 record(s) have been marked as Read.","Toplam %1 kayıt Okundu olarak işaretlendi."
"Total of %1 record(s) have been removed.","Toplam %1 kayıt kaldırıldı."
"We couldn't remove the messages because of an error.","Bir hata nedeniyle iletileri kaldıramadık."
"The message has been removed.","Mesaj silindi."
"1 Hour","1 Saat"
"2 Hours","2 Saat"
"6 Hours","6 Saat"
"12 Hours","12 Saat"
"24 Hours","24 Saat"
"critical","kritik"
"major","büyük"
"minor","küçük"
"notice","bilgi"
"Wrong message type","Hatalı mesaj tipi"
"Wrong notification ID specified.","Yanlış bildirim kimliği belirtildi."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} Bankası güvenli olmayan URL bildirmek için bir üretim ortamında kullanmanız önerilmez / Bankası güvenli URL. Senin Magento <a href=""%1""> yapılandırma</a> bu değerin değiştirilmesi önerilir."
"One or more of the Cache Types are invalidated: %1. ","Önbellek Türlerinden bir veya daha fazlası geçersiz kılınmıştır: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Lütfen <a href=""%1"">Ön Bellek Yönetimine </a> gidin ve ön bellek türlerini yenileyin"
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Bir veya daha fazla ortam dosyasını zaman uyumlu yapamıyoruz. Lütfen ayrıntılar için günlük dosyasına başvurun."
"Synchronization of media storages has been completed.","Ortam depolarının senkronizasyonu tamamlandı."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Web sunucunuz hatalı ayarlanmış ve hassas dosyalara yetkisiz erişime izin veriyor. Lütfen barındırma sağlayıcınıza başvurun."
"System Messages:","Sistem Mesajları:"
"Critical System Messages","Kritik Sistem Mesajları"
"Major System Messages","Önemli Sistem Mesajları"
"System messages","Sistem mesajları"
"Close","Kapat"
"See All (","Hepsini gör ("
" unread)"," okunmamış)"
"Show Toolbar","Araç Çubuğunu Göster"
"Show List","Listeyi Göster"
"Use HTTPS to Get Feed","Veri Akışı İçin HTTPS kullan"
"Update Frequency","Güncelleme Sıklığı"
"Last Update","Son Güncelleme"
"Severity","Seviye"
"Date Added","Eklenme Tarihi"
"Message","Mesaj"
"Actions","İşlemler"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Bütün sistem bildirimlerini görüntülediniz ve kapattınız. Bildirimi temizlemek için lütfen sayfayı yenileyin."
