"Read Details","Διαβάστε Λεπτομέρειες"
"Mark as Read","Σήμανση ως αναγνωσμένο"
"Are you sure?","Είσαι σίγουρος;"
"Remove","Αφαίρεση"
"Messages Inbox","Εισερχόμενα μηνύματα"
"You have %1 new system messages","Έχετε %1 νέo(α) μήνυμα(τα) συστήματος"
"You have %1 new system message","Έχετε %1 νέο μήνυμα συστήματος"
"Incoming Message","Εισερχόμενο μήνυμα"
"close","κλείσιμο"
"Notifications","Ειδοποιήσεις"
"The message has been marked as Read.","Το μήνυμα αυτό έχει επισημανθεί ως αναγνωσμένο."
"We couldn't mark the notification as Read because of an error.","Δεν μπορέσαμε να επισημάνουμε την ειδοποίηση ως Αναγνωσμένη εξαιτίας ενός σφάλματος."
"Please select messages.","Παρακαλώ επιλέξτε μηνύματα."
"A total of %1 record(s) have been marked as Read.","Συνολικά %1 εγγραφή(ες) έχουν επισημανθεί ως Αναγνωσμένες."
"Total of %1 record(s) have been removed.","Σύνολικά %1 εγγραφή(ές) έχουν αφαιρεθεί."
"We couldn't remove the messages because of an error.","Δεν μπορέσαμε να αφαιρέσουμε τα μηνύματα εξαιτίας ενός σφάλματος."
"The message has been removed.","Το μήνυμα έχει αφαιρεθεί."
"1 Hour","1 ώρα"
"2 Hours","2 ώρες"
"6 Hours","6 ώρες"
"12 Hours","12 ώρες"
"24 Hours","24 ώρες"
"critical","κρίσιμο"
"major","σημαντικό"
"minor","χαμηλή"
"notice","ανακοίνωση"
"Wrong message type","Λάθος τύπος μηνύματος"
"Wrong notification ID specified.","Δόθηκε λάθος αναγνωριστικό ειδοποίησης."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} δεν συνιστάται να χρησιμοποιήσετε σε ένα περιβάλλον παραγωγής, για να δηλώσετε το μη ασφαλές Base URL / ασφαλές Base URL. Σας συνιστούμε την αλλαγή αυτής της τιμής στο Magento σας <a href=""%1"">configuration</a>."
"One or more of the Cache Types are invalidated: %1. ","Ένα ή περισσότερα από τα Είδη της Cache δεν είναι ενημερωμένα: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Παρακαλούμε πηγαίνετε στο <a href=""%1"">Διαχείριση Cache</a> και ανανεώστε τα είδη της cache."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Δεν ήμασταν σε θέση να συγχρονίσουμε ένα ή περισσότερα αρχεία πολυμέσων. Παρακαλώ ανατρέξτε στο αρχείο καταγραφής για λεπτομέρειες."
"Synchronization of media storages has been completed.","Συγχρονισμός των αποθηκών μέσων έχει ολοκληρωθεί."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Ο Διακομιστής web έχει ρυθμιστεί εσφαλμένα και επιτρέπει την μη εξουσιοδοτημένη πρόσβαση σε ευαίσθητα αρχεία. Παρακαλώ επικοινωνήστε με τον πάροχό σας."
"System Messages:","Μηνύματα Συστήματος:"
"Critical System Messages","Κρίσιμα μηνύματα συστήματος"
"Major System Messages","Σημαντικά Μηνύματα Συστήματος"
"System messages","Μηνύματα συστήματος"
"Close","Κλείσιμο"
"See All (","Προβολή Όλων ("
" unread)"," μη αναγνωσμένα)"
"Show Toolbar","Εμφάνιση γραμμής εργαλείων"
"Show List","Εμφάνιση Λίστας"
"Use HTTPS to Get Feed","Χρήση HTTPS για σπόκτηση Feed"
"Update Frequency","Συχνότητα ενημέρωσης"
"Last Update","Τελευταία Ενημέρωση"
"Severity","Σοβαρότητα"
"Date Added","Ημερομηνίας Προσθήκης"
"Message","Μήνυμα"
"Actions","Ενέργειες"
"Close popup","Κλείσιμο αναδυόμενου"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Έχετε δει και επιλύσει όλες τις πρόσφατες ειδοποιήσεις του συστήματος. Παρακαλώ ανανεώστε την ιστοσελίδα για να καταργήσετε την ειδοποίηση."
