"Read Details","Details anzeigen"
"Mark as Read","Als gelesen markieren"
"Are you sure?","Sind Sie sicher?"
"Remove","Entfernen"
"Messages Inbox","Posteingang"
"You have %1 new system messages","Sie haben %1 neue System-Nachrichten"
"You have %1 new system message","Sie haben %1 neue System-Nachricht"
"Incoming Message","Eingehende Nachricht"
"close","schließen"
"Notifications","Benachrichtigungen"
"The message has been marked as Read.","Die Nachricht wurde als gelesen markiert."
"We couldn't mark the notification as Read because of an error.","Leider konnte die Nachricht aufgrund eines Fehlers nicht als gelesen markiert werden."
"Please select messages.","Bitte Nachrichten wählen."
"A total of %1 record(s) have been marked as Read.","Insgesamt wurden %1 Einträge als gelesen markiert."
"Total of %1 record(s) have been removed.","Insgesamt wurden %1 Einträge entfernt."
"We couldn't remove the messages because of an error.","Wir konnten die Nachrichten aufgrund eines Fehlers nicht entfernen."
"The message has been removed.","Die Nachricht wurde entfernt."
"1 Hour","1 Stunde"
"2 Hours","2 Stunden"
"6 Hours","6 Stunden"
"12 Hours","12 Stunden"
"24 Hours","24 Stunden"
"critical","Kritisch"
"major","sehr wichtige"
"minor","wichtige"
"notice","unwichtige"
"Wrong message type","Falscher Nachrichtentyp"
"Wrong notification ID specified.","Falsche Benachrichtigungs-ID angegeben."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","Es wird nicht empfohlen {{base_url}} in einer Produktionsumgebung zu verwenden. Wir empfehlen diesen Wert in Ihrer Magento <a href=""%1""> Konfiguration</a> zu ändern."
"One or more of the Cache Types are invalidated: %1. ","Eine oder mehrere Cache-Typen sind ungültig: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Bitte öffnen Sie die <a href=""%1""> Cache-Verwaltung</a> und aktualisieren Sie diese."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Wir waren nicht in der Lage, eine oder mehrere Mediendateien zu synchronisieren. Prüfen Sie die Protokolldatei für Details."
"Synchronization of media storages has been completed.","Synchronisierung der Media-Storages ist abgeschlossen."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Der Webserver ist nicht korrekt eingerichtet und ermöglicht nicht autorisierten Zugriff auf vertrauliche Dateien. Bitte kontaktieren Sie Ihren System Administrator."
"System Messages:","Systemmeldungen:"
"Critical System Messages","Kritische Systemmeldungen"
"Major System Messages","Wichtige Systemmeldungen"
"System messages","Systemmeldungen"
"Close","Schließen"
"See All (","Alle anzeigen ("
" unread)"," ungelesen)"
"Show Toolbar","Symbolleiste anzeigen"
"Show List","Liste anzeigen"
"Use HTTPS to Get Feed","Bitte verwende HTTPS und den Feed anzuzeigen"
"Update Frequency","Update Frequenz"
"Last Update","Letzte Aktualisierung"
"Severity","Schweregrad"
"Date Added","Hinzugefügt am"
"Message","Nachricht"
"Actions","Aktionen"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Sie haben alle kürzlichen Systemmitteilungen gesehen und gelöst.
Bitte aktualisieren Sie die Web-Seite um die Mitteilungs-Benachrichtigung zurück zu setzen."
