"Read Details","อ่านรายละเอียด"
"Mark as Read","ทำเครื่องหมายว่าอ่านแล้ว"
"Are you sure?","คุณแน่ใจหรือไม่?"
"Remove","ลบ"
"Messages Inbox","กล่องข้อความ"
"You have %1 new system messages","คุณมี %1 ข้อความใหม่"
"You have %1 new system message","คุณมี %1 ข้อความใหม่"
"Incoming Message","ข้อความขาเข้า"
"close","ปิด"
"Notifications","การแจ้งเตือน"
"The message has been marked as Read.","ข้อความถูกทำเครื่องหมายเป็นอ่านแล้ว"
"We couldn't mark the notification as Read because of an error.","เราไม่สามารถทำเครื่องหมายการแจ้งเตือนว่าอ่านเนื่องจากข้อผิดพลาด"
"Please select messages.","โปรดเลือกข้อความ"
"A total of %1 record(s) have been marked as Read.","บันทึกทั้งหมด %1 รายการถูกทำเครื่องหมายว่าอ่านแล้ว"
"Total of %1 record(s) have been removed.","ลบทั้งหมด %1 บันทึกแล้ว"
"We couldn't remove the messages because of an error.","เราไม่สามารถลบข้อความได้เนื่องจากข้อผิดพลาด"
"The message has been removed.","ข้อความได้ถูกลบแล้ว"
"1 Hour","1 ชั่วโมง"
"2 Hours","2 ชั่วโมง"
"6 Hours","6 ชั่วโมง"
"12 Hours","12 ชั่วโมง"
"24 Hours","24 ชั่วโมง"
"critical","วิกฤต"
"major","major"
"minor","minor"
"notice","การแจ้งเตือน"
"Wrong message type","ชนิดของข้อความไม่ถูกต้อง"
"Wrong notification ID specified.","ระบุ ID การแจ้งเตือนไม่ถูกต้อง"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","ไม่แนะนำให้ใช้ {{base_url}} ในสภาพแวดล้อมที่ใช้งานจริงเพื่อประกาศ Base Unsecure URL / Base Secure URL เราขอแนะนำอย่างยิ่งให้เปลี่ยนค่านี้ใน <a href=""%1"">การกำหนดค่า</a> Magento ของคุณ"
"One or more of the Cache Types are invalidated: %1. ","ประเภทแคชอย่างน้อยหนึ่งประเภทใช้ไม่ได้: %1 "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","โปรดไปที่ <a href=""%1"">การจัดการแคช</a> และรีเฟรชประเภทแคช"
"We were unable to synchronize one or more media files. Please refer to the log file for details.","เราไม่สามารถซิงโครไนซ์ไฟล์มีเดียตั้งแต่หนึ่งไฟล์ขึ้นไป โปรดดูรายละเอียดในไฟล์บันทึก"
"Synchronization of media storages has been completed.","การซิงโครไนซ์การจัดเก็บสื่อเสร็จสมบูรณ์"
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","เว็บเซิร์ฟเวอร์ของคุณได้รับการตั้งค่าอย่างไม่ถูกต้องและอนุญาตให้เข้าถึงไฟล์ที่ละเอียดอ่อนได้โดยไม่ได้รับอนุญาต โปรดติดต่อผู้ให้บริการโฮสต์ของคุณ"
"System Messages:","ข้อความของระบบ:"
"Critical System Messages","ข้อความสำคัญของระบบ"
"Major System Messages","ข้อความระบบหลัก"
"System messages","ข้อความของระบบ"
"Close","ปิด"
"See All (","ดูทั้งหมด ("
" unread)"," ยังไม่ได้อ่าน)"
"Show Toolbar","แสดงแถบเครื่องมือ"
"Show List","แสดงรายการ"
"Use HTTPS to Get Feed","ใช้ HTTPS เพื่อรับฟีด"
"Update Frequency","ความถี่อัปเดต"
"Last Update","อัปเดตล่าสุด"
"Severity","ความรุนแรง"
"Date Added","วันที่เพิ่ม:"
"Message","ข้อ​ความ"
"Actions","การดำเนินการ"
"Close popup","ปิดป๊อบอัพ"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","คุณได้ดูและแก้ไขประกาศระบบล่าสุดทั้งหมดแล้ว โปรดรีเฟรชหน้าเว็บเพื่อล้างการแจ้งเตือนการแจ้งเตือน"
