"Read Details","വിശദാംശങ്ങൾ വായിക്കുക"
"Mark as Read","വായിച്ചതായി അടയാളപ്പെടുത്തുക"
"Are you sure?","നിങ്ങള്ക്ക് ഉറപ്പാണോ?"
"Remove","നീക്കം ചെയ്യുക"
"Messages Inbox","മെസ്സേജ് ഇൻ‌ബോക്സ്"
"You have %1 new system messages","നിങ്ങൾക്ക് %1 പുതിയ സിസ്റ്റം മെസ്സേജുണ്ട്"
"You have %1 new system message","നിങ്ങൾക്ക് %1 പുതിയ സിസ്റ്റം മെസ്സേജുണ്ട്"
"Incoming Message","ഇൻകമിംഗ് മെസ്സേജ്"
"close","അടയ്ക്കുക"
"Notifications","അറിയിപ്പുകൾ"
"The message has been marked as Read.","മെസ്സേജ് റീഡ് എന്ന് അടയാളപ്പെടുത്തി."
"We couldn't mark the notification as Read because of an error.","ഒരു പിശക് കാരണം ഞങ്ങൾക്ക് അറിയിപ്പ് വായിച്ചതായി അടയാളപ്പെടുത്താൻ കഴിഞ്ഞില്ല."
"Please select messages.","ദയവായി സന്ദേശങ്ങൾ തിരഞ്ഞെടുക്കുക."
"A total of %1 record(s) have been marked as Read.","മൊത്തം %1 റെക്കോർഡ് (കൾ) വായിച്ചതായി അടയാളപ്പെടുത്തി."
"Total of %1 record(s) have been removed.","%1 റെക്കോർഡ് (കൾ‌) നീക്കംചെയ്‌തു."
"We couldn't remove the messages because of an error.","ഒരു പിശക് കാരണം ഞങ്ങൾക്ക് സന്ദേശങ്ങൾ നീക്കംചെയ്യാനായില്ല."
"The message has been removed.","സന്ദേശം നീക്കംചെയ്‌തു."
"1 Hour","1 മണിക്കൂർ"
"2 Hours","2 മണിക്കൂർ"
"6 Hours","6 മണിക്കൂർ"
"12 Hours","12 മണിക്കൂർ"
"24 Hours","24 മണിക്കൂർ"
"critical","ഗുരുതരമാണ്"
"major","പ്രധാന"
"minor","മൈനർ"
"notice","അറിയിപ്പ്"
"Wrong message type","തെറ്റായ മെസ്സേജ് ടൈപ്പ്"
"Wrong notification ID specified.","തെറ്റായ നോട്ടിഫിക്കേഷൻ ഐഡി വ്യക്തമാക്കി."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>."
"One or more of the Cache Types are invalidated: %1. ","One or more of the Cache Types are invalidated: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Please go to <a href=""%1"">Cache Management</a> and refresh cache types."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","We were unable to synchronize one or more media files. Please refer to the log file for details."
"Synchronization of media storages has been completed.","Synchronization of media storages has been completed."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider."
"System Messages:","System Messages:"
"Critical System Messages","Critical System Messages"
"Major System Messages","Major System Messages"
"System messages","System messages"
"Close","Close"
"See All (","See All ("
" unread)"," unread)"
"Show Toolbar","Show Toolbar"
"Show List","Show List"
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"
"Update Frequency","Update Frequency"
"Last Update","Last Update"
"Severity","Severity"
"Date Added","Date Added"
"Message","Message"
"Actions","Actions"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert."
