"Read Details","ವಿವರಗಳನ್ನು ಓದಿರಿ"
"Mark as Read","ಓದಿರುವಂತೆ ಗುರುತಿಸಿ"
"Are you sure?","ನಿಮಗೆ ಖಚಿತವೆ?"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Messages Inbox","ಸಂದೇಶಗಳ ಇನ್‍ಬಾಕ್ಸ್"
"You have %1 new system messages","You have %1 new system messages"
"You have %1 new system message","You have %1 new system message"
"Incoming Message","ಒಳಬರುವ ಸಂದೇಶ"
"close","ಮುಚ್ಚಿರಿ"
"Notifications","ಅಧಿಸೂಚನೆಗಳು"
"The message has been marked as Read.","ಸಂದೇಶವನ್ನು ಓದಿರುವಂತೆ ಗುರುತಿಸಲಾಗಿದೆ."
"We couldn't mark the notification as Read because of an error.","We couldn't mark the notification as Read because of an error."
"Please select messages.","ದಯವಿಟ್ಟು ಸಂದೇಶಗಳನ್ನು ಆರಿಸಿ."
"A total of %1 record(s) have been marked as Read.","ಒಟ್ಟು %1 ದಾಖಲೆ(ಗಳು) ಯನ್ನು ಓದಿರುವಂತೆ ಗುರುತಿಸಲಾಗಿದೆ."
"Total of %1 record(s) have been removed.","ಒಟ್ಟು %1 ದಾಖಲೆ(ಗಳು) ಯನ್ನು ತೆಗೆದುಹಾಕಲಾಗಿದೆ."
"We couldn't remove the messages because of an error.","We couldn't remove the messages because of an error."
"The message has been removed.","ಸಂದೇಶವನ್ನು ತೆಗೆದುಹಾಕಲಾಗಿದೆ."
"1 Hour","1 ಗಂಟೆ"
"2 Hours","2 ಗಂಟೆಗಳು"
"6 Hours","6 ಗಂಟೆಗಳು"
"12 Hours","12 ಗಂಟೆಗಳು"
"24 Hours","24 ಗಂಟೆಗಳು"
"critical","ಸಂದಿಗ್ಧ"
"major","ಪ್ರಮುಖ"
"minor","ಕಿರಿಯ"
"notice","ನೋಟೀಸು"
"Wrong message type","ತಪ್ಪಾದ ಸಂದೇಶದ ವಿಧ"
"Wrong notification ID specified.","Wrong notification ID specified."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>."
"One or more of the Cache Types are invalidated: %1. ","One or more of the Cache Types are invalidated: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Please go to <a href=""%1"">Cache Management</a> and refresh cache types."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","We were unable to synchronize one or more media files. Please refer to the log file for details."
"Synchronization of media storages has been completed.","Synchronization of media storages has been completed."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider."
"System Messages:","System Messages:"
"Critical System Messages","Critical System Messages"
"Major System Messages","Major System Messages"
"System messages","System messages"
"Close","ಮುಚ್ಚಿರಿ"
"See All (","ಎಲ್ಲವನ್ನೂ ನೋಡಿ("
" unread)"," ಓದಿಲ್ಲದಿರುವುದು)"
"Show Toolbar","ಉಪಕರಣಪಟ್ಟಿ ಪ್ರದರ್ಶಿಸಿ"
"Show List","ಪಟ್ಟಿಯನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"
"Update Frequency","ಪರಿಷ್ಕರಣೆಯ ಆವರ್ತನ"
"Last Update","ಕೊನೆಯ ಪರಿಷ್ಕರಣೆ"
"Severity","ತೀವ್ರತೆ"
"Date Added","ಸೇರಿಸಿದ ದಿನಾಂಕ"
"Message","ಸಂದೇಶ"
"Actions","ಕ್ರಿಯೆಗಳು"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert."
