"Read Details","Lexo Detajet"
"Mark as Read","Shëno si Lexuar"
"Are you sure?","A jeni të sigurt?"
"Remove","Hiq"
"Messages Inbox","Kutia e Mesazheve"
"You have %1 new system messages","Keni %1 mesazhe të reja të sistemit"
"You have %1 new system message","Keni %1 mesazh të ri të sistemit"
"Incoming Message","Mesazh i Ardhur"
"close","mbyll"
"Notifications","Njoftimet"
"The message has been marked as Read.","Mesazhi është shënuar si i Lexuar."
"We couldn't mark the notification as Read because of an error.","Nuk mundëm ta shënojmë njoftimin si të Lexuar për shkak të një gabimi."
"Please select messages.","Ju lutemi zgjidhni mesazhet."
"A total of %1 record(s) have been marked as Read.","Një total prej %1 regjistrimi/regjistrimesh është shënuar si i Lexuar."
"Total of %1 record(s) have been removed.","Një total prej %1 regjistrimi/regjistrimesh është hequr."
"We couldn't remove the messages because of an error.","Nuk mundëm t'i heqim mesazhet për shkak të një gabimi."
"The message has been removed.","Mesazhi është hequr."
"1 Hour","1 Orë"
"2 Hours","2 Orë"
"6 Hours","6 Orë"
"12 Hours","12 Orë"
"24 Hours","24 Orë"
"critical","kritike"
"major","e madhe"
"minor","e vogël"
"notice","njoftim"
"Wrong message type","Lloj mesazhi i gabuar"
"Wrong notification ID specified.","ID-ja e gabuar e njoftimit është specifikuar."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>."
"One or more of the Cache Types are invalidated: %1. ","Një ose më shumë nga Llojet e Cache janë pavlefshme: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ju lutemi shkoni te <a href=""%1"">Menaxhimi i Cache</a> dhe rifreskoni llojet e cache-it."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Nuk mundëm të sinkronizojmë një ose më shumë skedarë media. Ju lutemi referojuni skedarit të log-ut për detaje."
"Synchronization of media storages has been completed.","Synchronization of media storages has been completed."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider."
"System Messages:","System Messages:"
"Critical System Messages","Critical System Messages"
"Major System Messages","Major System Messages"
"System messages","System messages"
"Close","Mbyll"
"See All (","See All ("
" unread)"," unread)"
"Show Toolbar","Show Toolbar"
"Show List","Show List"
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"
"Update Frequency","Update Frequency"
"Last Update","Last Update"
"Severity","Severity"
"Date Added","Date Added"
"Message","Message"
"Actions","Actions"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert."
