"Read Details","විස්තර කියවන්න"
"Mark as Read","කියවූ බවට සලකුණු කරන්න"
"Are you sure?","ඔබට විශ්වාසද?"
"Remove","ඉවත් කරන්න"
"Messages Inbox","පණිවිඩ එන ලිපි"
"You have %1 new system messages","ඔබට නව පද්ධති පණිවිඩ %1 ක් ඇත"
"You have %1 new system message","ඔබට නව පද්ධති පණිවිඩ %1 ක් ඇත"
"Incoming Message","එන පණිවිඩය"
"close","සමීප"
"Notifications","දැනුම්දීම්"
"The message has been marked as Read.","පණිවිඩය කියවීම ලෙස සලකුණු කර ඇත."
"We couldn't mark the notification as Read because of an error.","දෝෂයක් නිසා අපට දැනුම්දීම කියවීම ලෙස සලකුණු කිරීමට නොහැකි විය."
"Please select messages.","කරුණාකර පණිවිඩ තෝරන්න."
"A total of %1 record(s) have been marked as Read.","මුළු වාර්තා(ය) %1 ක් කියවා ඇති ලෙස ලකුණු කර ඇත."
"Total of %1 record(s) have been removed.","මුළු වාර්තා(ය) %1 ක් ඉවත් කර ඇත."
"We couldn't remove the messages because of an error.","දෝෂයක් නිසා අපට පණිවිඩ ඉවත් කිරීමට නොහැකි විය."
"The message has been removed.","පණිවිඩය ඉවත් කර ඇත."
"1 Hour","පැය 1 යි"
"2 Hours","පැය 2"
"6 Hours","පැය 6 යි"
"12 Hours","පැය 12 යි"
"24 Hours","පැය 24"
"critical","විවේචනාත්මක"
"major","ප්රධාන"
"minor","සුළු"
"notice","දැනුම්දීම"
"Wrong message type","වැරදි පණිවිඩ වර්ගය"
"Wrong notification ID specified.","වැරදි දැනුම්දීම් හැඳුනුම්පතක් සඳහන් කර ඇත."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","මූලික අනාරක්ෂිත URL / Base Secure URL ප්‍රකාශ කිරීමට නිෂ්පාදන පරිසරයක {{base_url}} භාවිතා කිරීම නිර්දේශ නොකරයි. අපි ඔබගේ Magento <a href=""%1"">වින්‍යාසය</a>හි මෙම අගය වෙනස් කිරීම නිර්දේශ කරමු."
"One or more of the Cache Types are invalidated: %1. ","හැඹිලි වර්ග එකක් හෝ කිහිපයක් අවලංගු වේ: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","කරුණාකර <a href=""%1"">Cache Management</a> වෙත ගොස් හැඹිලි වර්ග නැවුම් කරන්න."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","අපට මාධ්‍ය ගොනු එකක් හෝ කිහිපයක් සමමුහුර්ත කිරීමට නොහැකි විය. විස්තර සඳහා කරුණාකර ලොග් ගොනුව බලන්න."
"Synchronization of media storages has been completed.","මාධ්‍ය ගබඩා සමමුහුර්ත කිරීම සම්පූර්ණ කර ඇත."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","ඔබගේ වෙබ් සේවාදායකය වැරදි ලෙස සකසා ඇති අතර සංවේදී ගොනු වෙත අනවසරයෙන් ප්‍රවේශ වීමට ඉඩ සලසයි. කරුණාකර ඔබේ සත්කාරක සපයන්නා අමතන්න."
"System Messages:","පද්ධති පණිවිඩ:"
"Critical System Messages","විවේචනාත්මක පද්ධති පණිවිඩ"
"Major System Messages","ප්රධාන පද්ධති පණිවිඩ"
"System messages","පද්ධති පණිවිඩ"
"Close","වසන්න"
"See All (","ඔක්කොම බලන්න ("
" unread)"," නොකියවූ)"
"Show Toolbar","මෙවලම් තීරුව පෙන්වන්න"
"Show List","ලැයිස්තුව පෙන්වන්න"
"Use HTTPS to Get Feed","ආහාර ලබා ගැනීමට HTTPS භාවිතා කරන්න"
"Update Frequency","යාවත්කාලීන සංඛ්යාතය"
"Last Update","අවසාන යාවත්කාලීන කිරීම"
"Severity","බරපතලකම"
"Date Added","එකතු කළ දිනය"
"Message","පණිවුඩය"
"Actions","ක්රියාවන්"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","ඔබ මෑත පද්ධති නිවේදන සියල්ල බලා විසඳා ඇත. දැනුම්දීම් ඇඟවීම හිස් කිරීමට කරුණාකර වෙබ් පිටුව නැවුම් කරන්න."
