"Read Details","Llegir detalls"
"Mark as Read","Marca com a llegit"
"Are you sure?","Segur?"
"Remove","Elimina"
"Messages Inbox","Safata d'entrada missatges"
"You have %1 new system messages","Hi ha %1 nous missatges de sistema"
"You have %1 new system message","Hi ha %1 nou missatge de sistema"
"Incoming Message","Missatge entrant"
"close","tanca"
"Notifications","Notificacions"
"The message has been marked as Read.","Missatge marcat com a llegit."
"We couldn't mark the notification as Read because of an error.","No podem marcar la notificació com a llegida a causa d'un error."
"Please select messages.","Seleccioneu missatges si us plau."
"A total of %1 record(s) have been marked as Read.","%1 registre(s) s'ha(n) marcat com a llegit(s)."
"Total of %1 record(s) have been removed.","Un total de %1 registre(s) s'ha(n) eliminat."
"We couldn't remove the messages because of an error.","No podem eliminar els missatges a causa d'un error."
"The message has been removed.","S'ha eliminat el missatge."
"1 Hour","1 Hora"
"2 Hours","2 Hores"
"6 Hours","6 Hores"
"12 Hours","12 Hores"
"24 Hours","24 Hores"
"critical","crítiques"
"major","importants"
"minor","a revisar"
"notice","avís"
"Wrong message type","Tipus de missatge erroni"
"Wrong notification ID specified.","ID de notificació especificat incorrecte."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} no es recomana utilitzar en un entorn de producció per declarar l'adreça URL Base no segura / URL Base segura. Es recomana canviar aquest valor a la <a href=""%1"">configuració</a> de Magento."
"One or more of the Cache Types are invalidated: %1. ","Un o més dels tipus de memòria cau són invàlids: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Si us plau aneu a <a href=""%1"">Administració de memòria cau</a> i actualitzeu."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","No s'ha pogut sincronitzar un o més fitxers multimèdia. Consulteu el registre per veure'n els detalls."
"Synchronization of media storages has been completed.","S'ha completat la sincronització de l'emmagatzematge."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","El servidor web no està ben configurat i permet l'accés a fitxers sensibles. Si us plau, poseu-vos en contacte amb el proveïdor del hosting."
"System Messages:","Missatges de sistema:"
"Critical System Messages","Missatges crítics de sistema"
"Major System Messages","Missatges importants de sistema"
"System messages","Missatges de sistema"
"Close","Tanca"
"See All (","Veure tots ("
" unread)"," sense llegir)"
"Show Toolbar","Mostra a la barra d'eines"
"Show List","Mostra la llista"
"Use HTTPS to Get Feed","Utilitzar HTTPS per obtenir el Feed"
"Update Frequency","Freqüència d'actualització"
"Last Update","Darrera actualització"
"Severity","Gravetat"
"Date Added","Data en què s'ha afegit"
"Message","Missatge"
"Actions","Accions"
"Close popup","Tanca finestra emergent"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","S'han vist i resolt totes les notificacions de sistema recents. Si us plau, refresqueu la pàgina per netejar les alertes."
