"Read Details","Прочитајте детаље"
"Mark as Read","Означи као прочитано"
"Are you sure?","Јесте ли сигурни?"
"Remove","Уклони"
"Messages Inbox","Примљене поруке"
"You have %1 new system messages","Имате %1 нових системских порука"
"You have %1 new system message","Имате %1 нову системску поруку"
"Incoming Message","Пристигле поруке"
"close","затвори"
"Notifications","Обавештења"
"The message has been marked as Read.","Порука је означена као прочитана."
"We couldn't mark the notification as Read because of an error.","Нисмо могли означити обавештење као прочитано због грешке."
"Please select messages.","Молим да одаберете поруке."
"A total of %1 record(s) have been marked as Read.","Укупно %1 запис(а) је означено као прочитано."
"Total of %1 record(s) have been removed.","Укупно %1 запис(а) је уклоњено."
"We couldn't remove the messages because of an error.","Нисмо могли уклонити поруке због грешке."
"The message has been removed.","Порука је уклоњена."
"1 Hour","1 сат"
"2 Hours","2 сата"
"6 Hours","6 сати"
"12 Hours","12 сати"
"24 Hours","24 сата"
"critical","критично"
"major","важно"
"minor","неважан(но)"
"notice","напомена"
"Wrong message type","Погрешан тип поруке"
"Wrong notification ID specified.","Погрешно наведен ИД обавештења."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} се не препоручује да користите у производном окружењу за декларисање Заштићене/ Не заштићене УРЛ адресе. Због тога ми препоручујемо да се ова вредност промени Магенто <a href=""%1"">конфигурацији</a>."
"One or more of the Cache Types are invalidated: %1. ","Један или више типова кеша су neispravni: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Идите на <a href=""%1""> за управљање кешом </a> и освежите типове кеша."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Нисмо могли да синхронизујемо један или више медијских датотека. Погледајте датотеку са грешкама за детаље."
"Synchronization of media storages has been completed.","Синхронизација складишта медија је завршена."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Ваш веб сервер је неисправно подешен и омогућава неовлашћени приступ осетљивим датотекама. Молимо вас да контактирате вашег провајдера/администратора."
"System Messages:","Системске поруке:"
"Critical System Messages","Критичне системске поруке"
"Major System Messages","Важне системске поруке"
"System messages","Системске поруке"
"Close","Затвори"
"See All (","Погледајте све ("
" unread)"," непрочитана)"
"Show Toolbar","Прикажи траку са алаткама"
"Show List","Прикажи листу"
"Use HTTPS to Get Feed","Користите HTTPS за Get Feed"
"Update Frequency","Фреквенција ажурирања"
"Last Update","Последње ажурирање"
"Severity","Тежина"
"Date Added","Датум додавања"
"Message","Порука"
"Actions","Акције"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert."
