"Read Details","Baca Rincian"
"Mark as Read","Mark as Read blue"
"Are you sure?","Apakah kamu yakin?"
"Remove","Menghapus"
"Messages Inbox","Pesan Kotak masuk"
"You have %1 new system messages","You have %1 new system messages one"
"You have %1 new system message","You have %1 new system message you"
"Incoming Message","Pesan masuk"
"close","tutup"
"Notifications","Pemberitahuan"
"The message has been marked as Read.","Pesan telah ditandai sebagai telah terbaca."
"We couldn't mark the notification as Read because of an error.","Kami tidak dapat menandai notifikasi sebagai Baca karena adanya kesalahan."
"Please select messages.","Silahkan pilih pesan."
"A total of %1 record(s) have been marked as Read.","Sebanyak %1 record(s) telah ditandai sebagai Baca."
"Total of %1 record(s) have been removed.","Total %1 record(s) telah dihapus."
"We couldn't remove the messages because of an error.","Kami tidak dapat menghapus pesan karena adanya kesalahan."
"The message has been removed.","Pesan telah dihapus."
"1 Hour","1 jam"
"2 Hours","2 jam"
"6 Hours","6 jam"
"12 Hours","12 jam"
"24 Hours","24 jam"
"critical","kritis"
"major","untuk"
"minor","kecil"
"notice","memberitahu"
"Wrong message type","Tipe Pesan yang salah"
"Wrong notification ID specified.","Kesalahan notifikasi ID secara spesifik."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} tidak disarankan untuk menggunakan dalam lingkungan produksi mendeklarasikan dasar URL yang tidak aman / dasar URL aman. Kami sangat menyarankan untuk mengganti nilai ini pada Magento anda <a href=""%1"">configuration</a>."
"One or more of the Cache Types are invalidated: %1. ","Satu atau beberapa Jenis Cache tidak berlaku: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Silakan buka <a href=""%1""> Manajemen Cache </a> dan segarkan jenis cache."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Kami tidak dapat menyinkronkan satu atau beberapa file media. Silakan merujuk ke file log untuk rinciannya."
"Synchronization of media storages has been completed.","Sinkronisasi penyimpanan media telah selesai."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Web server anda pengaturannya tidak benar dan mengizinkan tanpa autorisasi ke file-file sensitiff. Silahkan hubungi penyedia hosting anda."
"System Messages:","Pesan Sistem:"
"Critical System Messages","Sistem pesan kritis"
"Major System Messages","Pesan Sistem Utama"
"System messages","Pesan sistem"
"Close","Tutup"
"See All (","Lihat Semua ("
" unread)"," belum dibaca)"
"Show Toolbar","Tampilkan Toolbar"
"Show List","Tampilkan Daftar"
"Use HTTPS to Get Feed","Gunakan HTTPS untuk Mendapatkan Feed"
"Update Frequency","Perbarui Frekuensi"
"Last Update","Pembaharuan Terakhir"
"Severity","Kerasnya"
"Date Added","Tanggal Ditambahkan"
"Message","Pesan"
"Actions","Tindakan"
"Close popup","Tutup popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Anda telah melihat dan menyelesaikan semua pemberitahuan sistem terbaru. Harap segarkan halaman web untuk menghapus pemberitahuan pemberitahuan."
