"Read Details","خواندن جزئیات"
"Mark as Read","خوانده شده"
"Are you sure?","شما اطمینان دارید؟"
"Remove","برداشتن"
"Messages Inbox","صندوق پیغام‌های دریافتی"
"You have %1 new system messages","شما %1 پیغام سیستمی جدید دارید"
"You have %1 new system message","شما %1 پیغام سیستمی جدید دارید"
"Incoming Message","پیغام های دریافتی"
"close","بستن"
"Notifications","اطلاعیه‌ها"
"The message has been marked as Read.","پیغام به عنوان «خوانده شده» علامت گذاری شد."
"We couldn't mark the notification as Read because of an error.","به دلیل بروز خطا، نتوانستیم اطلاعیه را به «خوانده شده» تغییر دهیم."
"Please select messages.","لطفا پیغام‌ها را انتخاب کنید."
"A total of %1 record(s) have been marked as Read.","%1 اطلاعیه به «خوانده شده» تغییر پیدا کرد."
"Total of %1 record(s) have been removed.","%1 اطلاعیه حذف شد."
"We couldn't remove the messages because of an error.","به دلیل بروز خطا، نتوانستیم پیغام‌ها را حذف کنیم."
"The message has been removed.","پیغام حذف شد."
"1 Hour","1 ساعت"
"2 Hours","2 ساعت"
"6 Hours","6 ساعت"
"12 Hours","12 ساعت"
"24 Hours","24 ساعت"
"critical","بحرانی"
"major","اصلي"
"minor","جزئی"
"notice","اطلاعیه"
"Wrong message type","نوع پيغام نادرست است"
"Wrong notification ID specified.","شناسه اطلاعیه اشتباه است."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","استفاده از آدرس {{base_url}} در بخش آدرس پایه مجنتو، در محیط عملیاتی توصیه نمی‌شود. اکیدا توصیه می‌کنیم که از بخش <a href=""%1""> پیکربندی </a>، این آدرس را تغییر دهید."
"One or more of the Cache Types are invalidated: %1. ","یک یا چند نوع از «حافظه‌های موقت» نامعتبر شده‌اند: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","لطفا به صفحه <a href=""%1""> مدیریت حافظه موقت </a> مراجعه و آنها را به روز رسانی کنید."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","تعدادی از فایل های رسانه‌ ای قابل به همگام سازی نیستند. برای مشاهده جزئیات لطفا به فایل وقایع مراجعه کنید."
"Synchronization of media storages has been completed.","همگام سازی فضای رسانه‌ها کامل شده است."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","تنظیمات سرور وب شما نادرست است و بدون شناسایی کاربر، اجازه دسترسی غیر مجاز به اسناد حساس را می‌دهد. لطفا با مدیر سرور خود تماس بگیرید."
"System Messages:","پیغام‌های سیستمی:"
"Critical System Messages","پیغام های مهم سیستمی"
"Major System Messages","پیغام های اصلی سیستم"
"System messages","پیغام‌های سیستمی"
"Close","بستن"
"See All (","مشاهده همه)"
" unread)"," خوانده نشده"
"Show Toolbar","نمایش نوار ابزار"
"Show List","نمایش لیست"
"Use HTTPS to Get Feed","استفاده از HTTPS برای دریافت فید"
"Update Frequency","تکرار به روز رسانی"
"Last Update","آخرین به روز رسانی"
"Severity","شدت"
"Date Added","تاریخ اضافه شدن"
"Message","پیام"
"Actions","کنش‌ها"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","شما تمام اعلامیه های اخیر سیستم را مشاهده و حل کرده اید. لطفا صفحه وب را برای پاک کردن اعلامیه ها به روز رسانی کنید."
