"Read Details","Đọc chi tiết"
"Mark as Read","Đánh dấu đã đọc"
"Are you sure?","Bạn chắc chứ?"
"Remove","Loại bỏ"
"Messages Inbox","Hộp thư"
"You have %1 new system messages","Bạn có %1 hệ thống thư mới"
"You have %1 new system message","Bạn có %1 hệ thống thư mới"
"Incoming Message","Thư đến"
"close","đóng"
"Notifications","Các thông báo"
"The message has been marked as Read.","Thư được đánh dấu đã đọc."
"We couldn't mark the notification as Read because of an error.","Chúng tôi không thể đánh dấu đã đọc vì có lỗi xảy ra."
"Please select messages.","Vui lòng chọn thư."
"A total of %1 record(s) have been marked as Read.","Tổng cộng %1 bản ghi chép(s) đã được đánh đấu Đã đọc."
"Total of %1 record(s) have been removed.","Tất cả biên bản %1 đã được xóa."
"We couldn't remove the messages because of an error.","Chúng tôi không thể di chuyển tin nhắn vì có lỗi xảy ra."
"The message has been removed.","Thư đã được xóa."
"1 Hour","1 Giờ"
"2 Hours","2 Giờ"
"6 Hours","6 Giờ"
"12 Hours","12 Giờ"
"24 Hours","24 Giờ"
"critical","nghiêm trọng"
"major","chính"
"minor","nhỏ"
"notice","chú ý"
"Wrong message type","Sai loại tin nhắn"
"Wrong notification ID specified.","Sai thông báo ID."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} không được khuyến khích sử dụng trong chế độ môi trường sản phẩm để khai báo Base Unsecure URL / Base Secure URL. Chúng tôi khuyến cáo nên thay đổi giá trị này trong Magento của bạn <a href=""%1""> mục cấu hình</a>."
"One or more of the Cache Types are invalidated: %1. ","Một hoặc nhiều Cache Types không đúng: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Vui lòng vào <a href=""%1>Quản lý Bộ nhớ đệm</a> và làm mới."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Chúng tôi không thể đồng bộ hóa một hoặc nhiều tệp phương tiện. Vui lòng tham khảo tệp log để biết thêm chi tiết."
"Synchronization of media storages has been completed.","Đồng bộ hóa bộ nhớ phương tiện đã hoàn tất."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Máy chủ web của bạn bị thiết lập không đúng và cho phép truy cập trái phép vào những tệp nhạy cảm."
"System Messages:","Hệ thống tin nhắn:"
"Critical System Messages","Hệ thống tin nhắn quan trọng"
"Major System Messages","Hệ thống tin nhắn chính"
"System messages","Hệ thống tin nhắn"
"Close","Đóng lại"
"See All (","Xem Tất cả ("
" unread)"," chưa đọc)"
"Show Toolbar","Hiển thi thanh công cụ"
"Show List","Hiển thị Danh Sách"
"Use HTTPS to Get Feed","Dùng HTTPS Để Lấy Nguồn Cấp Dữ Liệu Feed"
"Update Frequency","Tần Suất Nâng Cấp"
"Last Update","Lần Nâng Cấp Cuối"
"Severity","Mức Độ Nghiêm Trọng"
"Date Added","Ngày Được Thêm"
"Message","Tin nhắn"
"Actions","Thao tác"
"Close popup","Đóng popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Bạn đã xem và duyệt qua những lưu ý từ hệ thống. Xin hãy làm mới lại trang web để làm trống cảnh báo hệ thống."
