"Read Details","Ver Detalhes"
"Mark as Read","Marcar como Lido"
"Are you sure?","Tem a certeza?"
"Remove","Eliminar"
"Messages Inbox","Caixa de entrada de mensagens"
"You have %1 new system messages","Você tem %1 novas mensagens de sistema"
"You have %1 new system message","Você tem %1 nova(s) mensagem(ns) de sistema"
"Incoming Message","Nova mensagem"
"close","fechar"
"Notifications","Notificações"
"The message has been marked as Read.","A mensagem foi marcada como lida."
"We couldn't mark the notification as Read because of an error.","Não foi possível marcar a notificação como Lida porque ocorreu um erro."
"Please select messages.","Por favor, seleccione as mensagens."
"A total of %1 record(s) have been marked as Read.","Foram marcados como lidos um total de %1 registo(s)."
"Total of %1 record(s) have been removed.","Um total de %1 registos foram eliminados."
"We couldn't remove the messages because of an error.","Não foi possível eliminar as mensagens porque ocorreu um erro."
"The message has been removed.","A mensagem foi removida."
"1 Hour","1 hora"
"2 Hours","2 horas"
"6 Hours","6 horas"
"12 Hours","12 horas"
"24 Hours","24 horas"
"critical","crítico"
"major","alto"
"minor","baixo"
"notice","aviso"
"Wrong message type","Tipo de mensagem errada"
"Wrong notification ID specified.","ID de notificação errado."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","O URL {{base_url}} não é recomendado em ambiente de produção para declarar o URL Base Inseguro / URL Base Seguro. É altamente recomendado alterar este valor na <a href=""%1"">configuration</a> Magento."
"One or more of the Cache Types are invalidated: %1. ","Um ou mais tipos de cache estão invalidados: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Por favor, vá a <a href=""%1"">Gestão de Cache</a> e atualize os tipos de cache."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Fomos incapazes de sincronizar um ou mais ficheiros de média. Consulte o ficheiro de log para obter detalhes."
"Synchronization of media storages has been completed.","A sincronização dos repositórios de média foi concluída."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","O seu servidor está configurado incorretamente e permite o acesso não autorizado a ficheiros confidenciais. Por favor contacte o seu fornecedor de alojamento."
"System Messages:","Mensagens do sistema:"
"Critical System Messages","Mensagens Críticas do Sistema"
"Major System Messages","Mensagens Importantes do Sistema"
"System messages","Mensagens do sistema"
"Close","Fechar"
"See All (","Ver tudo ("
" unread)"," não lidas)"
"Show Toolbar","Mostrar Barra de Ferramentas"
"Show List","Mostrar Lista"
"Use HTTPS to Get Feed","Use HTTPS para obter o Feed"
"Update Frequency","Frequência de Atualização"
"Last Update","Última Atualização"
"Severity","Gravidade"
"Date Added","Data de Adição"
"Message","Mensagem"
"Actions","Ações"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Você visualizou e resolveu todos os avisos recentes do sistema. Atualize a página da web para limpar o alerta de aviso."
