"Read Details","Lire les détails"
"Mark as Read","Marquer comme lu"
"Are you sure?","Êtes-vous sûr(e) ?"
"Remove","Supprimer"
"Messages Inbox","Messages reçus"
"You have %1 new system messages","Vous avez %1 nouveaux messages système"
"You have %1 new system message","Vous avez %1 nouveau message système"
"Incoming Message","Message entrant"
"close","fermer"
"Notifications","Notifications"
"The message has been marked as Read.","Le message a été marqué comme lu."
"We couldn't mark the notification as Read because of an error.","Nous ne pouvons pas marquer la notification comme lue à cause d'une erreur."
"Please select messages.","Veuillez sélectionner des messages."
"A total of %1 record(s) have been marked as Read.","Un total de %1 enregistrement(s) a(ont) été(s) marqué(s) comme lu(s)."
"Total of %1 record(s) have been removed.","%1 enregistrement(s) a(ont) été supprimé(s)."
"We couldn't remove the messages because of an error.","Nous n'avons pas pu supprimer les messages en raison d'une erreur."
"The message has been removed.","Le message a bien été supprimé."
"1 Hour","1 heure"
"2 Hours","2 heures"
"6 Hours","6 heures"
"12 Hours","12 heures"
"24 Hours","24 heures"
"critical","critique"
"major","majeur"
"minor","mineur"
"notice","avertissement"
"Wrong message type","Mauvais type de message."
"Wrong notification ID specified.","L'identifiant de notification spécifié est erroné."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","L'utilisation de {{base_url}} n'est pas recommandée dans un environnement de production pour déclarer l'adresse non sécurisée de base / l'adresse sécurisée de base. Nous vous recommandons vivement de modifier cette valeur dans votre <a href=""%1"">configuration</a> Magento."
"One or more of the Cache Types are invalidated: %1. ","Au moins un type de cache est invalide : %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Veuillez vous rendre à la <a href=""%1"">gestion du cache</a> puis actualisez les types de cache."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Un ou plusieurs fichier(s) média(s) n'a / n'ont pas pu être synchronisé(s). Veuillez consulter le fichier journal pour plus de détails."
"Synchronization of media storages has been completed.","La synchronisation du stockage des médias est terminée."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Votre serveur web est mal configuré et permet l'accès non autorisé à des fichiers sensibles. Veuillez contacter votre hébergeur."
"System Messages:","Messages système :"
"Critical System Messages","Messages système critiques"
"Major System Messages","Messages système majeurs"
"System messages","Messages système"
"Close","Fermer"
"See All (","Voir tous ("
" unread)"," non lus)"
"Show Toolbar","Afficher la barre d'outils"
"Show List","Afficher la liste"
"Use HTTPS to Get Feed","Utiliser HTTPS pour récupérer le flux"
"Update Frequency","Fréquence de mise à jour"
"Last Update","Dernière mise à jour"
"Severity","Importance"
"Date Added","Date d'ajout"
"Message","Message"
"Actions","Actions"
"Close popup","Fermer le popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Vous avez vu et résolu tous les avis récents du système. Veuillez actualiser la page web pour effacer l’alerte d’avis."
