"Read Details","Читати подробиці"
"Mark as Read","Позначити як прочитане"
"Are you sure?","Ви впевнені?"
"Remove","Вилучити"
"Messages Inbox","Вхідні повідомлення"
"You have %1 new system messages","У вас є %1 нових системних повідомлень"
"You have %1 new system message","У вас є %1 новe системнe повідомлення"
"Incoming Message","Вхідне повідомлення"
"close","закрити"
"Notifications","Сповіщення"
"The message has been marked as Read.","Повідомлення позначене як прочитане."
"We couldn't mark the notification as Read because of an error.","Ми не змогли позначити повідомлення як прочитане через помилку."
"Please select messages.","Будь ласка, виберіть повідомлення."
"A total of %1 record(s) have been marked as Read.","Всього %1 запис (-ів) позначено як прочитані."
"Total of %1 record(s) have been removed.","Загалом %1 запис(ів) було видалено."
"We couldn't remove the messages because of an error.","Ми не змогли видалити повідомлення через помилку."
"The message has been removed.","Повідомлення було вилучено."
"1 Hour","1 година"
"2 Hours","2 години"
"6 Hours","6 годин"
"12 Hours","12 годин"
"24 Hours","24 години"
"critical","критично"
"major","основне"
"minor","другорядне"
"notice","повідомлення"
"Wrong message type","Невірний тип повідомлення"
"Wrong notification ID specified.","Вказано невірний ID сповіщення."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} не рекомендується використовувати у виробничому середовищі для декларування Base Unsecure URL / Base Secure URL. Ми наполегливо радимо змінити це значення в Magento <a href=\"%1\">конфігурації</a>."
"One or more of the Cache Types are invalidated: %1. ","Один або кілька типів кешу недійсні: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Будь ласка, перейдіть до <a href=""%1"">управління кешем</a> та оновіть типи кешу."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Нам не вдалося синхронізувати один або більше медіа-файлів. Для деталей, будь ласка, зверніться до файлу журналу."
"Synchronization of media storages has been completed.","Завершено синхронізацію медіа сховищ."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Ваш веб-сервер хибно налаштований і дозволяє отримати несанкціонований доступ до конфіденційних файлів. Будь ласка, зверніться до вашого хостинг-провайдеру."
"System Messages:","Системні Повідомлення:"
"Critical System Messages","Критичні Системні Повідомлення"
"Major System Messages","Важливі Системні Повідомлення"
"System messages","Системні повідомлення"
"Close","Закрити"
"See All (","Переглянути все ("
" unread)"," непрочитані)"
"Show Toolbar","Показати панель інструментів"
"Show List","Показати список"
"Use HTTPS to Get Feed","Використовувати HTTPS для отримання стрічки новин"
"Update Frequency","Частота оновлення"
"Last Update","Останнє оновлення"
"Severity","Суворість"
"Date Added","Дата додавання"
"Message","Повідомлення"
"Actions","Дії"
"Close popup","Закрити вікно"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Ви переглянули та вирішили всі останні повідомлення системи. Будь ласка, оновіть веб-сторінку, щоб очистити сповіщення."
