"Read Details","詳細を読む"
"Mark as Read","既読にする"
"Are you sure?","よろしいですか？"
"Remove","削除"
"Messages Inbox","受信箱"
"You have %1 new system messages","%1の新規メッセージがあります"
"You have %1 new system message","%1の新規メッセージがあります"
"Incoming Message","受信メッセージ"
"close","閉じる"
"Notifications","お知らせ"
"The message has been marked as Read.","メッセージは既読にされました"
"We couldn't mark the notification as Read because of an error.","エラーのためにメッセージを既読にできませんでした"
"Please select messages.","メッセージを選択してください"
"A total of %1 record(s) have been marked as Read.","合計%1件のレコードが既読になりました"
"Total of %1 record(s) have been removed.","合計%1件のレコードが削除されました"
"We couldn't remove the messages because of an error.","エラーのためにメッセージを削除できませんでした"
"The message has been removed.","メッセージを削除しました。"
"1 Hour","1時間"
"2 Hours","2時間"
"6 Hours","6時間"
"12 Hours","12時間"
"24 Hours","24時間"
"critical","致命的な"
"major","メジャー"
"minor","マイナー"
"notice","通知"
"Wrong message type","不正なメッセージ種別"
"Wrong notification ID specified.","間違ったお知らせIDが指定されました"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}}は開発環境でBase UnsecureURL / Base Secure URLを宣言するのに推奨されません。 Magentoの<a href=""%1"">設定</a>にてこの値を変更することを強く推奨します。"
"One or more of the Cache Types are invalidated: %1. ","1つ以上のキャッシュが最新ではありません： %1"
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types."," <a href=""""%1"""">キャッシュ管理</a>にてキャッシュを更新してください"
"We were unable to synchronize one or more media files. Please refer to the log file for details.","ひとつか複数のメディアファイルを同期することができませんでした。詳細はログファイルを確認してください。"
"Synchronization of media storages has been completed.","メディア保管場所の同期が終了しました。"
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","ウェブサーバーは誤って設定されており重要なファイルに権限のないアクセスを許可します。 ホストプロバイダーに連絡してください。"
"System Messages:","システムメッセージ："
"Critical System Messages","致命的なシステムメッセージ"
"Major System Messages","メジャーなシステムメッセージ"
"System messages","システムメッセージ"
"Close","閉じる"
"See All (","すべて見る("
" unread)"," 未読)"
"Show Toolbar","ツールバーを表示"
"Show List","リスト表示"
"Use HTTPS to Get Feed","HTTPSを使ってフィードを得る"
"Update Frequency","更新頻度"
"Last Update","最終更新"
"Severity","重要度"
"Date Added","登録日"
"Message","メッセージ"
"Actions","アクション"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","最新のシステム通知をすべて表示しました。 通知をクリアするには、Webページを更新してください。"
