"Read Details","વિગતો વાંચો"
"Mark as Read","વાંચો તરીકે ચિહ્નિત કરો"
"Are you sure?","શું તમે ખાતરી કરો છો?"
"Remove","દૂર કરો"
"Messages Inbox","સંદેશાઓ ઇનબોક્સ"
"You have %1 new system messages","તમારી પાસે %1 નવો સિસ્ટમ સંદેશાઓ છે"
"You have %1 new system message","તમારી પાસે %1 નવો સિસ્ટમ સંદેશ છે"
"Incoming Message","આવનારી સંદેશ"
"close","બંધ"
"Notifications","સૂચનાઓ"
"The message has been marked as Read.","સંદેશ વાંચવા તરીકે ચિહ્નિત કરવામાં આવ્યો છે."
"We couldn't mark the notification as Read because of an error.","ભૂલને લીધે અમે સૂચનાને વાંચી તરીકે ચિહ્નિત કરી શક્યાં નથી."
"Please select messages.","સંદેશાઓ પસંદ કરો."
"A total of %1 record(s) have been marked as Read.","કુલ %1 રેકોર્ડ (ઓ) વાંચવા તરીકે ચિહ્નિત કરવામાં આવ્યા છે."
"Total of %1 record(s) have been removed.","કુલ %1 રેકોર્ડ્સ દૂર કરવામાં આવ્યાં છે."
"We couldn't remove the messages because of an error.","ભૂલને કારણે અમે સંદેશાઓને દૂર કરી શક્યા નથી."
"The message has been removed.","સંદેશ દૂર કરવામાં આવ્યો છે."
"1 Hour","1 કલાક"
"2 Hours","2 કલાક"
"6 Hours","6 કલાક"
"12 Hours","12 કલાક"
"24 Hours","24 કલાક"
"critical","નિર્ણાયક"
"major","મુખ્ય"
"minor","નાનો"
"notice","સૂચના"
"Wrong message type","ખોટો સંદેશો પ્રકાર"
"Wrong notification ID specified.","ખોટી સૂચના આઇડી ઉલ્લેખિત."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} ને બેઝ અસુરક્ષિત URL / બેઝ સુરક્ષિત URL જાહેર કરવા માટે ઉત્પાદન વાતાવરણમાં ઉપયોગ કરવાની ભલામણ કરવામાં આવી નથી. અમે તમારા Magento <a href=""%1""> ગોઠવણી </a> માં આ મૂલ્યને બદલવાની ભલામણ કરીએ છીએ."
"One or more of the Cache Types are invalidated: %1. ","કેશ પ્રકારોમાંથી એક અથવા વધુ અમાન્ય છે: % 1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","કૃપા કરીને <a href=""%1""> કેશ મેનેજમેન્ટ </a> પર જાઓ અને કેશ પ્રકારો તાજું કરો."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","We were unable to synchronize one or more media files. Please refer to the log file for details."
"Synchronization of media storages has been completed.","Synchronization of media storages has been completed."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider."
"System Messages:","System Messages:"
"Critical System Messages","Critical System Messages"
"Major System Messages","Major System Messages"
"System messages","System messages"
"Close","બંધ"
"See All (","See All ("
" unread)"," unread)"
"Show Toolbar","Show Toolbar"
"Show List","Show List"
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"
"Update Frequency","Update Frequency"
"Last Update","Last Update"
"Severity","Severity"
"Date Added","Date Added"
"Message","સંદેશ"
"Actions","ક્રિયાઓ"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert."
