"Read Details","Läs detaljer"
"Mark as Read","Markera som läst"
"Are you sure?","Är du säker?"
"Remove","Ta bort"
"Messages Inbox","Inkorgen"
"You have %1 new system messages","Du har %1 nya meddelanden"
"You have %1 new system message","Du har %1 nytt meddelande"
"Incoming Message","Inkommande meddelande"
"close","stäng"
"Notifications","Aviseringar"
"The message has been marked as Read.","Meddelandet har markerats som läst."
"We couldn't mark the notification as Read because of an error.","Vi kunde inte markera meddelandet som läst på grund av ett fel."
"Please select messages.","Välj meddelanden."
"A total of %1 record(s) have been marked as Read.","Sammanlagt %1 post(er) har markerats som läst(a)."
"Total of %1 record(s) have been removed.","Totalt %1 post(er) har tagits bort."
"We couldn't remove the messages because of an error.","Vi kunde inte ta bort meddelanden på grund av ett fel."
"The message has been removed.","Meddelandet har tagits bort."
"1 Hour","1 timme"
"2 Hours","2 timmar"
"6 Hours","6 timmar"
"12 Hours","12 timmar"
"24 Hours","24 timmar"
"critical","kritiska"
"major","stora"
"minor","mindre"
"notice","avisering"
"Wrong message type","Fel meddelandetyp"
"Wrong notification ID specified.","Fel aviserings-ID har angetts."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} är inte rekommenderat att använda som URL i en produktionsmiljö. Vi rekommenderar att du ändrar detta i dina Magento-<a href=""%1"">inställningar</a>."
"One or more of the Cache Types are invalidated: %1. ","En eller flera av cache-typerna är ogiltiga: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Gå till <a href=""%1"">cache-hanteringen</a> och uppdatera cache-typer."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Det gick inte att synkronisera en eller flera mediefiler. Se loggfilen för detaljer."
"Synchronization of media storages has been completed.","Synkronisering av medialagringar har slutförts."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Din webbserver är felaktigt inställd och tillåter obehörig åtkomst till känsliga filer. Kontakta ditt webbhotell för åtgärd."
"System Messages:","Meddelanden:"
"Critical System Messages","Kritiska meddelanden"
"Major System Messages","Viktiga meddelanden"
"System messages","Meddelanden"
"Close","Stäng"
"See All (","Visa alla ("
" unread)"," olästa)"
"Show Toolbar","Visa verktygsfält"
"Show List","Visa lista"
"Use HTTPS to Get Feed","Hämta feed via HTTPS"
"Update Frequency","Uppdateringsfrekvens"
"Last Update","Senaste uppdatering"
"Severity","Nivå"
"Date Added","Tillagd datum"
"Message","Meddelande"
"Actions","Åtgärder"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Du har tittat på och löst alla senaste systemmeddelanden. Vänligen uppdatera webbsidan för att få bort varningsnotisen."
