"Wishlist","Lista de deseos"
"Customer's Wish List Report","Informe de lista de deseos del cliente"
"My Wish Lists","Mis listas de favoritos"
"1 item in wish list","1 artículo en lista de deseos"
"%1 items in wish list","%1 artículos en lista de deseos"
"Wish List Search","Búsqueda en lista de deseos"
"Select Search Type","Seleccione tipo de búsqueda"
"Reports","Informes"
"Customers","Clientes"
"Customer Wish List Report","Informe de lista de deseos del cliente"
"Wish list ""%1"" was saved.","Lista de deseos ""%1"" se guardó."
"We can't create the wish list right now.","No podemos crear la lista de deseos ahora mismo."
"Page not found.","Página no encontrada."
"""%1"" was copied to %2.","""%1"" se copio en %2."
"We can't find the item.","No podemos encontrar el artículo."
"""%1"" is already present in %2.","""%1"" ya está presente en %2."
"We can't copy ""%1"".","Spanish translate."
"We can't copy the wish list item.","No podemos copiar el elemento de la lista de deseos."
"We can't find %1 items.","No encontramos artículos de %1."
"We can't copy %1 items.","No podemos copiar elementos de %1."
"%1 items are already present in %2: %3.","%1 elementos ya están presentes en %2: %3."
"%1 items were copied to %2: %3.","%1 artículos fueron copiados a %2: %3."
"You can't delete the default wish list.","No se puede eliminar la lista por defecto."
"Wish List ""%1"" has been deleted.","Lista de deseos ""%1"" ha sido eliminada."
"We can't delete the wish list right now.","No podemos borrar la lista de deseos en este momento"
"""%1"" was moved to %2.","""%1"" fue movido a %2."
"We can't find an item with this ID.","No podemos encontrar un artículo con esta acreditación."
"We cannot move ""%1"".","No podemos mover ""%1""."
"We can't move the wish list item.","No podemos copiar el elemento de la lista de deseos."
"%1 items cannot be moved: %2.","%1 artículos no se pueden mover: %2."
"We can't move %1 items.","No podemos mover los elementos de %1."
"%1 items were moved to %2: %3.","%1 artículos fueron copiados a %2: %3."
"%1 for ""%2""","%1 por ""%2"""
"We can't add the item to shopping cart.","No puedes añadir el artículo al carrito de la compra."
"We can't add the following product(s) to shopping cart: %1.","No podemos añadir los siguientes productos al carrito de compras: %1."
"Product(s) %1 have required options. Each product can only be added individually.","El (los) artículo(s) %s requieren opciones. Cada artículo solo se puede añadir de manera individual."
"%1 product(s) have been added to shopping cart: %2.","%1 producto (s) se han agregado al carrito de compras: %2."
"Please reenter your search options.","Vuelva a las opciones de búsqueda."
"We could not perform the search.","No podríamos realizar la búsqueda."
"All Forms","Todas las formas"
"Owner Name","Propietario"
"Owner Email","E-mail del dueño"
"%1's Wish List","Lista de artículos %1"
"%1's Wish List (%2)","Lista de deseos de %1 (%2)"
"Please enter a valid email address.","Por favor, introduce una dirección de correo electrónico válida."
"Please enter at least 2 letters of the first name.","Por favor introduzca al menos 2 letras del nombre."
"Please enter at least 2 letters of the last name.","Por favor introduzca al menos 2 Letras del apellido."
"Sign in to edit wish lists.","Inicia sesión para editar las listas de deseos."
"The wish list is not assigned to your account and can't be edited.","La lista de deseos no está asignada a su cuenta y no se puede editar."
"Provide the wish list name.","Proporciona el nombre de la lista de deseos."
"Wish list ""%1"" already exists.","Lista de deseos ""%1"" ya existe."
"Only %1 wish list(s) can be created.","Se pueden crear sólo %1 wish list(s)."
