"Wishlist","Daftar harga"
"Customer's Wish List Report","Laporan Daftar Keinginan Pelanggan"
"My Wish Lists","Daftar keinginan saya"
"1 item in wish list","1 item dalam daftar keinginan"
"%1 items in wish list","%1 item dalam daftar keinginan"
"Wish List Search","Ingin Daftar Pencarian"
"Select Search Type","Pilih Jenis Pencarian"
"Reports","Laporan"
"Customers","Pelanggan"
"Customer Wish List Report","Laporan Daftar Keinginan Pelanggan"
"Wish list ""%1"" was saved.","Daftar keinginan ""%1"" telah disimpan."
"We can't create the wish list right now.","Kami tidak dapat membuat daftar keinginan sekarang."
"Page not found.","Halaman tidak ditemukan."
"""%1"" was copied to %2.","""%1"" telah disalin ke %2."
"We can't find the item.","Kami tidak dapat menemukan itemnya."
"""%1"" is already present in %2.","""%1""sudah ada di%2."
"We can't copy ""%1"".","Kami tidak dapat menyalin ""%1""."
"We can't copy the wish list item.","Kami tidak dapat menyalin item daftar keinginan."
"We can't find %1 items.","Kami tidak dapat menemukan %1 item."
"We can't copy %1 items.","Kami tidak dapat menyalin %1 item."
"%1 items are already present in %2: %3.","%1 item sudah ada di %2:%3."
"%1 items were copied to %2: %3.","%1 item disalin ke %2:%3."
"You can't delete the default wish list.","You can't delete the default wish list."
"Wish List ""%1"" has been deleted.","Wish List ""%1"" telah dihapus."
"We can't delete the wish list right now.","Kami tidak dapat menghapus daftar keinginan sekarang."
"""%1"" was moved to %2.","""%1"" dipindahkan ke%2."
"We can't find an item with this ID.","Kami tidak dapat menemukan item dengan ID ini."
"We cannot move ""%1"".","Kita tidak bisa bergerak ""%1""."
"We can't move the wish list item.","Kita tidak bisa memindahkan daftar keinginan item."
"%1 items cannot be moved: %2.","%1 item tidak dapat dipindahkan:%2."
"We can't move %1 items.","Kami tidak dapat memindahkan %1 item."
"%1 items were moved to %2: %3.","%1 item dipindahkan ke %2:%3."
"%1 for ""%2""","%1 untuk ""%2"""
"We can't add the item to shopping cart.","Kami tidak dapat menambahkan item ke keranjang belanja."
"We can't add the following product(s) to shopping cart: %1.","Kami tidak dapat menambahkan produk berikut ke keranjang belanja: %1."
"Product(s) %1 have required options. Each product can only be added individually.","Produk %1 memiliki opsi yang diperlukan. Setiap produk hanya dapat ditambahkan satu per satu."
"%1 product(s) have been added to shopping cart: %2.","%1 produk telah ditambahkan ke keranjang belanja: %2."
"Please reenter your search options.","Silakan masukkan kembali pilihan pencarian Anda."
"We could not perform the search.","Kami tidak bisa melakukan pencarian."
"All Forms","Semua bentuk"
"Owner Name","Nama pemilik"
"Owner Email","Pemilik email"
"%1's Wish List","Daftar Keinginan %1"
"%1's Wish List (%2)","%1 's Wish List (%2)"
"Please enter a valid email address.","Silakan isi alamat email."
"Please enter at least 2 letters of the first name.","Silakan masukkan minimal 2 huruf dari nama depan."
"Please enter at least 2 letters of the last name.","Silakan masukkan minimal 2 huruf dari nama belakang."
"Sign in to edit wish lists.","Masuk untuk mengedit daftar keinginan."
"The wish list is not assigned to your account and can't be edited.","Daftar keinginan tidak ditugaskan ke akun Anda dan tidak dapat diedit."
"Provide the wish list name.","Berikan nama daftar keinginan."
"Wish list ""%1"" already exists.","Daftar keinginan ""%1"" sudah ada."
"Only %1 wish list(s) can be created.","Hanya daftar keinginan %1 yang bisa dibuat."
"Test Phrase","Uji Frase"
"Unknown Magento error","Kesalahan Magento tidak diketahui"
"InvalidArgumentException","InvalidArgumentException"
"Refresh","Menyegarkan"
"All Wish Lists","Semua Daftar Keinginan"
"Item","Barang"
"Qty","Jml"
"Price","Harga"
"Remove","Hapus"
"Add To Order","Menambahkan Sampai Memasang"
"Configure and Add to Order","Konfigurasikan dan Tambahkan ke Pesan"
"No items","Tidak ada barang"
"Delete Wish List","Hapus Daftar Keinginan"
"Owner","Pemilik"
"Name","Nama"
"Updated","Diperbarui"
"Wish List Items","Daftar keinginan item"
"You must select items to add to the cart.","Anda harus memilih item untuk ditambahkan ke keranjang."
"Add to Cart","Masukkan ke keranjang"
"Back","Kembali"
"Add to:","Tambahkan:"
"Create New Wish List","Buat Daftar Keinginan Baru"
"Move to Wish List","Pindahkan ke wish list"
"Copy to Wish List","Salin ke Daftar Keinginan"
"Search Options","Pilihan pencarian"
"Required Fields","Bidang yang Diperlukan"
"First Name","Nama depan"
"Last Name","Nama Belakang"
"Search","Pencarian"
"Search Results","Hasil Pencarian"
"Wish List Name","Nama daftar keinginan"
"Actions","Tindakan"
"View","Melihat"
"Your search returned no results.","Pencarian Anda tidak menghasilkan apa-apa."
"Wish List","Daftar keinginan"
"Create Wish List","Buat Daftar Keinginan"
"Edit Wish List","Edit Daftar Keinginan"
"Edit","Ubah"
"Public Wish List","Daftar Keinginan Publik"
"Private Wish List","Daftar Keinginan Pribadi"
"Select all","Pilih Semua"
"Move Selected to Wish List","Pindah Dipilih ke Wish List"
"Copy Selected to Wish List","Salin Dipilih ke Wish List"
"Search By","Cari dengan"
"Please enter at least two letters.","Silakan masukkan setidaknya dua huruf."
"Close","Tutup"
"Save","Menyimpan"
"Cancel","Batal"
"We can't create the Wish List right now.","Kami tidak dapat membuat daftar keinginan anda sekarang juga."
"Please select items to move.","Silakan pilih item yang akan dipindahkan."
"Please select items to copy.","Silakan pilih item yang akan disalin."
"Are you sure you want to delete your wish list? This action can't be undone.","Yakin ingin menghapus daftar keinginan? Tindakan ini tidak dapat dibatalkan."
"Wish Lists","Daftar Keinginan"
"Enable Multiple Wish Lists","Aktifkan Multiple Wish Lists"
"Number of Multiple Wish Lists","Jumlah Beberapa Daftar Keinginan"
"The number of multiple wish lists should be equal to or more than 2.","Jumlah daftar keinginan ganda harus sama dengan atau lebih dari 2."
"My Wish Lists Link","My Wish Lists Link"
"Display Wish Lists Summary","Tampilkan Ringkasan Daftar Keinginan"
"Wish List Search Description","Daftar keinginan pencarian"
"Quick Search Form Types","Jenis Bentuk Pencarian Cepat"
"Template","Template"
"Wish List Search Template","Template Template Daftar Keinginan"
"CSV","Csv"
"Excel XML","Excel XML"
"Added","Ditambahkan"
"Customer","Pelanggan"
"Status","Subjek"
"Public","Publik"
"Private","Pribadi"
"Product","Produk"
"SKU","SKU"
"Comment","Komentar"
"Wish List Quantity","Ingin Daftar Kuantitas"
"Store Quantity","Jumlah toko"
"Surplus / Deficit","Kelebihan / Defisit"
"All Websites","Semua Website"
"Product Info","Info produk"
"Unit Price","Patokan harga"
"Add to Wish List","Tambahkan ke Daftar Keinginan"
"Could not create a wish list.","Could not create a wish list."
"The default wish list can't be deleted.","The default wish list can't be deleted."
"Edit wish list","Edit wish list"
