"Wishlist","收藏"
"Customer's Wish List Report","客户的收藏列表报告"
"My Wish Lists","我的收藏清单"
"1 item in wish list","收藏清单中的 1 项"
"%1 items in wish list","%1 收藏列表中的项目"
"Wish List Search","收藏列表搜索"
"Select Search Type","快速搜索表单类型"
"Reports","报告"
"Customers","客户"
"Customer Wish List Report","客户的收藏列表报告"
"Wish list ""%1"" was saved.","""%1""的收藏清单被救了。"
"We can't create the wish list right now.","我们不能创造收藏清单现在。"
"Page not found.","找不到网页。"
"""%1"" was copied to %2.","""%1""被复制到 %2。"
"We can't find the item.","我们找不到该项目。"
"""%1"" is already present in %2.","""%1""已存在于 %2。"
"We can't copy ""%1"".","我们不能复制""%1""。"
"We can't copy the wish list item.","我们不能移动的收藏列表项。"
"We can't find %1 items.","我们找不到 %1 项目。"
"We can't copy %1 items.","我们不能复制 %1 项目。"
"%1 items are already present in %2: %3.","%1 项目目前已经在 %2: %3。"
"%1 items were copied to %2: %3.","%1 项目已被复制到 %2: %3。"
"You can't delete the default wish list.","You can't delete the default wish list."
"Wish List ""%1"" has been deleted.","收藏清单""%1""已被删除。"
"We can't delete the wish list right now.","我们现在不能删除收藏清单。"
"""%1"" was moved to %2.","""%1""被转移到 %2。"
"We can't find an item with this ID.","我们找不到项目与此 id。"
"We cannot move ""%1"".","我们不能移动""%1""。"
"We can't move the wish list item.","我们不能移动的收藏列表项。"
"%1 items cannot be moved: %2.","无法移动 %1 项目: %2。"
"We can't move %1 items.","我们不能移动 %1 项目。"
"%1 items were moved to %2: %3.","%1 项目被移动到 %2: %3。"
"%1 for ""%2""","""%2""%1"
"We can't add the item to shopping cart.","我们不能将该项目添加到购物车。"
"We can't add the following product(s) to shopping cart: %1.","我们不能向购物车添加以下产品: %1。"
"Product(s) %1 have required options. Each product can only be added individually.","产品 %1 具有所需的选项。每个产品只能单独添加。"
"%1 product(s) have been added to shopping cart: %2.","%1 的收藏夹"
"Please reenter your search options.","请重新输入您的搜索选项。"
"We could not perform the search.","我们不能执行搜索。"
"All Forms","所有形式"
"Owner Name","所有者名称"
"Owner Email","所有者的电子邮件"
"%1's Wish List","%1 的收藏清单"
"%1's Wish List (%2)","%1 的收藏清单 (%2)"
"Please enter a valid email address.","请输入一个有效的电子邮件地址。"
"Please enter at least 2 letters of the first name.","请输入姓氏的至少 2 个字母。"
"Please enter at least 2 letters of the last name.","请输入姓氏的至少 2 个字母。"
"Sign in to edit wish lists.","登录以编辑收藏清单。"
"The wish list is not assigned to your account and can't be edited.","收藏清单未分配给您的帐户，无法进行编辑。"
"Provide the wish list name.","提供的收藏列表名称。"
"Wish list ""%1"" already exists.","收藏清单""%1""已存在。"
"Only %1 wish list(s) can be created.","可以创建只 %1 wish list(s)。"
"Test Phrase","测试短语"
"Unknown Magento error","未知的 Magento 错误"
"InvalidArgumentException","InvalidArgumentException"
"Refresh","刷新"
"All Wish Lists","所有的收藏清单"
"Item","产品"
"Qty","数量"
"Price","价格"
"Remove","删除"
"Add To Order","无项目"
"Configure and Add to Order","配置和添加到订单"
"No items","没有项目"
"Delete Wish List","删除收藏清单"
"Owner","所有者"
"Name","名字"
"Updated","已更新"
"Wish List Items","收藏清单项目"
"You must select items to add to the cart.","您必须选择要添加到购物车项目。"
"Add to Cart","添加到购物车"
"Back","返回"
"Add to:","添加到:"
"Create New Wish List","创建新的收藏清单"
"Move to Wish List","移动到收藏夹"
"Copy to Wish List","复制到收藏清单"
"Search Options","搜索选项"
"Required Fields","必填的字段"
"First Name","名"
"Last Name","姓"
"Search","搜索"
"Search Results","搜索结果"
"Wish List Name","收藏清单名称"
"Actions","动作"
"View","查看"
"Your search returned no results.","您的搜索没有任何结果。"
"Wish List","收藏夹"
"Create Wish List","创建收藏清单"
"Edit Wish List","编辑收藏清单"
"Edit","编辑"
"Public Wish List","公众的收藏清单"
"Private Wish List","私人的收藏清单"
"Select all","选择全部"
"Move Selected to Wish List","移动选定收藏列表"
"Copy Selected to Wish List","选择收藏列表的副本"
"Search By","通过搜索"
"Please enter at least two letters.","请输入至少两封信。"
"Close","关闭"
"Save","保存"
"Cancel","取消"
"We can't create the Wish List right now.","我们不能创造收藏清单现在。"
"Please select items to move.","请选择要移动的项目。"
"Please select items to copy.","请选择要复制的项目。"
"Are you sure you want to delete your wish list? This action can't be undone.","你确定你想要删除你的收藏清单?此操作无法撤消。"
"Wish Lists","愿望清单"
"Enable Multiple Wish Lists","启用多个收藏列表"
"Number of Multiple Wish Lists","多个收藏列表的数目"
"The number of multiple wish lists should be equal to or more than 2.","多个收藏列表数目应该等于或超过 2。"
"My Wish Lists Link","我的收藏列表链接"
"Display Wish Lists Summary","显示的收藏列表摘要"
"Wish List Search Description","收藏清单搜索描述"
"Quick Search Form Types","快速搜索窗体类型"
"Template","模板"
"Wish List Search Template","收藏清单搜索模板"
"CSV","Excel XML"
"Excel XML","XML Excel"
"Added","已经添加"
"Customer","客户"
"Status","状态"
"Public","私人"
"Private","私人"
"Product","产品"
"SKU","商品编号SKU"
"Comment","评论"
"Wish List Quantity","收藏清单数量"
"Store Quantity","储存量"
"Surplus / Deficit","盈余 / 赤字"
"All Websites","所有网站"
"Product Info","产品信息"
"Unit Price","单价"
"Add to Wish List","添加到收藏夹"
"Could not create a wish list.","Could not create a wish list."
"The default wish list can't be deleted.","The default wish list can't be deleted."
"Edit wish list","Edit wish list"
