"Wishlist","Takip Listesi"
"Customer's Wish List Report","Müşterinin İstek Listesi Raporu"
"My Wish Lists","İstek listem"
"1 item in wish list","İstek listesindeki 1 öğe"
"%1 items in wish list","İstek listesinde% 1 öğe var"
"Wish List Search","İstek listesi arama"
"Select Search Type","Arama türü seçin"
"Reports","Raporlar"
"Customers","Müşteriler"
"Customer Wish List Report","Müşteri İstek Listesi Raporu"
"Wish list ""%1"" was saved.","Dilek listesi ""%1"" kaydedildi."
"We can't create the wish list right now.","Şu anda dilek listesi oluşturulamıyor."
"Page not found.","Sayfa bulunamadı."
"""%1"" was copied to %2.","''%1'' , %2'ye kopyalandı."
"We can't find the item.","Öğe bulunamıyor."
"""%1"" is already present in %2.","""%1"", %2'de zaten mevcut."
"We can't copy ""%1"".","""%1"" i kopyalayamıyoruz."
"We can't copy the wish list item.","İstek listesi öğesini kopyalayamayız."
"We can't find %1 items.","%1 öğelerini bulamadık."
"We can't copy %1 items.","%1 öğelerini kopyalayamadık."
"%1 items are already present in %2: %3.","%1 öğeler %2: %3' te zaten mevcut."
"%1 items were copied to %2: %3.","%1 öğe %2: %3' e kopyalanmış."
"You can't delete the default wish list.","You can't delete the default wish list."
"Wish List ""%1"" has been deleted.","İstek Listesi ""%1"" silindi."
"We can't delete the wish list right now.","Şu anda istek listesini silemiyoruz."
"""%1"" was moved to %2.","""%1"", %2 konumuna taşındı."
"We can't find an item with this ID.","Bu kimliği olan bir ürün bulamıyoruz."
"We cannot move ""%1"".","""%1"" i taşıyamıyoruz."
"We can't move the wish list item.","İstek listesi öğesini taşıyamayız."
"%1 items cannot be moved: %2.","%1 öğe taşınamıyor: %2."
"We can't move %1 items.","%1 öğelerini taşıyamadık."
"%1 items were moved to %2: %3.","%1 öğe %2' ye taşındı: %3."
"%1 for ""%2""","""%2"" için %1"
"We can't add the item to shopping cart.","Alışveriş sepetine bu ürün eklenemiyor."
"We can't add the following product(s) to shopping cart: %1.","Alışveriş sepetine aşağıdaki ürün (ler) eklenemiyor: %1."
"Product(s) %1 have required options. Each product can only be added individually.","%1 ürün (ler) inin gerekli seçenekleri var. Her ürün yalnızca tek tek eklenebilir."
