"Approved","Disetujui"
"Declined","Ditolak"
"Pending","Tertunda"
"Canceled","Dibatalkan"
"In Review","Dalam Pengkajian"
"Unrequested","Tidak Meminta"
"Learn more","Pelajari Kembali"
"This order already has associated case entity","Pesanan ini sudah memiliki entitas kasus terkait"
"The case entity should not be empty.","Entitas kasus tidak boleh kosong."
"Cannot update Case entity.","Tidak dapat memperbarui kasus entitas."
"The ""%1"" should not be empty.","Tautan ""%1"" tidak boleh kosong."
"Case entity not found.","Kasus entitas tidak ditemukan."
"Case Update: New score for the order is %1. Previous score was %2.","Kasus terbaru: Skor baru untuk urutan adalah %1. Skor sebelumnya adalah %2."
"Awaiting the Signifyd guarantee disposition.","Menunggu disposisi jaminan Signifyd."
"Only single entrance of ""%1"" node is required.","Hanya satu pintu masuk %1 node diperlukan."
"Not empty value for ""%1"" node is required.","Nilai kosong untuk simpul ""% 1"" tidak diperlukan."
"%1 must implement %2","% 1 harus menerapkan% 2"
"Error","Kesalahan"
"Cannot generate message.","Pesan tidak dapat dikirimkan."
"Message is generated.","Pesan yang dihasilkan."
"Case with the same order id already exists.","Berkas dengan nama yang sama sudah ada."
"Fraud Protection Information","Informasi Perlindungan Penipuan"
"Signifyd Guarantee Decision","Putusan Jaminan Penyelenggara"
"Fraud Protection Section","Bagian Perlindungan Penipuan"
"Fraud Protection","Diteksi Penipuan"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Melindungi Toko Anda dari Penipuan dengan jaminan perlindungan penipuan oleh penyelenggara."
"Configuration","Konfigurasi"
"Enable this Solution","Aktifkan solusi ini"
"API Key","Kunci API"
"API URL","API URL"
"Debug","Debugging"
"Webhook URL","Webhook URL"
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento."
