"Approved","تائید شد"
"Declined","رد شد"
"Pending","انتظار"
"Canceled","لغو شده"
"In Review","در بررسی"
"Unrequested","بدون درخواست"
"Learn more","بیشتر بدانید"
"This order already has associated case entity","این سفارش در حال حاضر دارای مورد خاص است"
"The case entity should not be empty.","موجودی مورد نباید خالی باشد."
"Cannot update Case entity.","نمی توان وضعیت موجود را به روز کرد."
"The ""%1"" should not be empty.","""%1"" نباید خالی باشد."
"Case entity not found.","موجودی مورد یافت نشد."
"Case Update: New score for the order is %1. Previous score was %2.","مورد به روز رسانی: نمره جدید برای سفارش%1 است. رتبه قبلی %2 بود."
"Awaiting the Signifyd guarantee disposition.","در انتظار تضمین نشانه گذاری Signifyd."
"Only single entrance of ""%1"" node is required.","تنها ورودی از گره ""%1"" مورد نیاز است."
"Not empty value for ""%1"" node is required.","مقدار خالی برای گره ""%1"" مورد نیاز نیست."
"%1 must implement %2","%1 باید%2 را اجرا کند"
"Error","خطا"
"Cannot generate message.","نمیتوان پیام تولید کرد."
"Message is generated.","پیام تولید شده است."
"Case with the same order id already exists.","مورد با همان شناسه سفارش در حال حاضر وجود دارد."
"Fraud Protection Information","تقلب در حفاظت اطلاعات"
"Signifyd Guarantee Decision","تصمیم گارانتی Signifyd"
"Fraud Protection Section","بخش حفاظت از تقلب"
"Fraud Protection","حفاظت از تقلب"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","حفاظت از فروشگاه شما از تقلب با محافظت تضمین حفاظت از تقلب توسط Signifyd."
"Configuration","پیکربندی"
"Enable this Solution","فعال کردن این راه حل"
"API Key","کلید API"
"API URL","آدرس API"
"Debug","اشکال زدايي کردن"
"Webhook URL","آدرس Webhook"
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento."
