"Approved","Akkoord"
"Declined","Afgewezen"
"Pending","In afwachting"
"Canceled","Geannuleerd"
"In Review","Wordt beoordeeld"
"Unrequested","Onaangevraagd"
"Learn more","Meer informatie"
"This order already has associated case entity","Deze bestelling heeft al een koppeling met een zaak-entiteit"
"The case entity should not be empty.","De zaak-entiteit zou net leeg moeten zijn."
"Cannot update Case entity.","Kan zaak-entiteit niet bijwerken."
"The ""%1"" should not be empty.","De ""%1"" zou niet leeg moeten zijn."
"Case entity not found.","Zaak-entiteit niet gevonden."
"Case Update: New score for the order is %1. Previous score was %2.","Zaak Update: Nieuwe score voor de bestelling is %1. Vorige score was %2."
"Awaiting the Signifyd guarantee disposition.","In afwachting van de Signifyd garantieplaatsing."
"Only single entrance of ""%1"" node is required.","Er is maar één enkele toegang van ""%1"" node verplicht."
"Not empty value for ""%1"" node is required.","Er is een waarde verplicht voor ""%1"" node."
"%1 must implement %2","%1 moet %2 implementeren"
"Error","Foutmelding"
"Cannot generate message.","Bericht kan niet worden gegenereerd."
"Message is generated.","Het bericht is gegenereerd."
"Case with the same order id already exists.","Zaak met hetzelfde bestelnr. bestaat al."
"Fraud Protection Information","Fraude bescherming informatie"
"Signifyd Guarantee Decision","Signifyd garantie beslissing"
"Fraud Protection Section","Sectie fraudebescherming"
"Fraud Protection","Fraudebescherming"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Beveilig je webshop tegen fraude met Gegarandeerde Fraude beveiliging door Signifyd."
"Configuration","Configuratie"
"Enable this Solution","Deze oplossing inschakelen"
"API Key","API-sleutel"
"API URL","API-URL"
"Debug","Fouten opsporen"
"Webhook URL","Webhook URL"
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd beoordeelt je bestellingen automatisch op fraude en vertelt je in seconden welke orders verzonden moeten worden en welke te weigeren.
We steunen onze goedkeuringen met 100% terugboekingsbescherming en betalen je het volledige orderbedrag plus kosten terug, mocht je ooit een frauduleuze terugvordering ontvangen.
<p>Voordelen:<ul>
<li>Laat je bedrijf groeien zonder bang te hoeven zijn voor fraude</li>
<li>Accepteer meer bestellingen en maximaliseer je inkomsten</li>
<li>Automatiseer bestellingscontrole en heb geen zorgen meer over fraude</li></ul></p>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">Bekijk onze installatiehandleiding</a> voor stapsgewijze instructies voor het integreren van Signifyd met Magento.<br />Voor ondersteuningscontact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Je webhook-URL zal worden gebruikt om <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">te configureren</a> een voltooide webhook in Signifyd. Webhooks worden gebruikt om Signifyd`s garantiebeslissingen terug te synchroniseren naar Magento."
