"Approved","Zatwierdzony"
"Declined","Odrzucono"
"Pending","Oczekujący"
"Canceled","Anulowane"
"In Review","W recenzji"
"Unrequested","Niewymagane"
"Learn more","Dowiedz się więcej"
"This order already has associated case entity","To zamówienie ma już powiązaną jednostkę sprawy"
"The case entity should not be empty.","Jednostka case nie powinna być pusta."
"Cannot update Case entity.","Nie można zaktualizować podmiotu Case."
"The ""%1"" should not be empty.","Pole ""%1"" nie powinno być puste."
"Case entity not found.","Nie znaleziono podmiotu sprawy."
"Case Update: New score for the order is %1. Previous score was %2.","Case Update: Nowy wynik dla zamówienia to %1. Poprzedni wynik wynosił %2."
"Awaiting the Signifyd guarantee disposition.","Oczekiwanie na dyspozycję gwarancji Signifyd."
"Only single entrance of ""%1"" node is required.","Wymagane jest tylko pojedyncze wejście węzła ""%1""."
"Not empty value for ""%1"" node is required.","Nie jest wymagana pusta wartość dla węzła ""%1""."
"%1 must implement %2","%1 musi implementować %2"
"Error","Błąd"
"Cannot generate message.","Nie można wygenerować wiadomości."
"Message is generated.","Wiadomość jest generowana."
"Case with the same order id already exists.","Sprawa o tym samym identyfikatorze zamówienia już istnieje."
"Fraud Protection Information","Informacje o ochronie przed oszustwami"
"Signifyd Guarantee Decision","Decyzja w sprawie gwarancji Signifyd"
"Fraud Protection Section","Sekcja ochrony przed oszustwami"
"Fraud Protection","Ochrona przed oszustwami"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Chroń swój sklep przed oszustwami dzięki gwarantowanej ochronie przed oszustwami Signifyd."
"Configuration","Konfiguracja"
"Enable this Solution","Włącz to rozwiązanie"
"API Key","Klucz API"
"API URL","API URL"
"Debug","Tryb debug"
"Webhook URL","Adres URL elementu webhook"
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd automatycznie sprawdza zamówienia pod kątem oszustw, informując w ciągu kilku sekund, które zamówienia wysłać, a które odrzucić.
                    Nasze zatwierdzenia wspieramy 100% ochroną przed obciążeniem zwrotnym, zwracając pełną kwotę zamówienia wraz z opłatami, jeśli kiedykolwiek otrzymasz nieuczciwe obciążenie zwrotne.
                    <p>Korzyści:<ul>
                    <li>Rozwijaj swój biznes bez obaw o oszustwa</li>
                    <li>Przyjmowanie większej liczby zamówień i maksymalizacja przychodów</li>
                    <li>Automatyzuj przegląd zamówień i zdejmij oszustwa z talerza</li></ul></p>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">Przejrzyj nasz przewodnik konfiguracji</a>, aby uzyskać instrukcje krok po kroku dotyczące integracji Signifyd z Magento.<br />W celu uzyskania pomocy technicznej skontaktuj się z <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Adres URL webhooka zostanie użyty do <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">konfiguracji</a> zakończonego webhooka gwarancji w Signifyd. Webhooki służą do synchronizacji decyzji gwarancyjnych Signifyd z Magento."
