"Approved","Odobren"
"Declined","Odbijen"
"Pending","Na čekanju"
"Canceled","Otkazano"
"In Review","In Recenzija"
"Unrequested","Unrequested"
"Learn more","Saznaj više"
"This order already has associated case entity","This order already has associated case entity"
"The case entity should not be empty.","The case entity should not be empty."
"Cannot update Case entity.","Ne može update Case entity."
"The ""%1"" should not be empty.","""%1"" ne sme biti prazno."
"Case entity not found.","Case entity nije pronađeno."
"Case Update: New score for the order is %1. Previous score was %2.","Case Ažuriraj: Novo score for the order is %1. Prethodni score was %2."
"Awaiting the Signifyd guarantee disposition.","Awaiting the Signifyd guarantee disposition."
"Only single entrance of ""%1"" node is required.","Potreban je samo jedan unos ""%1"" čvora."
"Not empty value for ""%1"" node is required.","Potrebna je neprazna vrednost za ""%1"" čvor."
"%1 must implement %2","%1 must implement %2"
"Error","Greška"
"Cannot generate message.","Ne može generate message."
"Message is generated.","Message is generated."
"Case with the same order id already exists.","Case with the same order id already exists."
"Fraud Protection Information","Fraud Protection Informacije"
"Signifyd Guarantee Decision","Signifyd Guarantee Decision"
"Fraud Protection Section","Fraud Protection Section"
"Fraud Protection","Fraud Protection"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Protect your store from fraud with Guaranteed Fraud Protection by Signifyd."
"Configuration","Konfiguracija"
"Enable this Solution","Omogućiti ovo rešenje"
"API Key","API ključ"
"API URL","API URL"
"Debug","Otklanjanje grešaka"
"Webhook URL","Webhook URL"
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd automatski pregleda vaše porudžbine na prevare, govoreći vam u sekundama koje porudžbine da isporučite, a koje da odbijete.
                    Naša odobrenja podržavamo sa 100% zaštitom od povraćaja, refundirajući vam pun iznos porudžbine plus naknade ako ikada dobijete lažni povraćaj.
                    <p>Prednosti:<ul>
                    <li>Razvijajte svoje poslovanje bez straha od prevara</li>
                    <li>Prihvatite više porudžbina i maksimizirajte prihod</li>
                    <li>Automatizujte pregled porudžbina i sklonite prevare sa svog zadatka</li></ul></p>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">Pogledajte naš vodič za podešavanje</a> za detaljna uputstva o integraciji Signifyd-a sa Magentom.<br />Za podršku kontaktirajte <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Vaš webhook URL će biti korišćen za <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">konfiguraciju</a> webhook-a za završenu garanciju u Signifyd-u. Webhook-ovi se koriste za sinhronizaciju Signifyd-ovih odluka o garanciji nazad u Magento."
