"Approved","Одобрен"
"Declined","Declined"
"Pending","Чакащ"
"Canceled","Отказан"
"In Review","In Review"
"Unrequested","Unrequested"
"Learn more","Научи повече"
"This order already has associated case entity","Тази поръчка вече е свързана с обект"
"The case entity should not be empty.","Стойността на случая не трябва да е празна."
"Cannot update Case entity.","Не може да актуализира обект."
"The ""%1"" should not be empty.","""%1"" не трябва да е празен."
"Case entity not found.","Обект не е намерен."
"Case Update: New score for the order is %1. Previous score was %2.","Случай актуализация: Новия резултат за поръчката е %1. Предишен резултат е %2."
"Awaiting the Signifyd guarantee disposition.","Awaiting the Signifyd guarantee disposition."
"Only single entrance of ""%1"" node is required.","Only single entrance of ""%1"" node is required."
"Not empty value for ""%1"" node is required.","Not empty value for ""%1"" node is required."
"%1 must implement %2","%1 must implement %2"
"Error","Грешка"
"Cannot generate message.","Не може да генерира съобщение."
"Message is generated.","Съобщението се генерира."
"Case with the same order id already exists.","Case with the same order id already exists."
"Fraud Protection Information","Информация за защита от измама"
"Signifyd Guarantee Decision","Signifyd Guarantee Decision"
"Fraud Protection Section","Раздел за защита от измами"
"Fraud Protection","Защита срещу измами"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Protect your store from fraud with Guaranteed Fraud Protection by Signifyd."
"Configuration","Конфигурация"
"Enable this Solution","Разреши това решение"
"API Key","API ключ"
"API URL","API URL"
"Debug","Дебъг"
"Webhook URL","Webhook URL"
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento."
