"Approved","Aprobado"
"Declined","Rechazado"
"Pending","Pendiente"
"Canceled","Cancelado"
"In Review","En revisión"
"Unrequested","No solicitado"
"Learn more","Aprenda más"
"This order already has associated case entity","Este orden ya se caso en la entidad asociada"
"The case entity should not be empty.","La entidad caso no debe estar vacía."
"Cannot update Case entity.","No se puede actualizar entidad caso."
"The ""%1"" should not be empty.","El ""%1"" no debe estar vacío."
"Case entity not found.","Caso entidad no encontrado."
"Case Update: New score for the order is %1. Previous score was %2.","Caso de actualización: Nueva puntuación para la orden es %1. Cuenta anterior era %2."
"Awaiting the Signifyd guarantee disposition.","En espera de la disposición de garantía de Signifyd."
"Only single entrance of ""%1"" node is required.","Solo se requiere la entrada única del nodo ""%1""."
"Not empty value for ""%1"" node is required.","No se requiere un valor vacío para el nodo ""%1""."
"%1 must implement %2","%1 debe implementar %2"
"Error","Error"
"Cannot generate message.","No se puede generar el mensaje."
"Message is generated.","Mensaje generado."
"Case with the same order id already exists.","El caso con el mismo Id de pedido ya existe."
"Fraud Protection Information","Información de Protección de Fraude"
"Signifyd Guarantee Decision","Decisión de garantía de Signifyd"
"Fraud Protection Section","Sección de Protección contra el Fraude"
"Fraud Protection","Protección contra fraude"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Proteja su tienda de fraude con la protección contra fraude garantizada de Signifyd."
"Configuration","Configuración"
"Enable this Solution","Habilitar esta solución"
"API Key","Clave API"
"API URL","URL API"
"Debug","Depurar"
"Webhook URL","URL del webhook"
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd revisa automáticamente sus pedidos en busca de fraude, informándole en segundos qué pedidos enviar y cuáles rechazar.
                    Respaldamos nuestras aprobaciones con una protección de devolución de cargo del 100%, reembolsándole el monto total del pedido más los cargos en caso de que reciba una devolución de cargo fraudulenta.
                    <p>Beneficios:<ul>
                    <li>Haga crecer su negocio sin temor al fraude</li>
                    <li>Acepta más pedidos y maximiza tus ingresos</li>
                    <li>Automatice la revisión de pedidos y elimine el fraude</li></ul></p>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">Vea nuestra guía de configuración</a> para obtener instrucciones paso a paso sobre cómo integrar Signifyd con Magento.<br />Contacto de soporte <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Su URL de webhook se utilizará para <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configurar</a> un webhook completado en Signifyd. Los webhooks se utilizarán para sincronizar las decisiones de garantía de Signifyd en Magento."
