"Approved","受付済"
"Declined","拒否"
"Pending","処理待ち"
"Canceled","キャンセル済"
"In Review","レビュー中"
"Unrequested","未リクエスト"
"Learn more","もっと詳しく知る"
"This order already has associated case entity","この注文は既にケースと関連付けられています"
"The case entity should not be empty.","ケースは空にできません。"
"Cannot update Case entity.","ケースを更新できません。"
"The ""%1"" should not be empty.","""%1"" は空にできません。"
"Case entity not found.","ケースが見つかりません。"
"Case Update: New score for the order is %1. Previous score was %2.","ケース更新: 注文に対する新しいスコアは %1 です。以前のスコアは %2 でした。"
"Awaiting the Signifyd guarantee disposition.","Signifyd 保証譲渡まち。"
"Only single entrance of ""%1"" node is required.","""%1"" ノードの単一のインスタンスだけが必要です。"
"Not empty value for ""%1"" node is required.","""%1"" ノードの空ではない値が必要です。"
"%1 must implement %2","%1 は、%2 を実装する必要があります"
"Error","エラー"
"Cannot generate message.","メッセージを生成できません。"
"Message is generated.","メッセージが生成されます"
"Case with the same order id already exists.","同じ注文 IDのケースが存在しています"
"Fraud Protection Information","詐欺行為防止情報"
"Signifyd Guarantee Decision","Signifyd 保証の決定"
"Fraud Protection Section","詐欺行為防止セクション"
"Fraud Protection","詐欺行為防止"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Signifyd による不正利用防止保証で詐欺からあなたの店を保護しましょう。"
"Configuration","設定"
"Enable this Solution","このソリューションを有効にする"
"API Key","APIキー"
"API URL","API の URL"
"Debug","デバッグ"
"Webhook URL","Webhook URL"
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento."
