"Approved","Εγκρίθηκε"
"Declined","Απορρίφθηκε"
"Pending","Προς έγκριση"
"Canceled","Ακυρώθηκε"
"In Review","Σε Αξιολόγηση"
"Unrequested","Δεν ζητήθηκε"
"Learn more","Μάθετε περισσότερα"
"This order already has associated case entity","Αυτή η παραγγελία ήδη έχει συσχετιστεί με οντότητα περίπτωσης"
"The case entity should not be empty.","Η οντότητα περίπτωσης δεν μπορεί να είναι κενή."
"Cannot update Case entity.","Δεν μπορεί να ενημερωθεί η οντότητα Περίπτωης."
"The ""%1"" should not be empty.","Το ""%1"" δεν πρέπει να είναι κενό."
"Case entity not found.","Η οντότητα περίπτωσης δεν βρέθηκε."
"Case Update: New score for the order is %1. Previous score was %2.","Ενημέρωση Περίπτωσης: Νέα βαθμολογία για την παραγγελία είναι %1. Η προηγούμενη βαθμολογία ήταν %2."
"Awaiting the Signifyd guarantee disposition.","Αναμονή της διάθεσης εγγύησης Signifiedd."
"Only single entrance of ""%1"" node is required.","Only single entrance of ""%1"" node is required."
"Not empty value for ""%1"" node is required.","Not empty value for ""%1"" node is required."
"%1 must implement %2","%1 πρέπει να εφαρμόζει %2"
"Error","Σφάλμα"
"Cannot generate message.","Δεν είναι δυνατό να δημιουργηθεί το μήνυμα."
"Message is generated.","Το μήνυμα δημιουργήθηκε."
"Case with the same order id already exists.","Υπάρχει ήδη μία περίπτωση με αυτό το id παραγγελίας."
"Fraud Protection Information","Πληροφορίες Προστασίας Απάτης"
"Signifyd Guarantee Decision","Απόφαση Εγγύησης Signifyd"
"Fraud Protection Section","Τμήμα Προστασίας Απάτης"
"Fraud Protection","Προστασία Απάτης"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Προστατέψτε το κατάστημά σας από απάτη με την εγγύηση προστασίας κατά της απάτης από Signifiedd."
"Configuration","Ρύθμιση παραμέτρων"
"Enable this Solution","Ενεργοποίηση αυτής της λύσης"
"API Key","Kλειδί API"
"API URL","Διεύθυνση URL API"
"Debug","Αποσφαλμάτωση"
"Webhook URL","Διεύθυνση URL Webhook"
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento."
