"Approved","Godkjent"
"Declined","Avslått"
"Pending","Ventende"
"Canceled","Avbrutt"
"In Review","In Review"
"Unrequested","Unrequested"
"Learn more","Lær mer"
"This order already has associated case entity","Denne ordren har allerede tilknyttede sak enhet"
"The case entity should not be empty.","Tilfelle enheten skal ikke være tomt."
"Cannot update Case entity.","Kan ikke oppdatere sak enhet."
"The ""%1"" should not be empty.","""%1"" må ikke være tomt."
"Case entity not found.","Sak enhet ikke funnet."
"Case Update: New score for the order is %1. Previous score was %2.","Case Oppdatering: Ny poengsum for ordren er %1. Forrige score var %2."
"Awaiting the Signifyd guarantee disposition.","Venter på Signifyd garanti fjerning."
"Only single entrance of ""%1"" node is required.","Bare én inngang til ""%1"" node er nødvendig."
"Not empty value for ""%1"" node is required.","Ikke-tom verdi for ""%1""-noden er nødvendig."
"%1 must implement %2","%1 må implementere %2"
"Error","Feil"
"Cannot generate message.","Kan ikke generere meldingen."
"Message is generated.","Melding er generert."
"Case with the same order id already exists.","Et tilfellet med samme ordre-Id finnes allerede."
"Fraud Protection Information","Svindel Beskyttelse Informasjon"
"Signifyd Guarantee Decision","Signifyd Garanter Avgjørelse"
"Fraud Protection Section","Svindel Beskyttelse Seksjon"
"Fraud Protection","Svindel Beskyttelse"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Beskytt butikken din fra svindel med garantert sindel beskyttelse fra Signifyd."
"Configuration","Innstillinger"
"Enable this Solution","Aktiver løsningen"
"API Key","API-nøkkel"
"API URL","API URL"
"Debug","Feilsøk"
"Webhook URL","Webhook-URL"
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento."
