"Approved","已批准"
"Declined","已拒绝"
"Pending","待付款"
"Canceled","已取消"
"In Review","审查中"
"Unrequested","未请求"
"Learn more","了解更多"
"This order already has associated case entity","该订单已经有关联的案例实体。"
"The case entity should not be empty.","案例实体不应为空。"
"Cannot update Case entity.","无法更新案例实体。"
"The ""%1"" should not be empty.","""%1""不应为空。"
"Case entity not found.","找不到的案例实体。"
"Case Update: New score for the order is %1. Previous score was %2.","案例更新：订单的新分数为% 1。以前的分数是% 2。"
"Awaiting the Signifyd guarantee disposition.","等待 Signifyd 保证的处置。"
"Only single entrance of ""%1"" node is required.","只需要 ""%1"" 节点的单个入口。"
"Not empty value for ""%1"" node is required.","""%1"" 节点不能设置空值。"
"%1 must implement %2","%1 必须实现%2"
"Error","错误"
"Cannot generate message.","无法生成消息。"
"Message is generated.","生成消息。"
"Case with the same order id already exists.","具有相同顺序 id 的用例已存在。"
"Fraud Protection Information","欺诈保护信息"
"Signifyd Guarantee Decision","Signifyd 保证的决策"
"Fraud Protection Section","欺诈保护科"
"Fraud Protection","防欺诈保护"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Signifyd 担保欺诈保护将保护您的店铺免受欺诈 。"
"Configuration","设置"
"Enable this Solution","启用此解决方案"
"API Key","API 密钥"
"API URL","API URL"
"Debug","调试"
"Webhook URL","Webhook链接"
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento."
