"Approved","Одобрен"
"Declined","Одбијен"
"Pending","На чекању"
"Canceled","Отказано"
"In Review","Ин Рецензија"
"Unrequested","Unrequested"
"Learn more","Сазнај више"
"This order already has associated case entity","This order already has associated case entity"
"The case entity should not be empty.","The case entity should not be empty."
"Cannot update Case entity.","Не може упдате Цасе ентитy."
"The ""%1"" should not be empty.","""%1"" не сме бити празно."
"Case entity not found.","Цасе ентитy није пронађено."
"Case Update: New score for the order is %1. Previous score was %2.","Цасе Ажурирај: Ново сцоре фор тхе ордер ис %1. Претходни сцоре wас %2."
"Awaiting the Signifyd guarantee disposition.","Awaiting the Signifyd guarantee disposition."
"Only single entrance of ""%1"" node is required.","Потребан је само један унос ""%1"" чвора."
"Not empty value for ""%1"" node is required.","Потребна је непразна вредност за ""%1"" чвор."
"%1 must implement %2","%1 must implement %2"
"Error","Грешка"
"Cannot generate message.","Не може генерате мессаге."
"Message is generated.","Message is generated."
"Case with the same order id already exists.","Case with the same order id already exists."
"Fraud Protection Information","Фрауд Протецтион Информације"
"Signifyd Guarantee Decision","Signifyd Guarantee Decision"
"Fraud Protection Section","Fraud Protection Section"
"Fraud Protection","Fraud Protection"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Protect your store from fraud with Guaranteed Fraud Protection by Signifyd."
"Configuration","Конфигурација"
"Enable this Solution","Омогућити ово решење"
"API Key","АПИ кључ"
"API URL","API URL"
"Debug","Отклањање грешака"
"Webhook URL","Webhook URL"
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Сигнифyд аутоматски прегледа ваше поруџбине на преваре, говорећи вам у секундама које поруџбине да испоручите, а које да одбијете.
                    Наша одобрења подржавамо са 100% заштитом од повраћаја, рефундирајући вам пун износ поруџбине плус накнаде ако икада добијете лажни повраћај.
                    <п>Предности:<ул>
                    <ли>Развијајте своје пословање без страха од превара</ли>
                    <ли>Прихватите више поруџбина и максимизирајте приход</ли>
                    <ли>Аутоматизујте преглед поруџбина и склоните преваре са свог задатка</ли></ул></п>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<а хреф=""хттпс://www.сигнифyд.цом/ресоурцес/мануал/магенто-2/сигнифyд-он-магенто-интегратион-гуиде/"" таргет=""_бланк"">Погледајте наш водич за подешавање</а> за детаљна упутства о интеграцији Сигнифyд-а са Магентом.<бр />За подршку контактирајте <а хреф=""маилто:суппорт@сигнифyд.цом"">суппорт@сигнифyд.цом</а>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Ваш wебхоок УРЛ ће бити коришћен за <а хреф=""хттпс://апп.сигнифyд.цом/сеттингс/нотифицатионс"" таргет=""_бланк"">конфигурацију</а> wебхоок-а за завршену гаранцију у Сигнифyд-у. Wебхоок-ови се користе за синхронизацију Сигнифyд-ових одлука о гаранцији назад у Магенто."
