"Backup options","Alternativ för säkerhetskopiering"
"Warning","Varning"
"Cancel","Avbryt"
"Ok","Ok"
"Insert Widget...","Infoga widget..."
"No records found.","Inga poster funna."
"Recent items","Senaste objekt"
"Show all...","Visa alla..."
"Please enter a number greater 0 in this field.","Du måste fylla in en siffra högre än 0."
"Please select one of each ratings above.","Välj ett av betygen ovan."
"Please specify Url.","Vänligen ange Url."
"Method %s does not exist on jQuery.decorate","Metoden %s existerar inte i jQuery.decorate"
"Close","Stäng"
"Next","Nästa"
"Previous","Föregående"
"Please wait...","Var god vänta..."
"Loading...","Laddar..."
"All ","Alla "
"more","mer"
"Save","Spara"
"Translate","Översätt"
"Submit","Skicka"
"Please enter {0} words or less.","Vänligen ange {0} ord eller mindre."
"Please enter at least {0} words.","Ange åtminstone {0} ord."
"Please enter between {0} and {1} words.","Ange mellan {0} och {1} ord."
"Letters or punctuation only please","Endast bokstäver och skiljetecken"
"Letters, numbers, spaces or underscores only please","Endast bokstäver, siffror, mellanslag eller understreck"
"Letters only please","Endast bokstäver"
"No white space please","Inga mellanslag"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Ditt postnummer måste vara i intervallet 902xx-xxxx till 905xx-xxxx"
"A positive or negative non-decimal number please","Ett positivt eller negativt icke-decimaltal"
"The specified vehicle identification number (VIN) is invalid.","Det angivna identifikationsnummer (VIN) för fordonet är ogiltigt."
"Please enter a correct date","Ange ett giltigt datum"
"Please enter a valid time, between 00:00 and 23:59","Ange en giltig tid, mellan 00.00 och 23.59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Ange en giltig tid, mellan 00.00 och 12.00 em"
"Please specify a valid phone number","Ange ett giltigt telefonnummer"
"Please specify a valid mobile number","Ange ett giltigt mobilnummer"
"Please enter at least {0} characters","Ange åtminstone {0} tecken"
"Please remove invalid characters: {0}.","Ta bort ogiltiga tecken: {0}."
"Please enter a valid credit card number.","Ange ett giltigt kreditkortsnummer."
"Please enter a valid IP v4 address.","Ange en giltig IPv4-adress."
"Please enter a valid IP v6 address.","Ange en giltig IPv6-adress."
"Invalid format.","Felaktigt format."
"HTML tags are not allowed.","HTML-taggar är inte tillåtna."
"Please select an option.","Välj ett alternativ."
"Empty Value.","Tomt värde."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Använd endast bokstäver (a-z eller A-Z), siffror (0-9) eller blanksteg i fältet."
