"Backup options","Opzioni backup"
"Warning","Attenzione"
"Cancel","Annulla"
"Ok","Ok"
"Insert Widget...","Inserisci Widget..."
"No records found.","Nessun record trovato."
"Recent items","Elementi recenti"
"Show all...","Mostra tutto..."
"Please enter a number greater 0 in this field.","Inserire un numero maggiore di 0 in questo campo."
"Please select one of each ratings above.","Si prega di selezionare uno dei ogni voti sopra."
"Please specify Url.","Si prega di specificare l'Url."
"Method %s does not exist on jQuery.decorate","Non esiste un metodo %s su jQuery.decorate"
"Close","Chiudi"
"Next","Successivo"
"Previous","Precedente"
"Please wait...","Attendere..."
"Loading...","Caricamento..."
"All ","Tutto "
"more","più"
"Save","Salva"
"Translate","Traduci"
"Submit","Invia"
"Please enter {0} words or less.","Inserisci {0} parole o meno."
"Please enter at least {0} words.","Inserisci almeno {0} parole."
"Please enter between {0} and {1} words.","Inserisci un numero di parole tra {0} e {1}."
"Letters or punctuation only please","Solo lettere o segni di punteggiatura"
"Letters, numbers, spaces or underscores only please","Solo lettere, numeri, spazi e underscore"
"Letters only please","Solo lettere"
"No white space please","Nessuno spazio bianco"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Il tuo codice postale deve essere nell'intervallo da 902xx-xxxx a 905-xx-xxxx"
"A positive or negative non-decimal number please","Inserisci un numero positivo o negativo non decimale"
"The specified vehicle identification number (VIN) is invalid.","Il numero di identificazione del veicolo (VIN) specificato non è valido."
"Please enter a correct date","Inserisci una data corretta"
"Please enter a valid time, between 00:00 and 23:59","Inserisci un'ora valida, dalle 00:00 alle 23.59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Inserisci un'ora valida, dalle 00:00 am alle 12:00 pm"
"Please specify a valid phone number","Specifica un numero di telefono valido"
"Please specify a valid mobile number","Specifica un numero di cellulare valido"
"Please enter at least {0} characters","Inserisci almeno {0} caratteri"
"Please remove invalid characters: {0}.","Per favore rimuovi i caratteri non validi: {0}."
"Please enter a valid credit card number.","Inserire un numero di carta di credito valido."
"Please enter a valid IP v4 address.","Inserisci un indirizzo IP v4 valido."
"Please enter a valid IP v6 address.","Inserisci un indirizzo IP v6 valido."
"Invalid format.","Formato non valido."
"HTML tags are not allowed.","I tag HTML non sono ammessi."
"Please select an option.","Selezionare un'opzione."
"Empty Value.","Valore vuoto."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Utilizza solo lettere (a-z o A-Z), numeri (0-9) o spazi in questo campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Utilizza solo lettere (a-z o A-Z), numeri (0-9) o underscore (_) in questo campo, e il primo carattere deve essere una lettera."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Utilizza solo lettere (a-z o A-Z), numeri (0-9), spazi e ""#"" in questo campo."
