"Backup options","Pilihan cadangan"
"Warning","Peringatan"
"Cancel","Batal"
"Ok","Ok"
"Insert Widget...","Insert Widget..."
"No records found.","Tidak ada rekaman yang ditemukan."
"Recent items","Produk terbaru"
"Show all...","Menampilkan semua..."
"Please enter a number greater 0 in this field.","Silakan masukkan sebuah nomor yang lebih besar dari 0 dalam daerah ini."
"Please select one of each ratings above.","Silakan pilih salah satu tingkatan di atas."
"Please specify Url.","Silakan tentukan Url."
"Method %s does not exist on jQuery.decorate","Metode %s tidak ada di jQuery.decorate"
"Close","Tutup"
"Next","Lanjut"
"Previous","Sebelumnya"
"Please wait...","Silakan tunggu..."
"Loading...","Memuat..."
"All ","All "
"more","lagi"
"Save","Save"
"Translate","Terjemahkan"
"Submit","Kirim"
"Please enter {0} words or less.","Masukkan {0} kata atau kurang."
"Please enter at least {0} words.","Masukkan setidaknya {0} kata."
"Please enter between {0} and {1} words.","Masukkan antara kata-kata {0} dan {1}."
"Letters or punctuation only please","Surat atau tanda baca silahkan hanya"
"Letters, numbers, spaces or underscores only please","Huruf, angka, Ruang atau menggarisbawahi hanya silahkan"
"Letters only please","Silakan hanya surat"
"No white space please","Silakan tidak ada ruang kosong"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Kode ZIP kita harus berada dalam kisaran 902xx-xxxx untuk 905-xx-xxxx"
"A positive or negative non-decimal number please","Silahkan positif atau negatif nomor bebas-desimal"
"The specified vehicle identification number (VIN) is invalid.","Nomor identifikasi kendaraan tertentu (VIN) tidak valid."
"Please enter a correct date","Masukkan tanggal yang benar"
"Please enter a valid time, between 00:00 and 23:59","Silakan masukkan waktu yang benar, antara 00:00 dan 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Silakan masukkan waktu yang benar, antara 00:00 am dan 12:00 pm"
"Please specify a valid phone number","Silakan tentukan nomor telepon"
"Please specify a valid mobile number","Silakan tentukan nomor handphone yang benar"
"Please enter at least {0} characters","Masukkan setidaknya karakter {0}"
"Please remove invalid characters: {0}.","Please remove invalid characters: {0}."
"Please enter a valid credit card number.","Silakan masukkan nomor kartu kredit yang benar."
"Please enter a valid IP v4 address.","Silakan masukkan alamat IP V4 dengan benar."
"Please enter a valid IP v6 address.","Silakan masukkan alamat IP V6 dengan benar."
"Invalid format.","Format tidak benar."
"HTML tags are not allowed.","Tag HTML tidak diperbolehkan."
"Please select an option.","Silakan pilih opsi."
"Empty Value.","Nilai kosong."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Silakan gunakan hanya huruf (a-z atau A-Z), angka (0-9) atau ruang hanya dalam bidang ini."
