"Backup options","备份选项"
"Warning","警告"
"Cancel","取消"
"Ok","OK"
"Insert Widget...","Insert Widget..."
"No records found.","找不到记录。"
"Recent items","最新商品"
"Show all...","显示所有..."
"Please enter a number greater 0 in this field.","请输入一个大于{0}的数字。"
"Please select one of each ratings above.","请选择上面的每个评级中的一个。"
"Please specify Url.","

请指定网址。 "
"Method %s does not exist on jQuery.decorate","jQuery.decorate 不存在 ％s 方法"
"Close","关闭"
"Next","下一页"
"Previous","前一页"
"Please wait...","请稍候..."
"Loading...","正在加载..."
"All ","All "
"more","更多"
"Save","Save"
"Translate","翻译"
"Submit","提交"
"Please enter {0} words or less.","请输入 {0} 单词或更少。"
"Please enter at least {0} words.","请输入至少 {0} 字。"
"Please enter between {0} and {1} words.","请输入介于 {0} 和 {1} 的词。"
"Letters or punctuation only please","只请用字母或标点符号"
"Letters, numbers, spaces or underscores only please","只有字母、数字、空格或下划线"
"Letters only please","请只信"
"No white space please","没有空格"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","您的邮政编码必须在范围 902xx-xxxx 到 905-xx-xxxx"
"A positive or negative non-decimal number please","一个积极或消极的非十进制数请"
"The specified vehicle identification number (VIN) is invalid.","指定的车辆识别码 (VIN) 是无效的。"
"Please enter a correct date","请输入正确的日期"
"Please enter a valid time, between 00:00 and 23:59","请输入一个有效的时间，00:00 至 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","请输入一个有效的时间，00:00 至 12:00 下午"
"Please specify a valid phone number","请指定一个有效的电话号码"
"Please specify a valid mobile number","请指定一个有效的手机号码"
"Please enter at least {0} characters","请输入至少 {0} 字符"
"Please remove invalid characters: {0}.","请删除无效字符: {0}。"
"Please enter a valid credit card number.","请输入有效的信用卡号码。"
"Please enter a valid IP v4 address.","请输入一个有效的 IP v4 地址。"
"Please enter a valid IP v6 address.","请输入一个有效的 IP v6 地址。"
"Invalid format.","格式无效。"
"HTML tags are not allowed.","不允许使用 HTML 标记。"
"Please select an option.","请选择一个选项。"
"Empty Value.","空值。"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","请在此字段中只使用唯一字母 （a 到 z 或 A 到 Z），数字 (0-9) 或空格。"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","

请仅使用字母（a-z、A-Z）、数字（0-9）或下划线（_）在这一领域，和第一个字符必须为字母。 "
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","请只使用字母 （a 到 z 或 A 到 Z），数字 (0-9)，空格和""#""在这一领域。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","请输入有效的电话号码。例如 (123) 456-7890 或 123-456-7890。"
"Please enter a valid fax number (Ex: 123-456-7890).","请输入有效的传真号码 (Ex: 123-456-7890)。"
"Please enter a valid email address (Ex: johndoe@domain.com).","请输入一个有效的电子邮件地址 (Ex: johndoe@domain.com)。"
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","请输入 6 个或更多字符。前导和尾随空格将被忽略。"
