"Backup options","Sicherungsoptionen"
"Warning","Warnhinweis"
"Cancel","Stornieren"
"Ok","Akzeptiert"
"Insert Widget...","Widget einfügen..."
"No records found.","Keine Einträge gefunden."
"Recent items","Kürzlich verwendete Elemente"
"Show all...","Alle anzeigen..."
"Please enter a number greater 0 in this field.","In diesem Feld bitte eine Zahl größer 0 eingeben."
"Please select one of each ratings above.","Bitte wählen Sie eine der oben genannten Optionen."
"Please specify Url.","Bitte geben Sie eine URL an."
"Method %s does not exist on jQuery.decorate","Die Methode %s ist in jQuery.decorate nicht vorhanden."
"Close","Schließen"
"Next","Weiter"
"Previous","Zurück"
"Please wait...","Bitte warten..."
"Loading...","Wird geladen …"
"All ","Alle "
"more","mehr"
"Save","Speichern"
"Translate","Übersetzen"
"Submit","Absenden"
"Please enter {0} words or less.","Bitte geben Sie {0} oder weniger Wörter ein."
"Please enter at least {0} words.","Bitte geben Sie mindestens {0} Wörter ein."
"Please enter between {0} and {1} words.","Bitte geben Sie {0} bis {1} Wörter an."
"Letters or punctuation only please","Bitte geben Sie nur Buchstaben und Satzzeichen an."
"Letters, numbers, spaces or underscores only please","Bitte nur Buchstaben, Zahlen, Leerzeichen und Unterstrich"
"Letters only please","Geben Sie bitte nur Buchstaben an"
"No white space please","Bitte geben Sie keine Leerzeichen ein"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Ihre Postleitzahl muss in dem Bereich 902xx-Xxxx - 905-Xx-xxxx sein"
"A positive or negative non-decimal number please","Bitte eine positive oder negative Ganzzahl"
"The specified vehicle identification number (VIN) is invalid.","Die angegebene Fahrzeug-Identifizierungsnummer (FIN) ist ungültig."
"Please enter a correct date","Bitte geben Sie ein gültiges Datum ein"
"Please enter a valid time, between 00:00 and 23:59","Bitte geben Sie eine gültige Uhrzeit zwischen 00:00 und 23:59 Uhr ein"
"Please enter a valid time, between 00:00 am and 12:00 pm","Bitte geben Sie eine gültige Uhrzeit zwischen 00:00 und 12:00 Uhr ein"
"Please specify a valid phone number","Bitte geben Sie eine gültige Telefonnummer an"
"Please specify a valid mobile number","Bitte geben Sie eine gültige Handynummer an"
"Please enter at least {0} characters","Bitte geben Sie mindestens {0} Zeichen ein"
"Please remove invalid characters: {0}.","Bitte entfernen Sie ungültige Zeichen: {0}."
"Please enter a valid credit card number.","Bitte geben Sie eine gültige Kreditkartennummer an."
"Please enter a valid IP v4 address.","Bitte geben Sie eine gültige IP v4 Adresse ein."
"Please enter a valid IP v6 address.","Bitte geben Sie eine gültige IP v6 Adresse ein."
"Invalid format.","Ungültiges Format."
"HTML tags are not allowed.","HTML-Tags sind nicht erlaubt."
"Please select an option.","Bitte wählen Sie eine Option aus."
"Empty Value.","Leerer Wert."
