"Backup options","백업 옵션"
"Warning","경고"
"Cancel","취소"
"Ok","확인"
"Insert Widget...","Insert Widget..."
"No records found.","결과 없음"
"Recent items","최근 항목"
"Show all...","모두 보기..."
"Please enter a number greater 0 in this field.","0보다 큰 숫자를 입력해 주세요."
"Please select one of each ratings above.","위에 나열된 평점중 하나를 선택해 주세요."
"Please specify Url.","URL을 지정해 주세요."
"Method %s does not exist on jQuery.decorate","메서드 %s가 jQuery.decorate에 존재 하지 않습니다."
"Close","닫기"
"Next","다음"
"Previous","이전"
"Please wait...","잠시 기다려주세요..."
"Loading...","불러오는 중..."
"All ","All "
"more","더보기"
"Save","Save"
"Translate","번역"
"Submit","전송"
"Please enter {0} words or less.","{0} 이하의 단어를 입력해 주시기 바랍니다."
"Please enter at least {0} words.","최소 {0}개의 단어를 입력해 주시기 바랍니다."
"Please enter between {0} and {1} words.","{0}에서 {1} 사이의 단어를 입력해 주십시오."
"Letters or punctuation only please","문자나 구두점만 입력해 주세요."
"Letters, numbers, spaces or underscores only please","문자, 숫자 스페이스 혹은 언더바만 입력해 주세요."
"Letters only please","문자만 입력해 주세요."
"No white space please","공백은 허용되지 않습니다."
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","우편번호는 902xx-xxxx에서 905-xx-xxxx 사이에 있어야 합니다."
"A positive or negative non-decimal number please","양수 또는 음수의 10 진수가 아닌 숫자를 입력하십시오."
"The specified vehicle identification number (VIN) is invalid.","지정된 차량 식별 번호(VIN)가 유효하지 않습니다."
"Please enter a correct date","올바른 날짜를 입력해 주세요."
"Please enter a valid time, between 00:00 and 23:59","00:00에서 23:59 사이의 올바른 시간을 입력해 주십시오."
"Please enter a valid time, between 00:00 am and 12:00 pm","오전 00:00에서 오후 12:00 사이의 올바른 시간을 입력해 주십시오."
"Please specify a valid phone number","올바른 휴대전화번호를 입력해 주세요."
"Please specify a valid mobile number","올바른 휴대전화번호를 지정해 주십시오"
"Please enter at least {0} characters","최소 {0}자를 입력해 주십시오."
"Please remove invalid characters: {0}.","올바르지 않은 문자를 삭제해 주세요: {0}"
"Please enter a valid credit card number.","올바른 신용카드 번호를 입력해 주세요."
"Please enter a valid IP v4 address.","올바른 IP v4 주소를 입력해 주십시오."
"Please enter a valid IP v6 address.","올바른 IP v6 주소를 입력해 주십시오."
"Invalid format.","잘못된 형식입니다."
"HTML tags are not allowed.","HTML 태그는 허용 되지 않습니다."
"Please select an option.","옵션을 선택해주세요."
"Empty Value.","빈 값"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","이 필드에는 영문 대소문자, 숫자, 공백만 입력해야 합니다."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","이 필드에는 영문 대소문자, 숫자, 그리고 언더바(_)만 사용할 수 있으며 첫번째 글자는 반드시 영문자이여야 합니다."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","이 필드에는 영문 대소문자, 숫자, 공백, 그리고 ""#""만 입력해야 합니다."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","올바른 전화번호를 입력해 주십시오. 예: (123) 456-789, 123-456-7890"
"Please enter a valid fax number (Ex: 123-456-7890).","올바른 팩스 번호를 입력 하십시오. 예: 123-456-7890"
"Please enter a valid email address (Ex: johndoe@domain.com).","올바른 이메일 주소를 입력 하십시오. 예: johndoe@domain.com"
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","6개 이상의 문자를 입력 하십시오. 앞뒤의 공백은 무시됩니다."
"Please enter 7 or more characters, using both numeric and alphabetic.","7자 이상의이상의 숫자및 영문자를 입력해 주십시오."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","이 필드의 최소 길이는 %1 심볼과 같거나 커야 합니다. 앞이나 뒤에 붙는 공백은 무시됩니다."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","비밀번호는 최소%1개의 조건을 충족하여야 합니다: 대문자, 소문자, 숫자, 기호."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","올바른 URL을 입력해 주십시오. 프로토콜은 필수입니다 (http://, https:// 또는 ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","올바른 URL을 입력 하십시오. 예: http://www.example.com, www.example.com"
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","올바른 XML 식별자를 입력해 주십시오. 예: something_1, block5, id-4"
"Please enter a valid social security number (Ex: 123-45-6789).","올바른 주민등록번호를 입력해 주십시오. 예: 123456-7890123"
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","올바른 우편번호를 입력해 주십시오. 예: 90602 또는 602-123"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","이 날짜 형식을 이용해 주시기 바랍니다: 일/월/년. 예를 들어 2006년 3월 17일은 17/03/2006 입니다."
"Please enter a valid $ amount. For example $100.00.","올바른 $ 금액을 입력해 주십시오. 예: $ 100.00"
"Please enter a number 0 or greater in this field.","0 이상의 숫자를 입력해 주십시오."
"Please enter a number greater than 0 in this field.","0보다 큰 숫자를 입력해 주십시오."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","올바른 CSS 수치를 입력해 주십시오. 예:100px, 77pt, 20em, .5ex, 50%"
"Please enter a valid number in this field.","올바른 숫자를 입력해 주십시오."
"The value is not within the specified range.","지정된 범위에 해당하지 않습니다."
"Please use letters only (a-z or A-Z) in this field.","이 필드에는 글자(a-z또는 A-Z)만 사용해 주세요."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","이 필드에는 영문 대소문자와 숫자만 입력해 주십시오. 공백을 비롯한 다른 문자는 허용되지 않습니다."
"Please enter a valid date.","올바른 날짜를 입력해 주십시오."
"Make sure the To Date is later than or the same as the From Date.","Make sure the To Date is later than or the same as the From Date."
"Please make sure your passwords match.","비밀번호가 맞는지 확인해 주십시오."
