"Backup options","Rezerves kopijas opcijas"
"Warning","Brīdinājums"
"Cancel","Atcelt"
"Ok","Labi"
"Insert Widget...","Insert Widget..."
"No records found.","Nav atrasts neviens ieraksts."
"Recent items","Nesen pievienotie produkti"
"Show all...","Parādīt visus..."
"Please enter a number greater 0 in this field.","Lūdzu, ievadiet skailti lielāku par 0."
"Please select one of each ratings above.","Lūdzu, izvēlieties vienu no augstāk minētajiem vērtējumiem."
"Please specify Url.","Lūdzu, norādiet URL."
"Method %s does not exist on jQuery.decorate","jQuery.decorate metode %s neeksistē"
"Close","Aizvērt"
"Next","Nākošais"
"Previous","Iepriekšējais"
"Please wait...","Lūdzu, uzgaidiet..."
"Loading...","Notiek ielāde..."
"All ","All "
"more","vairāk"
"Save","Save"
"Translate","Tulkot"
"Submit","Iesniegt"
"Please enter {0} words or less.","Lūdzu, ievadiet {0} vai mazāk vārdus."
"Please enter at least {0} words.","Lūdzu, ievadiet vismaz {0} vārdus."
"Please enter between {0} and {1} words.","Lūdzu, ievadiet no {0} līdz {1} vārdus."
"Letters or punctuation only please","Lūdzu, tikai burtus vai pieturzīmes"
"Letters, numbers, spaces or underscores only please","Lūdzu, tikai burtus, ciparus, atstarpes vai apakšsvītras"
"Letters only please","Lūdzu, tikai burtus"
"No white space please","Lūdzu, bez atstarpēm"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Jūsu Pasta Indeksa kodam ir jābūt robežās no 902xx-xxxx līdz 905-xx-xxxx"
"A positive or negative non-decimal number please","A positive or negative non-decimal number please"
"The specified vehicle identification number (VIN) is invalid.","The specified vehicle identification number (VIN) is invalid."
"Please enter a correct date","Please enter a correct date"
"Please enter a valid time, between 00:00 and 23:59","Please enter a valid time, between 00:00 and 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Please enter a valid time, between 00:00 am and 12:00 pm"
"Please specify a valid phone number","Lūdzu, norādiet derīgu tālruņa numuru"
"Please specify a valid mobile number","Lūdzu, norādiet derīgu mobilā tālruņa numuru"
"Please enter at least {0} characters","Please enter at least {0} characters"
"Please remove invalid characters: {0}.","Please remove invalid characters: {0}."
"Please enter a valid credit card number.","Lūdzu, ievadiet derīgu kredītkartes numuru."
