"Backup options","Možnosti zálohování"
"Warning","Upozornění"
"Cancel","Zrušit"
"Ok","OK"
"Insert Widget...","Insert Widget..."
"No records found.","Nebyly nalezeny žádné záznamy."
"Recent items","Poslední položky"
"Show all...","Zobrazit vše..."
"Please enter a number greater 0 in this field.","Do tohoto pole zadejte číslo větší než 0."
"Please select one of each ratings above.","Vyberte prosím jedno z výše uvedených hodnocení."
"Please specify Url.","Zadejte prosím Url."
"Method %s does not exist on jQuery.decorate","Metoda %s v jQuery.decorate neexistuje"
"Close","Zavřít‏"
"Next","Následující"
"Previous","Předchozí"
"Please wait...","Čekejte prosím..."
"Loading...","Nahrávám..."
"All ","All "
"more","více"
"Save","Save"
"Translate","Přeložit"
"Submit","Odeslat"
"Please enter {0} words or less.","Zadejte {0} nebo méně slov."
"Please enter at least {0} words.","Zadejte alespoň {0} slov."
"Please enter between {0} and {1} words.","Zadejte prosím {0} až {1} slov."
"Letters or punctuation only please","Pouze písmena nebo interpunkce prosím"
"Letters, numbers, spaces or underscores only please","Pouze písmena, číslice, mezery nebo podtržítka prosím"
"Letters only please","Pouze písmena prosím"
"No white space please","Bez mezer prosím"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","PSČ musí být v rozsahu od 902xx-xxxx do 905-xx-xxxx"
"A positive or negative non-decimal number please","Celé kladné nebo záporné číslo prosím"
"The specified vehicle identification number (VIN) is invalid.","Zadané identifikační číslo vozidla (VIN) je neplatné."
"Please enter a correct date","Zadejte platné datum"
"Please enter a valid time, between 00:00 and 23:59","Zadejte prosím platný čas mezi 00:00 a 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Zadejte prosím platný čas mezi 00:00 a 12:00 PM"
"Please specify a valid phone number","Zadejte platné telefonní číslo prosím"
"Please specify a valid mobile number","Zadejte platné mobilní číslo prosím"
"Please enter at least {0} characters","Zadejte prosím alespoň {0} znaků"
"Please remove invalid characters: {0}.","Odstraňte prosím neplatné znaky: {0}."
"Please enter a valid credit card number.","Zadejte platné číslo platební karty."
"Please enter a valid IP v4 address.","Zadejte platnou IPv4 adresu prosím."
"Please enter a valid IP v6 address.","Zadejte platnou IPv6 adresu prosím."
"Invalid format.","Neplatný formát."
"HTML tags are not allowed.","HTML tagy nejsou dovoleny."
"Please select an option.","Vyberte možnost."
"Empty Value.","Prázdný údaj."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","V tomto údaji používejte pouze písmena (a-z nebo A-Z), číslice (0-9) nebo mezery."
