"Backup options","Opcions de backup"
"Warning","Atenció"
"Cancel","Cancel·la"
"Ok","D'acord"
"Insert Widget...","Insertar Widget..."
"No records found.","No s'han trobat resultats."
"Recent items","Elements recents"
"Show all...","Mostra-ho tot..."
"Please enter a number greater 0 in this field.","Introduïu un nombre més gran que 0."
"Please select one of each ratings above.","Seleccioneu una de les classificacions anteriors."
"Please specify Url.","Si us plau especifiqueu l'Url."
"Method %s does not exist on jQuery.decorate","El mètode %s no existeis a jQuery.decorate"
"Close","Tanca"
"Next","Següent"
"Previous","Anterior"
"Please wait...","Espera, si us plau..."
"Loading...","Carregant..."
"All ","Tot "
"more","més"
"Save","Desar"
"Translate","Traduir"
"Submit","Enviar"
"Please enter {0} words or less.","Introduïu un màxim de {0} paraules si us plau."
"Please enter at least {0} words.","Introduïu almenys {0} paraules si us plau."
"Please enter between {0} and {1} words.","Introduïu entre {0} i {1} paraules si us plau."
"Letters or punctuation only please","Només lletres i signes de puntuació si us plau"
"Letters, numbers, spaces or underscores only please","Només lletres, nombres, espais o subratllats si us plau"
"Letters only please","Només lletres si us plau"
"No white space please","Sense espais en blanc si us plau"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","El codi postal ha d'estar entre 902xx-xxxx i 905-xx-xxxx"
"A positive or negative non-decimal number please","Nombres positius o negatius sense decimals si us plau"
"The specified vehicle identification number (VIN) is invalid.","El nombre d'identificació de vehicle (VIN) no és vàlid."
"Please enter a correct date","Introduïu una data correcta si us plau"
"Please enter a valid time, between 00:00 and 23:59","Introduïu una hora vàlida entre 00:00 i 23:59 si us plau"
"Please enter a valid time, between 00:00 am and 12:00 pm","Introduïu una hora vàlida entre 00:00 i 12:00 pm si us plau"
"Please specify a valid phone number","Introduïu un telèfon vàlid si us plau"
"Please specify a valid mobile number","Introduïu un mòbil vàlid si us plau"
"Please enter at least {0} characters","Introduïu almenys {0} caràcters"
"Please remove invalid characters: {0}.","Elimineu els caràcters invàlids: {0}."
"Please enter a valid credit card number.","Introduïu un número de targeta de crèdit vàlid si us plau."
"Please enter a valid IP v4 address.","Introduïu una adreça IPv4 vàlida si us plau."
"Please enter a valid IP v6 address.","Introduïu una adreça IPv6 vàlida si us plau."
"Invalid format.","Format no vàlid."
"HTML tags are not allowed.","Les etiquetes HTML no estan permeses."
"Please select an option.","Seleccioneu una opció si us plau."
"Empty Value.","Valor buit."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Utilitzeu només lletres (a-z o A-Z), nombres (0-9) o espais en aquest camp si us plau."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Utilitzeu només lletres (a-z o A-Z), nombres (0-9) o subratllat (_) en aquest camp, i el primer caràcter ha de ser una lletra si us plau."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Utilitzeu només lletres (a-z o A-Z), nombres (0-9), espais i ""#"" en aquest camp si us plau."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Introduïu un telèfon vàlid si us plau. Per exemple (123) 456-7890 o 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Especifiqueu un número de fax vàlid (Ex: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Especifiqueu una adreça de mail vàlida (Ex: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Si us plau, introduïu 6 o més caràcters. Els espais del principi i del final seran ignorats."
