"Backup options","උපස්ථ විකල්ප"
"Warning","අවවාදයයි"
"Cancel","අවලංගු කරන්න"
"Ok","හරි"
"Insert Variable","විචල්‍යය ඇතුළු කරන්න"
"Insert Widget","Widget ඇතුළු කරන්න"
"The widget %1 is no longer available. Select a different widget.","විජට් %1 තවදුරටත් නොමැත. වෙනස් විජට් එකක් තෝරන්න."
"No records found.","වාර්තා හමුවී නැත."
"Recent items","මෑත අයිතම"
"Show all...","සියල්ල පෙන්වන්න..."
"Please enter a number greater 0 in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ 0 ට වඩා විශාල සංඛ්‍යාවක් ඇතුළත් කරන්න."
"Please select one of each ratings above.","කරුණාකර ඉහත එක් එක් ඇගයීම් වලින් එකක් තෝරන්න."
"Please specify Url.","කරුණාකර Url සඳහන් කරන්න."
"Method %s does not exist on jQuery.decorate","ක්‍රමය %s jQuery.decorate හි නොමැත"
"Close","වසන්න"
"Next","ඊළඟ"
"Previous","කලින්"
"Please wait...","කරුණාකර රැඳී සිටින්න..."
"Loading...","පූරණය වෙමින්..."
"All %1","සියලුම %1"
"more","තව"
"Translate","පරිවර්තනය කරන්න"
"Submit","ඉදිරිපත් කරන්න"
"Please enter {0} words or less.","කරුණාකර වචන {0} ක් හෝ අඩුවෙන් ඇතුළු කරන්න."
"Please enter at least {0} words.","කරුණාකර අවම වශයෙන් වචන {0} ක් ඇතුළු කරන්න."
"Please enter between {0} and {1} words.","කරුණාකර වචන {0} සහ {1} අතර ඇතුළත් කරන්න."
"Letters or punctuation only please","කරුණාකර අකුරු හෝ විරාම ලකුණු පමණි"
"Letters, numbers, spaces or underscores only please","කරුණාකර අකුරු, අංක, හිස්තැන් හෝ යටි ඉරි පමණක්"
"Letters only please","කරුණාකර ලිපි පමණක්"
"No white space please","කරුණාකර සුදු ඉඩක් නැත"
"No marginal white space please","කරුණාකර ආන්තික සුදු ඉඩක් නැත"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","ඔබගේ ZIP කේතය 902xx-xxxx සිට 905-xx-xxxx දක්වා පරාසයක තිබිය යුතුය"
"A positive or negative non-decimal number please","කරුණාකර ධන හෝ සෘණ දශම නොවන සංඛ්‍යාවක්"
"The specified vehicle identification number (VIN) is invalid.","නිශ්චිත වාහන හඳුනාගැනීමේ අංකය (VIN) වලංගු නොවේ."
"Please enter a correct date","කරුණාකර නිවැරදි දිනයක් ඇතුළත් කරන්න"
"Please enter a valid time, between 00:00 and 23:59","කරුණාකර 00:00 සහ 23:59 අතර වලංගු වේලාවක් ඇතුළත් කරන්න"
"Please enter a valid time, between 00:00 am and 12:00 pm","කරුණාකර 00:00 am සහ 12:00 pm අතර වලංගු වේලාවක් ඇතුළත් කරන්න"
"Please specify a valid phone number","කරුණාකර වලංගු දුරකථන අංකයක් සඳහන් කරන්න"
"Please specify a valid mobile number","කරුණාකර වලංගු ජංගම දුරකථන අංකයක් සඳහන් කරන්න"
"Please enter at least {0} characters","කරුණාකර අවම වශයෙන් අක්ෂර {0} ක් වත් ඇතුලත් කරන්න"
"Please remove invalid characters: {0}.","කරුණාකර වලංගු නොවන අක්ෂර ඉවත් කරන්න: {0}."
"Please enter a valid credit card number.","කරුණාකර වලංගු ණයපත් අංකයක් ඇතුළත් කරන්න."
"Please enter a valid IP v4 address.","කරුණාකර වලංගු IP v4 ලිපිනයක් ඇතුළත් කරන්න."
"Please enter a valid IP v6 address.","කරුණාකර වලංගු IP v6 ලිපිනයක් ඇතුළත් කරන්න."
"Invalid format.","වලංගු නොවන ආකෘතිය."
"HTML tags are not allowed.","HTML ටැග් වලට අවසර නැත."
"Please select an option.","කරුණාකර විකල්පයක් තෝරන්න."
"Empty Value.","හිස් අගය."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ අකුරු (az හෝ AZ), අංක (0-9) හෝ හිස්තැන් පමණක් භාවිතා කරන්න."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","කරුණාකර මෙම ක්ෂේත්‍රයේ අකුරු (az හෝ AZ), අංක (0-9) හෝ යටි ඉරි (_) පමණක් භාවිතා කරන්න, සහ පළමු අක්ෂරය අකුරක් විය යුතුය."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ අකුරු (az හෝ AZ), අංක (0-9), හිස්තැන් සහ ""#"" පමණක් භාවිතා කරන්න."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","කරුණාකර වලංගු දුරකථන අංකයක් ඇතුළත් කරන්න. උදාහරණයක් ලෙස (123) 456-7890 හෝ 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","කරුණාකර වලංගු ෆැක්ස් අංකයක් ඇතුළත් කරන්න (උදා: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","කරුණාකර වලංගු විද්‍යුත් තැපැල් ලිපිනයක් ඇතුළු කරන්න (උදා: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","කරුණාකර අක්ෂර 6ක් හෝ වැඩි ගණනක් ඇතුලත් කරන්න. ප්‍රමුඛ සහ පසුගාමී අවකාශයන් නොසලකා හරිනු ඇත."
"Please enter 7 or more characters, using both numeric and alphabetic.","කරුණාකර සංඛ්‍යාත්මක සහ අකාරාදී යන දෙකම භාවිතා කරමින් අක්ෂර 7ක් හෝ වැඩි ගණනක් ඇතුළත් කරන්න."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","මෙම ක්ෂේත්‍රයේ අවම දිග සංකේත %1 ට සමාන හෝ වැඩි විය යුතුය. ප්‍රමුඛ සහ පසුගාමී අවකාශයන් නොසලකා හරිනු ඇත."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","මුරපදයේ විවිධ පන්තිවල අක්ෂර අවම වශයෙන් %1වේ. අක්ෂර පන්ති: කුඩා අකුරු, ලොකු අකුරු, ඉලක්කම්, විශේෂ අක්ෂර."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","වලංගු URL එක ඇතුලත් කරන්න. ප්‍රොටෝකෝලය අවශ්‍ය වේ (http://, https:// හෝ ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","වලංගු URL එක ඇතුලත් කරන්න. උදාහරණයක් ලෙස http://www.example.com හෝ www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","කරුණාකර වලංගු XML-හඳුනාගැනීමක් ඇතුළත් කරන්න (උදා: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","කරුණාකර වලංගු සමාජ ආරක්ෂණ අංකයක් ඇතුළු කරන්න (උදා: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","කරුණාකර වලංගු සිප් කේතයක් ඇතුළු කරන්න (උදා: 90602 හෝ 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","කරුණාකර මෙම දින ආකෘතිය භාවිතා කරන්න: dd/mm/yyyy. උදාහරණයක් ලෙස 17/03/2006 2006 මාර්තු 17 සඳහා."
"Please enter a valid $ amount. For example $100.00.","කරුණාකර වලංගු $ මුදලක් ඇතුළු කරන්න. උදාහරණයක් ලෙස $100.00."
"Please enter a number 0 or greater in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ 0 හෝ ඊට වැඩි අංකයක් ඇතුළත් කරන්න."
"Please enter a number greater than 0 in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ 0 ට වඩා වැඩි අංකයක් ඇතුළු කරන්න."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","කරුණාකර වලංගු CSS දිගක් ඇතුළත් කරන්න (උදා: 100px, 77pt, 20em, .5ex හෝ 50%)."
"Please enter a valid number in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ වලංගු අංකයක් ඇතුළත් කරන්න."
