"Backup options","Backup muligheder"
"Warning","Advarsel"
"Cancel","Annuller"
"Ok","Okay"
"Insert Widget...","Indsæt Widget..."
"No records found.","Ingen poster fundet."
"Recent items","Seneste emner"
"Show all...","Vis alle..."
"Please enter a number greater 0 in this field.","Angiv et tal større end 0 i feltet."
"Please select one of each ratings above.","Vælg venligst en af hver ratings ovenfor."
"Please specify Url.","Angiv URL-adressen."
"Method %s does not exist on jQuery.decorate","Metoden %s findes ikke på jQuery.decorate"
"Close","Luk"
"Next","Videre"
"Previous","Tilbage"
"Please wait...","Vent venligst..."
"Loading...","Indlæser..."
"All ","Alle "
"more","mere"
"Save","Gem"
"Translate","Oversæt"
"Submit","Send"
"Please enter {0} words or less.","Angiv {0} ord eller mindre."
"Please enter at least {0} words.","Angiv mindst {0} ord."
"Please enter between {0} and {1} words.","Skriv mellem {0} og {1} ord."
"Letters or punctuation only please","Kun bogstaver eller tegnsætning"
"Letters, numbers, spaces or underscores only please","Kun bogstaver, tal, mellemrum eller understreg (_)"
"Letters only please","Venligst kun bogstaver"
"No white space please","Venligst ingen mellemrum"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Dit postnummer skal være i området 902xx-xxxx til 905-xx-xxxx"
"A positive or negative non-decimal number please","Et positivt eller negativt heltal"
"The specified vehicle identification number (VIN) is invalid.","Det angivne køretøjs identifikationsnummer (VIN) er ugyldigt."
"Please enter a correct date","Angiv venligst en korrekt dato"
"Please enter a valid time, between 00:00 and 23:59","Indtast en gyldig tid, mellem 00:00 og 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Indtast en gyldig tid, mellem 00:00 am og 12:00 pm"
"Please specify a valid phone number","Angiv et gyldigt telefonnummer"
"Please specify a valid mobile number","Angiv et gyldigt mobilnummer"
"Please enter at least {0} characters","Angiv mindst {0} tegn"
"Please remove invalid characters: {0}.","Please remove invalid characters: {0}."
"Please enter a valid credit card number.","Indtast et gyldigt kreditkortnummer."
"Please enter a valid IP v4 address.","Angiv en gyldig IP v4 adresse."
"Please enter a valid IP v6 address.","Angiv en gyldig IP v4 adresse."
"Invalid format.","Ugyldigt format."
"HTML tags are not allowed.","HTML-koder er ikke tilladt."
"Please select an option.","Foretag venligst et valg."
"Empty Value.","Tom værdi."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Brug venligst kun bogstaver (a-z eller A-Z), tal (0-9) eller mellemrum i dette felt."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Brug venligst kun bogstaver (a-z eller A-Z), tal (0-9) eller understregningstegn (_) i dette felt, og de første tegn skal være et bogstav."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Brug venligst kun bogstaver (a-z eller A-Z), tal (0-9), mellemrum eller ""#"" i dette felt, og de første tegn skal være et bogstav."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Indtast venligst et gyldigt telefonnummer. For eksempel (123) 456-7890 eller 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Angiv et gyldigt faxnummer (Ex: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Angiv en gyldig e-mail-adresse (Ex: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Angiv venligst 6 eller flere tegn. Indledende og afsluttende mellemrum vil blive ignoreret."
"Please enter 7 or more characters, using both numeric and alphabetic.","Angiv 7 eller flere tegn, ved hjælp af både numerisk og alfabetisk."
