"Backup options","گزینه های پشتیبان گیری"
"Warning","هشدار"
"Cancel","لغو"
"Ok","قبول"
"Insert Widget...","Insert Widget..."
"No records found.","رکوردی یافت نشد."
"Recent items","تازه‌های اخیر"
"Show all...","نمایش همه..."
"Please enter a number greater 0 in this field.","لطفا در این فیلد عددی بزرگ‌تر از 0 وارد نمایید."
"Please select one of each ratings above.","لطفا یکی از هر کدام از رتبه های بالا را انتخاب کنید."
"Please specify Url.","لطفا آدرس Url را مشخص کنید."
"Method %s does not exist on jQuery.decorate","روش %s در jQuery.decorate وجود ندارد"
"Close","بستن"
"Next","بعدی"
"Previous","قبلی"
"Please wait...","لطفا صبر کنید..."
"Loading...","در حال بار گذاری..."
"All ","All "
"more","بیشتر"
"Save","Save"
"Translate","ترجمه"
"Submit","ارسال"
"Please enter {0} words or less.","لطفا {0} کلمه یا کمتر وارد کنید."
"Please enter at least {0} words.","لطفا حداقل {0} کلمه را وارد کنید."
"Please enter between {0} and {1} words.","لطفا بین {0} و {1} کلمات وارد کنید."
"Letters or punctuation only please","حروف یا علائم نقطه گذاری فقط لطفا"
"Letters, numbers, spaces or underscores only please","حروف، اعداد، فضاها یا حروف زیر را فقط لطفا"
"Letters only please","فقط از حروف استفاده شود"
"No white space please","بدون فضای سفید لطفا"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","کد پستی شما باید در محدوده 902xx-xxxx تا 905-xx-xxxx باشد"
"A positive or negative non-decimal number please","مثبت یا منفی غیر اعشاری عدد لطفا"
"The specified vehicle identification number (VIN) is invalid.","شماره شناسایی خودرو (VIN) نامعتبر است."
"Please enter a correct date","لطفا یک تاریخ معتبر وارد کنید"
"Please enter a valid time, between 00:00 and 23:59","لطفا یک ساعت معتبر بین 00:00 تا 23:59 را وارد کنید"
"Please enter a valid time, between 00:00 am and 12:00 pm","لطفا یک ساعت معتبر بین 00:00 و 12:00 بعدازظهر وارد کنید"
"Please specify a valid phone number","لطفا یک شماره تلفن معتبر را مشخص کنید"
"Please specify a valid mobile number","لطفا یک شماره تلفن معتبر را مشخص کنید"
"Please enter at least {0} characters","لطفا حداقل {0} کاراکتر را وارد کنید"
"Please remove invalid characters: {0}.","لطفا کاراکترهای نامعتبر را حذف کنید: {0}."
"Please enter a valid credit card number.","لطفا یک شماره‌ی کارت اعتباری معتبر وارد نمایید."
"Please enter a valid IP v4 address.","لطفا یک آدرس IPv4 معتبر وارد کنید."
"Please enter a valid IP v6 address.","لطفا یک آدرس IPv6 معتبر وارد کنید."
"Invalid format.","فرمت نامعتبر."
"HTML tags are not allowed.","تگ های HTML مجاز نیستند."
"Please select an option.","لطفا یک گزینه را انتخاب کنید."
"Empty Value.","مقدار خالی."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","لطفا فقط از حروف (a-z یا A-Z), اعداد (0-9) یا فاصله در این فیلد استفاده کنید."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","لطفا در این فیلد تنها از حروف (a-z)، اعداد (0-9) یا زیرخط (_) استفاده نمایید، اولین کاراکتر باید یک حرف باشد."
