"Backup options","Опції Резервної Копії"
"Warning","Попередження"
"Cancel","Скасувати"
"Ok","Гаразд"
"Insert Widget...","Вставити віджет..."
"No records found.","Записів не знайдено."
"Recent items","Останні елементи"
"Show all...","Показати все..."
"Please enter a number greater 0 in this field.","Будь ласка, введіть число, більше за 0 у це поле."
"Please select one of each ratings above.","Будь ласка, оберіть один з рейтингів вище."
"Please specify Url.","Будь ласка, вкажіть Url-адресу."
"Method %s does not exist on jQuery.decorate","Метод %s не існує на jQuery.decorate"
"Close","Закрити"
"Next","Наступне"
"Previous","Попереднє"
"Please wait...","Зачекайте будь ласка..."
"Loading...","Завантаження..."
"All ","Всі "
"more","більше"
"Save","Зберегти"
"Translate","Перекласти"
"Submit","Підтвердити"
"Please enter {0} words or less.","Будь ласка, введіть {0} слів або менше."
"Please enter at least {0} words.","Будь ласка, введіть менше {0} слів."
"Please enter between {0} and {1} words.","Будь ласка, введіть від {0} до {1} слів."
"Letters or punctuation only please","Лише букви та знаки пунктуації, будь ласка"
"Letters, numbers, spaces or underscores only please","Будь ласка, лише букви, цифри, пробіли чи підкреслення"
"Letters only please","Лише літери, будь ласка"
"No white space please","Будь ласка, без пропусків"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Ваш поштовий індекс має бути в діапазоні від 01xxx до 99xxx"
"A positive or negative non-decimal number please","Додатне або від'ємне ціле число, будь ласка"
"The specified vehicle identification number (VIN) is invalid.","Вказаний номер ідентифікації автомобіля (VIN) недійсний."
"Please enter a correct date","Будь ласка, вкажіть правильну дату"
"Please enter a valid time, between 00:00 and 23:59","Будь ласка, введіть припустимий час, між 00:00 та 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Будь ласка, введіть припустимий час, між 00:00 та 12:00"
"Please specify a valid phone number","Будь ласка, введіть дійсний номер"
"Please specify a valid mobile number","Будь ласка, введіть дійсний мобільний номер"
"Please enter at least {0} characters","Будь ласка, введіть принаймні {0} символів"
"Please remove invalid characters: {0}.","Будь ласка, видаліть неприпустимі символи: {0}."
"Please enter a valid credit card number.","Будь ласка, введіть правильний номер кредитної карти."
"Please enter a valid IP v4 address.","Будь ласка введіть правильну IP-адресу v4."
"Please enter a valid IP v6 address.","Будь ласка введіть правильну IP-адресу v6."
"Invalid format.","Неприпустимий формат."
"HTML tags are not allowed.","HTML-теги не допускаються."
"Please select an option.","Будь ласка, виберіть варіант."
"Empty Value.","Пусте значення."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Будь ласка, використовуйте тільки літери (а-я або А-Я), цифри (0-9) або пробіли у цьому полі."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Будь ласка, використовуйте тільки літери (a-я або A-Я), цифри (0-9) або нижнє підкреслення (_) у цьому полі, а перший знак має бути буквою."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Будь ласка, використовуйте тільки літери (a-я або A-Я), цифри (0-9), пробіли та знак ""#"" у цьому полі."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Будь ласка, вкажіть правильний номер телефону. Наприклад, (123) 456-7890 чи 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Будь ласка, введіть правильний номер факсу (наприклад: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Будь ласка, введіть дійсну адресу електронної пошти (наприклад: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Будь ласка, введіть 6 або більше символів. Пробіли на початку та в кінці будуть проігноровані."
"Please enter 7 or more characters, using both numeric and alphabetic.","Будь ласка, введіть 7 або більше символів, використовуючи як цифри, так і букви."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Мінімальна довжина цього поля має бути рівною або більшою, ніж %1 символи. Початкові та кінцеві пробіли буде проігноровано."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Мінімум різних елементів у паролі повинна бути %1. Можна використовувати: літери у нижньому регістрі, верхньому регістрі, цифри, спеціальні символи."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Будь ласка, введіть дійсну URL-адресу. Вимагається протокол (http://, https:// або ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Будь ласка, введіть дійсну URL-адресу. Наприклад, http://www.example.com чи www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Будь ласка, введіть припустимий XML-ідентифікатор (наприклад: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Будь ласка, введіть дійсний номер соціального страхування (наприклад: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Будь ласка, введіть дійсний поштовий індекс (наприклад: 90602 чи 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Будь ласка, використовуйте цей формат для дати: дд/мм/рррр. Наприклад, 17/03/2006 для 17-го березня 2006."
"Please enter a valid $ amount. For example $100.00.","Будь ласка, введіть дійсну суму $. Наприклад, $100.00."
"Please enter a number 0 or greater in this field.","Будь ласка, введіть у це поле число 0 або більше."
"Please enter a number greater than 0 in this field.","Будь ласка, введіть число, більше за 0 у це поле."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Будь ласка, введіть припустиму CSS-довжину (наприклад: 100px, 77pt, 20em, .5ex або 50%)."
"Please enter a valid number in this field.","Будь ласка, введіть у це поле дійсне число."
"The value is not within the specified range.","Значення знаходиться поза вказаним діапазоном."
"Please use letters only (a-z or A-Z) in this field.","Будь ласка, використовуйте лише літери (a-z або A-Z) у цьому полі."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Будь ласка, використовуйте лише літери (a-z або A-Z), цифри (0-9) або підкреслення (_) у цьому полі, також перший знак має бути буквою."
