"Backup options","Опции за архивиране"
"Warning","Предупреждение"
"Cancel","Отказ"
"Ok","OK"
"Insert Widget...","Вмъкване на джаджа..."
"No records found.","Няма намерени записи."
"Recent items","Скорошни елементи"
"Show all...","Покажи всички..."
"Please enter a number greater 0 in this field.","В това поле въведете число по-голямо от 0."
"Please select one of each ratings above.","Моля изберете една от оценките по-горе."
"Please specify Url.","Задайте URL адрес."
"Method %s does not exist on jQuery.decorate","Методът %s не съществува в jQuery.decorate"
"Close","Затвори"
"Next","Напред"
"Previous","Назад"
"Please wait...","Моля, изчакайте…"
"Loading...","Зареждане..."
"All ","Всички "
"more","още"
"Save","Запиши"
"Translate","Преведи"
"Submit","Изпрати"
"Please enter {0} words or less.","Моля, въведете {0} думи или по-малко."
"Please enter at least {0} words.","Моля, въведете поне {0} думи."
"Please enter between {0} and {1} words.","Моля въведете между {0} и {1} думи."
"Letters or punctuation only please","Букви или пунктуация само моля"
"Letters, numbers, spaces or underscores only please","Букви, цифри, интервали или подчертаване само моля"
"Letters only please","Букви само моля"
"No white space please","Без бяло пространство моля"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Вашият пощенски код трябва да бъде в диапазона 902xx-хххх до 905-ХХ хххх"
"A positive or negative non-decimal number please","Положително или отрицателно не десетично число моля"
"The specified vehicle identification number (VIN) is invalid.","Указаното превозно средство с идентификационен номер (VIN) е невалиден."
"Please enter a correct date","Моля, въведете правилна дата"
"Please enter a valid time, between 00:00 and 23:59","Моля, въведете валидно време, между 00:00 и 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Моля, въведете валидно време, между 00:00 часа и 12:00 pm"
"Please specify a valid phone number","Моля, посочете валиден телефонен номер"
"Please specify a valid mobile number","Моля, посочете валиден мобилен номер"
"Please enter at least {0} characters","Моля, въведете поне {0} знаци"
"Please remove invalid characters: {0}.","Моля, премахнете невалидните знаци: {0}."
"Please enter a valid credit card number.","Моля, въведете номер на валидна кредитна карта."
"Please enter a valid IP v4 address.","Моля, въведете валиден адрес на ПР v4."
"Please enter a valid IP v6 address.","Моля, въведете валиден адрес на IP v6."
"Invalid format.","Невалиден формат."
"HTML tags are not allowed.","HTML таговете не са позволени."
"Please select an option.","Моля изберете опция."
"Empty Value.","Празна стойност."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Моля, използвайте само букви (a-z или A-Z), цифри (0-9) или пространства само в това поле."
